Carrington Number,g10,g11,h11,Bo,ThetaN,PhiN
1896,175.43,8.79,-3.73,175.689674995431,3.1155382183048,-22.9937384894831
1897,169.43,11.33,-6.21,169.921917067811,4.36077524907032,-28.7272524329757
1898,145.44,17.02,-6.64,146.582958081763,7.15968046870045,-21.3122116283134
1899,163.27,9.9,-8.71,163.801608661209,4.61734259629411,-41.3412532878225
1900,167.92,5.53,-7.34,168.171290355994,3.1325910761284,-53.0054109742674
1901,173.93,-1.32,-7.39,174.091928015058,2.47139962884776,-100.127355047093
1902,148.44,8.16,-5.85,148.779170921201,3.86953169220519,-35.637184082194
1903,178.37,8.63,-1.76,178.587321498476,2.8268822212733,-11.5268159297145
1904,176.08,4.18,-5.72,176.222465083201,2.30404244269485,-53.8418145601917
1905,172.65,-7.72,1.15,172.826338849147,2.58847276576059,171.527310548319
1906,158.49,-0.7,-1.11,158.495432741767,0.474394915813716,-122.23678655213
1907,164.17,4.35,7.5,164.398787708426,3.02311764336947,59.8862668490176
1908,161.47,-2.3,7.53,161.66184398305,2.79158537793055,106.985023732706
1909,152.99,4.64,4.65,153.130964210378,2.45863395113895,45.0616746581095
1910,155.95,2.95,-2.36,155.995751865235,1.38770215151844,-38.6598082540901
1911,144.29,0.76,7.59,144.491486946463,3.02614990438485,84.2819328500834
1912,154.73,7.69,6.58,155.060650714487,3.74238760515282,40.5521717081493
1913,155.72,12.24,6.46,156.333833830045,5.07900634810159,27.8240963842533
1914,157.97,10.61,4.81,158.39895548898,4.21760249302589,24.3869683745709
1915,150.25,9.06,4.66,150.595025482252,3.87918824189452,27.2189693447016
1916,124.84,5.04,1.48,124.950460583385,2.40937480921623,16.3649181698809
1917,145.41,18.52,0.93,146.58759633748,7.26738903104886,2.87474913123692
1918,145.18,13.25,-7.81,145.992434735503,6.04739453037078,-30.5165416439808
1919,152.39,6.02,-4.56,152.577016945541,2.83712140600428,-37.1430216446453
1920,149.64,3.82,3.28,149.724681999996,1.92711199733066,40.6506662652819
1921,148.26,-3.1,2.55,148.314328707647,1.55086509031206,140.55994726331
1922,152.7,0.81,8.75,152.952635152193,3.29356192860314,84.7111210982591
1923,141.06,0.57,4.37,141.128825546024,1.78946105302463,82.5685920288275
1924,141.52,1.39,2.61,141.550890495256,1.19702070144205,61.9617058865329
1925,137.57,7.75,-0.99,137.791681534119,3.25049222475286,-7.27964817726749
1926,131.64,0.02,-2.14,131.657394779025,0.931385004635014,-89.4645410144355
1927,120.17,14.24,-8.03,121.276903819318,7.74701499971956,-29.4188466169831
1928,134.12,-17.93,4.15,135.376814115269,7.8133553494025,166.968047851626
1929,150.09,-4.63,-1.8,150.172184508317,1.89564788206176,-158.755466535738
1930,112.26,12.06,3.02,112.946321763925,6.31954240028122,14.0585984334379
1931,104.19,4.34,-7.81,104.572404581706,4.90143289127034,-60.9391674218178
1932,114.67,11.89,-23.23,117.601929831104,12.820755751546,-62.894901770462
1933,88.9,16.99,-16.08,91.9262557705904,14.7424392979778,-43.4237676052633
1934,83.94,11.05,-0.84,84.6683630407486,7.52077900444255,-4.34715542540257
1935,96.34,-20.76,-4.42,98.6504414587183,12.4247276291334,-167.980656870241
1936,114.42,6.56,-5.28,114.72945742049,4.20918754887472,-38.8298249049704
1937,106.43,19.47,0.75,108.198836869904,10.3744160605349,2.20598864519359
1938,100.48,18.1,14.26,103.088253453049,12.9159957084725,38.232641453721
1939,95.99,8.65,2.96,96.4243962905654,5.44064510790693,18.8907686524087
1940,99.3,12.54,-1.78,100.104495403553,7.26881985131903,-8.078922573652
1941,84.64,-3.72,14.02,85.8739098911887,9.72456393855128,104.860172795886
1942,82.9,1.92,18.45,84.9499788110627,12.6126957701669,84.058897245556
1943,69.22,-25.08,-29.38,79.2691566752164,29.1641212145791,-130.485461250702
1944,62.2,9.6,-40.04,74.5935761309243,33.5035145364129,-76.517256504626
1945,84.67,6.72,-43.48,95.4184348016671,27.4572964954323,-81.2142332787541
1946,78.33,-15.01,-75.13,109.569183167531,44.36575021419,-101.298199349828
1947,61.13,-26.33,-46.98,81.4694188023948,41.3799102830407,-119.268505144383
1948,45.27,-16.01,-34.59,59.1790596410589,40.0959853854426,-114.837084197993
1949,40.32,-16.88,-10.81,45.0276903693716,26.4338401056926,-147.364385605942
1950,27.35,-9.97,27.3,39.9088135629212,46.7398288781934,110.06226755205
1951,6.22,17.92,21.07,28.3506560770646,77.3264828928373,49.6188911810729
1952,-7.86,45.45,12.06,47.6752105396505,99.4894243214746,14.8607776139867
1953,-8.15,20.53,-16.59,27.6248348411352,107.158999804276,-38.9411828159244
1954,0.38,28.5,-9.46,30.031416882991,89.2749933400023,-18.3625447592982
1955,-27.91,31.16,13.96,44.0998333330184,129.263088361924,24.1328696413612
