Year,Month,Day,Theta,Phi
2013,1,1,303.3,340.0
2013,1,1,20.1,308.0
2013,1,1,163.2,310.0
2013,1,1,349.9,320.0
2013,1,1,78.3,275.0
2013,1,1,114.3,252.0
2013,1,2,337.0,308.0
2013,1,2,328.5,320.0
2013,1,2,70.3,278.0
2013,1,2,117.4,253.0
2013,1,2,106.5,256.0
2013,1,2,72.4,235.0
2013,1,3,308.5,309.0
2013,1,3,315.3,323.0
2013,1,3,39.9,281.0
2013,1,3,125.3,254.0
2013,1,3,68.8,240.0
2013,1,3,206.9,293.0
2013,1,3,72.6,231.0
2013,1,4,296.7,308.0
2013,1,4,307.6,322.0
2013,1,4,326.2,279.0
2013,1,4,136.0,252.0
2013,1,4,61.1,239.0
2013,1,4,240.8,292.0
2013,1,4,67.6,229.0
2013,1,4,291.4,329.0
2013,1,4,81.2,221.0
2013,1,4,103.6,200.0
2013,1,4,115.9,197.0
2013,1,4,62.7,225.0
2013,1,5,290.1,309.0
2013,1,5,302.4,323.0
2013,1,5,290.6,281.0
2013,1,5,155.6,251.0
2013,1,5,46.3,241.0
2013,1,5,249.7,293.0
2013,1,5,59.6,230.0
2013,1,5,287.3,330.0
2013,1,5,78.1,221.0
2013,1,5,105.2,201.0
2013,1,5,119.4,198.0
2013,1,5,54.1,226.0
2013,1,5,68.4,187.0
2013,1,5,80.1,183.0
2013,1,6,286.7,309.0
2013,1,6,299.5,323.0
2013,1,6,279.3,281.0
2013,1,6,189.9,252.0
2013,1,6,25.3,239.0
2013,1,6,255.4,293.0
2013,1,6,45.0,231.0
2013,1,6,286.7,329.0
2013,1,6,71.7,222.0
2013,1,6,107.2,202.0
2013,1,6,122.5,194.0
2013,1,6,42.7,225.0
2013,1,6,65.7,187.0
2013,1,6,78.1,185.0
2013,1,7,284.5,308.0
2013,1,7,298.1,322.0
2013,1,7,276.1,280.0
2013,1,7,214.5,251.0
2013,1,7,342.6,240.0
2013,1,7,255.9,293.0
2013,1,7,13.2,230.0
2013,1,7,48.6,224.0
2013,1,7,113.4,202.0
2013,1,7,128.2,193.0
2013,1,7,65.6,184.0
2013,1,7,77.6,185.0
2013,1,8,283.2,307.0
2013,1,8,230.1,250.0
2013,1,8,315.6,239.0
2013,1,8,256.5,292.0
2013,1,8,332.3,229.0
2013,1,8,123.2,202.0
2013,1,8,135.9,192.0
2013,1,8,57.2,183.0
2013,1,8,69.5,185.0
2013,1,8,80.2,149.0
2013,1,9,237.9,249.0
2013,1,9,299.4,239.0
2013,1,9,256.3,293.0
2013,1,9,302.7,222.0
2013,1,9,156.2,202.0
2013,1,9,151.5,192.0
2013,1,9,46.1,183.0
2013,1,9,58.0,186.0
2013,1,9,76.3,148.0
2013,1,9,186.0,210.0
2013,1,10,244.0,250.0
2013,1,10,294.7,238.0
2013,1,10,211.9,201.0
2013,1,10,177.9,194.0
2013,1,10,23.7,183.0
