Year,Month,Day,Theta,Phi
1961,1,1,255.6,112.8
1961,1,1,324.0,99.8
1961,1,1,354.0,88.6
1961,1,1,348.6,90.0
1961,1,1,152.9,84.2
1961,1,1,282.7,145.8
1961,1,1,112.6,51.6
1961,1,1,285.7,130.9
1961,1,1,105.2,30.3
1961,1,2,259.2,111.8
1961,1,2,306.9,100.2
1961,1,2,329.8,88.3
1961,1,2,319.5,91.1
1961,1,2,251.7,86.1
1961,1,2,116.9,50.1
1961,1,2,282.5,131.1
1961,1,2,106.8,30.8
1961,1,2,63.5,17.2
1961,1,3,260.8,112.4
1961,1,3,295.2,101.1
1961,1,3,309.5,88.2
1961,1,3,301.4,91.6
1961,1,3,260.6,84.7
1961,1,3,280.2,130.2
1961,1,3,114.0,32.2
1961,1,3,54.9,19.6
1961,1,3,100.7,342.0
1961,1,4,261.5,113.1
1961,1,4,290.3,101.5
1961,1,4,299.7,88.2
1961,1,4,293.8,93.0
1961,1,4,130.9,32.6
1961,1,4,43.0,20.0
1961,1,4,101.0,342.0
1961,1,5,287.9,101.7
1961,1,5,294.8,87.9
1961,1,5,290.3,92.6
1961,1,5,181.6,33.1
1961,1,5,24.8,20.4
1961,1,5,79.9,331.1
1961,1,6,286.2,101.6
1961,1,6,291.7,87.0
1961,1,6,288.2,93.6
1961,1,6,222.2,29.6
1961,1,6,357.0,20.9
1961,1,6,301.7,41.0
1961,1,6,101.3,308.0
1961,1,7,290.2,85.8
1961,1,7,331.3,21.9
1961,1,7,290.4,41.2
1961,1,7,101.4,307.5
1961,1,7,62.8,332.2
1961,1,8,314.1,22.0
1961,1,8,285.8,40.2
1961,1,8,102.0,307.9
1961,1,9,304.6,22.1
1961,1,9,104.4,307.7
1961,1,9,170.6,339.8
1961,1,9,40.4,331.2
1961,1,10,298.3,21.9
1961,1,10,110.9,307.1
1961,1,11,294.8,22.2
1961,1,11,131.7,307.7
1961,1,12,292.4,20.7
1961,1,12,226.5,308.2
1961,1,13,247.0,308.1
1961,1,13,139.8,284.3
1961,1,14,255.6,308.1
1961,1,14,239.4,284.2
1961,1,15,257.7,308.0
1961,1,15,254.3,284.3
1961,1,16,258.7,307.4
1961,1,16,260.2,285.4
1961,1,16,90.9,211.4
1961,1,17,258.9,307.1
1961,1,17,261.3,284.6
1961,1,17,88.0,213.5
1961,1,17,93.4,164.6
1961,1,18,257.3,308.0
1961,1,18,260.9,284.5
