Year,Month,Day,Theta,Phi
1924,1,5,314.2,250.9
1924,1,6,310.5,248.1
1924,1,23,273.5,354.3
1924,1,26,51.9,256.5
1924,1,28,56.1,202.9
1924,2,3,243.4,246.6
1924,2,12,54.8,24.3
1924,2,15,347.0,42.3
1924,2,16,328.0,42.4
1924,2,16,113.6,316.8
1924,2,25,37.4,235.0
1924,2,26,22.4,235.3
1924,2,26,241.8,263.1
1924,2,27,5.1,235.1
1924,2,28,345.9,233.3
1924,2,29,328.2,233.0
1924,3,1,316.7,233.2
1924,3,1,131.9,186.2
1924,3,2,308.6,232.4
1924,3,3,302.4,232.4
1924,3,4,298.3,233.1
1924,3,21,224.8,297.3
1924,3,22,234.0,320.0
1924,3,22,38.8,257.9
1924,3,23,238.4,320.0
1924,3,23,21.7,257.7
1924,3,24,352.6,259.0
1924,4,6,0.4,80.3
1924,4,10,356.2,34.0
1924,4,14,305.5,33.0
1924,4,16,60.8,259.1
1924,4,17,55.4,258.0
1924,4,18,46.2,256.5
1924,4,18,127.7,246.9
1924,4,19,27.9,256.1
1924,4,19,139.3,246.5
1924,4,19,142.6,251.0
1924,4,20,3.7,255.8
1924,4,20,154.6,244.9
1924,4,20,165.6,251.2
1924,4,21,341.6,255.2
1924,4,21,175.2,243.4
1924,4,21,190.4,250.1
1924,4,22,321.7,254.5
1924,4,22,202.7,242.4
1924,4,22,217.6,250.4
1924,4,23,222.4,241.9
1924,4,23,231.2,250.6
1924,4,24,231.2,241.5
1924,4,24,236.6,250.4
1924,4,25,237.5,241.0
1924,4,25,240.5,250.5
1924,4,26,239.5,241.1
1924,4,26,241.7,252.3
1924,4,27,242.0,244.3
1924,4,28,319.8,184.1
1924,5,4,50.3,23.6
1924,5,6,333.4,64.4
1924,5,7,36.4,4.7
1924,5,8,22.2,3.8
1924,5,9,7.9,2.6
1924,5,10,348.5,1.1
1924,5,11,333.2,0.3
1924,5,11,115.3,291.2
1924,5,12,319.8,0.9
1924,5,12,120.4,290.3
