Year,Month,Day,Theta,Phi
2006,1,1,269.1,262.0
2006,1,1,296.8,253.0
2006,1,1,320.1,234.0
2006,1,2,268.7,262.0
2006,1,2,288.6,257.0
2006,1,2,302.0,234.0
2006,1,3,268.2,262.0
2006,1,3,286.5,256.0
2006,1,3,294.2,233.0
2006,1,4,284.2,258.0
2006,1,4,289.1,233.0
2006,1,5,282.9,261.0
2006,1,5,284.9,234.0
2006,1,6,283.1,234.0
2006,1,6,70.1,85.0
2006,1,7,65.3,88.0
2006,1,8,61.7,86.0
2006,1,9,52.4,87.0
2006,1,10,38.2,86.0
2006,1,11,10.4,87.0
2006,1,12,340.8,86.0
2006,1,15,287.5,68.0
2006,1,15,241.1,46.0
2006,1,16,283.3,69.0
2006,1,16,260.1,46.0
2006,1,17,278.0,68.0
2006,1,17,263.0,47.0
2006,1,18,275.9,70.0
2006,1,18,263.7,49.0
2006,1,18,112.9,322.0
2006,1,19,274.2,73.0
2006,1,19,263.6,47.0
2006,1,19,122.8,321.0
2006,1,20,263.3,44.0
2006,1,20,147.6,322.0
2006,1,21,187.9,321.0
2006,1,22,225.6,321.0
2006,1,22,94.6,262.0
2006,1,23,241.1,321.0
2006,1,23,94.6,223.0
2006,1,23,336.3,298.0
2006,1,24,247.6,320.0
2006,1,24,96.2,263.0
2006,1,24,302.4,297.0
2006,1,25,251.5,318.0
2006,1,25,292.1,294.0
2006,1,26,250.6,319.0
2006,1,27,250.8,318.0
2006,1,27,256.0,301.0
2006,1,28,246.3,315.0
2006,2,8,228.7,87.0
2006,2,9,254.1,87.0
2006,2,9,261.1,119.0
2006,2,10,263.2,120.0
2006,2,11,262.3,121.0
2006,2,15,91.7,327.0
2006,2,16,91.0,327.0
2006,2,16,65.8,309.0
2006,2,17,262.8,333.0
2006,2,17,51.8,309.0
2006,2,27,95.8,123.0
2006,2,28,95.9,124.0
2006,3,4,160.3,125.0
2006,3,5,256.1,125.0
2006,3,5,70.3,72.0
2006,3,6,261.8,125.0
2006,3,6,60.0,74.0
2006,3,7,266.3,125.0
2006,3,7,49.2,73.0
2006,3,8,265.6,124.0
2006,3,8,0.0,74.0
2006,3,9,319.4,73.0
2006,3,10,298.1,75.0
2006,3,12,30.3,5.0
2006,3,13,357.8,8.0
2006,3,14,331.4,8.0
2006,3,14,264.3,73.0
2006,3,14,87.9,304.0
2006,3,15,87.0,305.0
2006,3,15,99.8,295.0
2006,3,16,83.1,306.0
2006,3,16,99.3,295.0
2006,3,17,73.3,305.0
2006,3,17,102.7,295.0
2006,3,18,315.6,305.0
2006,3,18,88.9,299.0
2006,3,19,280.0,305.0
2006,3,19,269.6,299.0
2006,3,20,268.3,302.0
2006,3,21,267.5,301.0
2006,3,22,267.9,300.0
2006,3,22,285.2,301.0
2006,3,23,265.4,302.0
2006,3,23,281.9,301.0
2006,3,24,265.5,300.0
2006,3,24,278.4,302.0
2006,3,24,268.1,284.0
2006,3,28,101.2,110.0
2006,3,29,100.2,109.0
2006,3,29,93.9,88.0
2006,3,30,104.0,111.0
2006,3,30,95.2,87.0
2006,3,31,109.7,110.0
2006,3,31,93.2,88.0
2006,4,1,129.2,110.0
2006,4,1,90.6,89.0
2006,4,2,231.9,110.0
2006,4,2,89.4,88.0
2006,4,2,122.8,88.0
2006,4,3,255.9,112.0
2006,4,3,86.2,86.0
2006,4,3,163.3,88.0
2006,4,4,259.8,113.0
2006,4,4,271.0,89.0
2006,4,4,227.1,89.0
2006,4,5,260.7,111.0
2006,4,5,269.3,87.0
2006,4,5,246.8,90.0
2006,4,5,262.3,70.0
2006,4,6,260.8,111.0
2006,4,6,268.3,87.0
2006,4,6,252.2,90.0
2006,4,6,266.4,70.0
2006,4,6,105.5,27.0
2006,4,7,260.1,116.0
2006,4,7,268.3,91.0
2006,4,7,256.0,94.0
2006,4,7,127.3,30.0
2006,4,8,261.0,115.0
2006,4,8,266.4,88.0
2006,4,8,255.1,92.0
2006,4,8,213.2,29.0
2006,4,9,265.1,91.0
2006,4,9,254.7,94.0
2006,4,9,248.0,28.0
2006,4,10,264.8,90.0
2006,4,10,254.4,94.0
2006,4,10,256.5,29.0
2006,4,10,96.8,336.0
2006,4,10,95.6,306.0
2006,4,11,258.7,29.0
2006,4,11,104.2,336.0
2006,4,11,95.5,306.0
2006,4,11,97.7,271.0
2006,4,11,90.1,297.0
2006,4,12,260.6,33.0
2006,4,12,245.3,337.0
2006,4,12,97.0,309.0
2006,4,12,94.7,273.0
2006,4,12,88.8,297.0
2006,4,13,262.2,35.0
2006,4,13,261.9,338.0
2006,4,13,99.9,311.0
2006,4,13,94.3,273.0
2006,4,13,86.6,297.0
2006,4,14,259.2,34.0
2006,4,14,261.7,336.0
2006,4,14,250.3,310.0
2006,4,14,94.3,273.0
2006,4,14,72.3,298.0
2006,4,15,267.5,311.0
2006,4,15,98.0,272.0
2006,4,15,296.5,298.0
2006,4,16,267.3,312.0
2006,4,16,94.5,271.0
2006,4,16,290.2,296.0
2006,4,17,265.3,340.0
2006,4,17,266.8,312.0
2006,4,17,241.6,271.0
2006,4,17,270.5,303.0
2006,4,18,266.2,312.0
2006,4,18,260.3,271.0
2006,4,18,269.2,303.0
2006,4,18,71.1,238.0
2006,4,19,265.7,306.0
2006,4,19,263.1,271.0
2006,4,19,21.2,238.0
2006,4,20,264.9,306.0
2006,4,20,290.1,238.0
2006,4,21,278.3,238.0
2006,4,22,272.9,239.0
2006,4,23,272.2,242.0
2006,4,23,100.0,116.0
2006,4,24,98.8,112.0
2006,4,24,103.4,94.0
2006,4,25,99.4,115.0
2006,4,25,105.4,92.0
2006,4,26,101.1,114.0
2006,4,26,106.1,91.0
2006,4,26,95.3,96.0
2006,4,27,109.5,114.0
2006,4,27,106.5,80.0
2006,4,27,95.6,94.0
2006,4,28,138.6,115.0
2006,4,28,112.0,91.0
2006,4,28,92.5,97.0
2006,4,29,235.3,115.0
2006,4,29,120.0,90.0
2006,4,30,258.5,116.0
2006,4,30,131.3,87.0
2006,4,30,71.8,35.0
2006,5,1,256.1,115.0
2006,5,1,211.7,89.0
2006,5,1,67.5,36.0
2006,5,2,257.3,115.0
2006,5,2,226.9,84.0
2006,5,2,60.7,37.0
2006,5,2,19.0,61.0
2006,5,3,258.3,115.0
2006,5,3,243.0,84.0
2006,5,3,44.7,37.0
2006,5,3,346.8,60.0
2006,5,4,257.5,113.0
2006,5,4,15.5,36.0
2006,5,4,318.4,59.0
2006,5,4,97.1,338.0
2006,5,5,257.3,113.0
2006,5,5,333.3,37.0
2006,5,5,303.5,59.0
2006,5,5,97.4,338.0
2006,5,5,101.5,313.0
2006,5,6,309.2,37.0
2006,5,6,294.2,62.0
2006,5,6,98.6,338.0
2006,5,6,101.5,307.0
2006,5,6,244.7,34.0
2006,5,7,294.5,36.0
2006,5,7,105.4,339.0
2006,5,7,100.2,311.0
2006,5,7,253.0,33.0
2006,5,7,92.5,305.0
2006,5,8,126.0,340.0
2006,5,8,103.2,315.0
2006,5,8,256.4,33.0
2006,5,8,92.3,305.0
2006,5,9,214.2,339.0
2006,5,9,106.6,318.0
2006,5,9,257.8,33.0
2006,5,9,92.6,309.0
2006,5,10,249.9,339.0
2006,5,10,258.3,32.0
2006,5,11,256.9,338.0
2006,5,11,258.3,31.0
2006,5,11,117.3,307.0
2006,5,12,259.7,338.0
2006,5,12,255.9,318.0
2006,5,12,263.2,307.0
2006,5,13,262.2,339.0
2006,5,13,271.0,309.0
2006,5,14,261.4,340.0
2006,5,19,105.7,156.0
2006,5,20,110.4,157.0
2006,5,20,105.1,146.0
2006,5,21,120.4,154.0
2006,5,21,109.3,144.0
2006,5,22,145.3,155.0
2006,5,22,122.2,146.0
2006,5,23,203.2,155.0
2006,5,23,164.2,147.0
2006,5,23,77.5,104.0
2006,5,24,232.2,150.0
2006,5,24,219.9,145.0
2006,5,24,74.3,105.0
2006,5,25,247.7,148.0
2006,5,25,59.4,107.0
2006,5,26,252.4,148.0
2006,5,26,23.3,106.0
2006,5,26,102.7,46.0
2006,5,26,276.2,174.0
2006,5,27,256.0,151.0
2006,5,27,307.5,109.0
2006,5,27,105.5,45.0
2006,5,27,276.4,174.0
2006,5,27,99.1,90.0
2006,5,28,288.8,108.0
2006,5,28,107.9,46.0
2006,5,28,275.0,175.0
2006,5,28,260.4,90.0
2006,5,28,244.2,113.0
2006,5,29,283.3,110.0
2006,5,29,116.0,46.0
2006,5,29,269.5,90.0
2006,5,29,251.8,112.0
2006,5,30,280.5,110.0
2006,5,30,139.0,47.0
2006,5,30,253.1,116.0
2006,5,30,123.9,38.0
2006,5,31,277.9,110.0
2006,5,31,201.6,49.0
2006,5,31,255.6,117.0
2006,5,31,156.3,38.0
2006,6,1,279.3,109.0
2006,6,4,98.6,284.0
2006,6,5,100.0,285.0
2006,6,6,100.7,284.0
2006,6,6,93.4,261.0
2006,6,7,104.6,282.0
2006,6,7,91.4,259.0
2006,6,8,113.2,283.0
2006,6,8,93.8,261.0
2006,6,9,197.2,286.0
2006,6,9,95.9,260.0
2006,6,10,241.3,285.0
