Year,Month,Day,Theta,Phi
1985,1,6,303.9,254.6
1985,1,7,167.9,223.4
1985,1,8,82.1,143.3
1985,1,8,82.3,141.3
1985,1,9,78.9,143.1
1985,1,9,153.9,194.1
1985,1,12,99.2,133.6
1985,1,13,97.2,133.4
1985,1,14,180.0,133.3
1985,1,15,260.5,135.1
1985,1,16,264.2,135.9
1985,1,17,265.0,135.8
1985,1,18,264.9,135.6
1985,1,19,264.5,136.4
1985,1,19,230.0,73.4
1985,1,19,80.2,19.4
1985,1,20,264.7,136.3
1985,1,20,254.5,73.3
1985,1,20,76.0,19.3
1985,1,20,93.8,356.3
1985,1,21,259.5,73.1
1985,1,21,63.2,21.1
1985,1,21,94.7,356.1
1985,1,22,261.2,72.9
1985,1,22,30.2,21.9
1985,1,22,94.7,355.9
1985,1,23,261.6,73.8
1985,1,23,321.7,23.8
1985,1,24,262.3,74.6
1985,1,24,299.4,23.6
1985,1,25,259.5,73.4
1985,1,25,287.3,24.4
1985,1,26,303.5,354.3
1985,1,27,284.8,357.1
1985,1,30,117.3,263.6
1985,1,31,148.6,264.4
1985,1,31,11.0,264.4
1985,1,31,147.1,263.4
1985,1,31,13.2,263.4
1985,2,1,220.6,263.3
1985,2,1,339.9,265.3
1985,2,1,257.5,299.3
1985,2,2,245.2,264.1
1985,2,2,317.2,265.1
1985,2,2,257.3,300.1
1985,2,3,252.5,263.9
1985,2,3,303.7,265.9
1985,2,4,252.5,262.8
1985,2,4,294.9,266.8
1985,2,5,255.1,262.6
1985,2,5,290.6,266.6
1985,2,5,94.6,140.6
1985,2,6,289.0,265.4
1985,2,6,93.6,142.4
1985,2,7,287.0,266.3
1985,2,8,15.9,159.1
1985,2,8,86.6,94.1
1985,2,8,101.4,79.1
1985,2,9,329.0,160.9
1985,2,9,82.6,97.9
1985,2,9,72.8,90.9
1985,2,9,98.4,78.9
1985,2,10,27.5,132.8
1985,2,10,303.5,162.8
1985,2,10,100.0,77.8
1985,2,11,294.8,162.6
1985,2,11,100.2,78.6
1985,2,12,99.8,78.4
1985,2,13,100.6,78.3
1985,2,14,280.2,165.1
1985,2,14,115.0,78.1
1985,2,14,112.9,72.1
1985,2,15,229.8,76.9
1985,2,16,256.9,78.8
1985,2,17,260.7,80.6
1985,2,18,348.7,36.4
1985,2,19,248.0,24.3
1985,2,19,85.1,296.3
1985,2,20,262.8,25.1
1985,2,20,85.5,295.1
1985,2,21,264.4,25.9
1985,2,21,82.1,294.9
1985,2,22,264.2,29.7
1985,2,22,78.5,295.7
1985,2,23,263.5,30.6
1985,2,23,71.7,297.6
1985,2,24,58.1,297.4
1985,2,25,11.2,298.2
1985,2,26,312.5,298.1
1985,2,27,291.8,300.9
1985,2,28,284.5,300.7
1985,3,1,279.1,300.5
1985,3,2,277.3,301.4
1985,3,3,274.7,305.2
1985,3,8,87.5,99.3
1985,3,8,103.3,85.3
1985,3,9,85.4,98.1
1985,3,9,100.0,74.1
1985,3,10,81.6,99.0
1985,3,10,65.2,80.0
1985,3,11,110.8,84.8
1985,3,11,291.7,152.8
1985,3,12,107.3,85.6
1985,3,12,284.8,152.6
1985,3,13,282.9,150.4
1985,3,14,280.4,149.2
1985,3,16,99.7,358.9
1985,3,17,100.6,359.7
1985,3,18,103.2,358.5
1985,3,18,97.1,337.5
1985,3,18,281.1,82.5
1985,3,19,113.7,358.3
1985,3,19,99.4,337.3
1985,3,19,279.7,81.3
1985,3,20,180.0,357.2
1985,3,20,102.9,337.2
1985,3,20,121.9,324.2
1985,3,21,248.9,355.0
1985,3,21,77.3,308.0
1985,3,21,103.3,283.0
1985,3,22,195.4,332.8
1985,3,22,102.6,281.8
1985,3,22,82.7,250.8
1985,3,23,80.2,247.6
1985,3,23,290.9,347.6
1985,3,24,255.1,338.4
1985,3,24,77.7,246.4
1985,3,24,283.3,346.4
1985,3,24,93.0,259.4
1985,3,25,260.0,339.2
1985,3,25,123.9,283.2
1985,3,25,73.4,247.2
1985,3,25,277.7,349.2
1985,3,25,92.2,260.2
1985,3,26,243.9,287.0
1985,3,26,65.9,248.0
1985,3,27,51.3,247.9
1985,3,28,260.1,284.7
1985,3,28,9.0,249.7
1985,3,29,261.1,285.5
1985,3,29,316.3,250.5
1985,3,29,259.4,252.5
1985,3,30,261.1,285.3
1985,3,30,295.2,249.3
1985,3,30,265.4,262.3
1985,3,31,260.6,283.1
1985,3,31,287.5,250.1
1985,3,31,116.2,151.1
1985,3,31,292.2,237.1
1985,4,1,282.4,250.9
1985,4,1,117.6,150.9
1985,4,1,281.3,236.9
1985,4,2,279.3,251.7
1985,4,2,114.0,138.7
1985,4,3,277.0,253.5
1985,4,3,133.9,150.5
1985,4,3,117.4,138.5
1985,4,4,127.1,139.3
1985,4,4,104.7,90.3
1985,4,5,154.4,139.1
1985,4,5,104.0,91.1
1985,4,6,203.9,139.9
1985,4,6,107.3,91.9
1985,4,7,227.2,147.7
1985,4,7,228.6,139.7
1985,4,7,227.6,128.7
1985,4,8,307.1,110.5
1985,4,9,275.4,111.3
1985,4,13,97.2,339.5
1985,4,14,290.8,68.3
1985,4,14,283.4,57.3
1985,4,18,96.5,267.5
1985,4,19,96.2,266.3
1985,4,20,94.8,267.1
1985,4,20,84.9,230.1
1985,4,21,81.9,231.9
1985,4,22,274.5,355.7
1985,4,22,79.7,230.7
1985,4,23,75.6,231.5
1985,4,24,251.0,268.2
1985,4,24,69.6,232.2
1985,4,25,258.0,290.0
1985,4,25,75.1,199.0
1985,4,25,276.4,300.0
1985,4,25,95.9,211.0
1985,4,25,14.7,240.0
1985,4,25,133.5,234.0
1985,4,25,46.3,233.0
1985,4,25,75.4,198.0
1985,4,25,272.9,310.0
1985,4,26,68.0,197.8
1985,4,26,304.2,239.8
1985,4,26,233.5,237.8
1985,4,26,334.8,232.8
1985,4,26,69.1,198.8
1985,4,26,270.5,312.8
1985,4,27,297.5,233.6
1985,4,28,287.0,232.4
1985,4,29,281.4,233.2
1985,4,30,278.3,235.0
1985,5,1,276.8,232.7
1985,5,2,275.3,234.5
1985,5,2,85.0,72.5
1985,5,2,69.5,111.5
1985,5,3,78.4,89.3
1985,5,3,84.9,71.3
1985,5,3,60.8,111.3
1985,5,4,74.2,89.1
1985,5,4,81.9,72.1
1985,5,5,61.9,91.9
1985,5,5,79.3,70.9
1985,5,6,20.8,92.7
1985,5,6,74.1,70.7
1985,5,7,313.0,92.4
1985,5,7,60.4,70.4
1985,5,7,102.6,3.4
1985,5,8,291.2,94.2
1985,5,8,344.7,72.2
1985,5,8,101.6,0.2
1985,5,8,82.0,354.2
1985,5,9,283.9,94.0
1985,5,9,294.1,73.0
1985,5,9,89.1,20.0
1985,5,9,103.5,1.0
1985,5,9,81.8,353.0
1985,5,10,279.9,95.8
1985,5,10,105.4,359.8
1985,5,10,80.2,350.8
1985,5,11,277.6,98.5
1985,5,11,110.4,0.5
1985,5,11,76.5,348.5
1985,5,12,276.5,98.3
1985,5,12,122.0,0.3
1985,5,13,159.1,0.1
1985,5,13,60.1,347.1
1985,5,13,94.2,312.1
1985,5,14,226.1,0.9
1985,5,14,17.3,347.9
1985,5,14,94.7,311.9
1985,5,15,244.0,0.6
1985,5,15,302.1,349.6
1985,5,15,96.6,261.6
1985,5,16,253.1,0.4
1985,5,16,96.6,260.4
1985,5,17,62.5,291.2
1985,5,17,256.1,0.2
1985,5,17,290.0,320.2
1985,5,17,97.2,261.2
1985,5,17,81.4,233.2
1985,5,18,256.6,2.0
1985,5,18,102.3,262.0
1985,5,18,80.0,235.0
1985,5,19,257.1,0.7
1985,5,19,278.9,358.7
1985,5,19,104.3,259.7
1985,5,19,79.2,234.7
1985,5,20,119.3,260.5
1985,5,20,73.7,236.5
1985,5,21,273.1,322.3
1985,5,21,189.1,259.3
1985,5,21,67.9,236.3
1985,5,22,246.6,260.1
1985,5,22,45.8,236.1
1985,5,23,256.9,261.8
1985,5,23,304.7,245.8
1985,5,23,326.7,236.8
1985,5,24,260.0,262.6
1985,5,24,286.9,243.6
1985,5,24,296.7,235.6
1985,5,24,50.9,183.6
1985,5,25,262.5,261.4
1985,5,25,286.8,241.4
1985,5,25,285.5,236.4
1985,5,25,35.1,184.4
1985,5,26,263.0,263.1
1985,5,26,281.2,236.1
1985,5,27,263.1,262.9
1985,5,27,278.2,243.9
1985,5,28,284.8,184.7
1985,5,29,278.9,184.4
1985,5,30,276.5,183.2
1985,6,1,58.4,103.7
1985,6,3,94.1,14.3
1985,6,3,104.1,4.3
1985,6,4,93.4,15.0
1985,6,4,102.6,1.0
1985,6,4,244.0,121.0
1985,6,5,102.5,358.8
1985,6,5,247.6,121.8
1985,6,5,106.4,1.8
1985,6,6,97.5,13.6
1985,6,6,134.8,28.6
1985,6,6,103.4,358.6
1985,6,6,109.2,0.6
1985,6,6,88.0,327.6
1985,6,7,107.8,359.3
1985,6,7,116.1,2.3
1985,6,7,90.1,326.3
1985,6,8,166.6,18.1
1985,6,8,119.2,359.1
1985,6,8,129.5,2.1
1985,6,8,89.0,325.1
1985,6,9,186.0,7.9
1985,6,9,150.4,0.9
1985,6,9,157.9,0.9
1985,6,9,89.0,326.9
1985,6,10,232.4,7.6
1985,6,10,198.8,357.6
1985,6,10,207.8,2.6
1985,6,10,88.9,326.6
1985,6,10,76.0,316.6
1985,6,10,90.5,304.6
1985,6,10,233.2,6.6
1985,6,11,231.5,355.4
1985,6,11,232.7,0.4
1985,6,11,88.7,325.4
1985,6,11,70.8,315.4
1985,6,11,89.3,305.4
1985,6,11,248.2,5.4
1985,6,12,248.7,356.1
1985,6,12,245.4,359.1
1985,6,12,230.7,328.1
1985,6,12,92.4,308.1
1985,6,12,254.9,6.1
1985,6,13,258.1,359.9
1985,6,13,250.4,0.9
1985,6,13,262.2,327.9
1985,6,13,115.8,309.9
1985,6,13,258.4,8.9
1985,6,14,252.3,0.7
1985,6,14,265.7,327.7
1985,6,14,259.0,10.7
1985,6,15,254.0,0.4
1985,6,15,265.7,329.4
1985,6,15,114.0,261.4
1985,6,16,256.8,359.2
1985,6,16,266.7,330.2
1985,6,16,131.4,261.2
1985,6,16,71.0,247.2
1985,6,17,266.2,330.0
1985,6,17,266.0,309.0
1985,6,17,175.0,260.0
1985,6,18,268.8,329.7
1985,6,18,228.4,259.7
1985,6,19,309.3,247.5
1985,6,20,292.9,247.3
1985,6,21,283.0,249.0
1985,6,22,279.6,249.8
1985,6,23,279.9,252.5
1985,6,23,123.8,156.5
1985,6,24,148.9,158.3
1985,6,25,193.5,159.1
1985,6,26,223.5,157.8
1985,6,26,120.1,121.8
1985,6,27,154.6,121.6
1985,6,28,98.1,28.4
1985,6,29,99.3,30.1
1985,6,30,99.3,25.9
1985,7,1,255.9,120.6
1985,7,1,102.2,28.6
1985,7,1,106.1,359.6
1985,7,1,105.6,354.6
1985,7,2,105.8,26.4
1985,7,2,107.1,359.4
1985,7,3,115.0,27.2
1985,7,3,93.5,31.2
1985,7,3,110.4,359.2
1985,7,4,148.4,28.9
1985,7,4,294.2,41.9
1985,7,4,116.7,359.9
1985,7,4,121.0,357.9
1985,7,5,207.6,28.7
1985,7,5,127.9,359.7
1985,7,5,131.9,357.7
1985,7,6,238.9,30.5
1985,7,6,150.7,359.5
1985,7,6,153.6,358.5
1985,7,6,201.6,14.5
1985,7,6,86.5,328.5
1985,7,6,83.3,329.5
1985,7,7,247.7,30.2
1985,7,7,186.4,358.2
1985,7,7,188.1,359.2
1985,7,7,232.7,10.2
1985,7,7,97.2,315.2
1985,7,7,97.0,314.2
1985,7,8,255.1,32.0
1985,7,8,221.5,360.0
1985,7,8,220.0,360.0
1985,7,8,247.8,12.0
1985,7,9,258.8,30.8
1985,7,9,236.9,359.8
1985,7,9,255.5,11.8
1985,7,9,273.2,10.8
1985,7,9,277.9,330.8
1985,7,9,277.9,330.8
1985,7,10,259.7,31.5
1985,7,10,245.0,359.5
1985,7,10,258.8,11.5
1985,7,10,274.8,330.5
1985,7,11,248.8,0.3
1985,7,11,260.1,13.3
1985,7,11,270.9,331.3
1985,7,12,251.7,0.1
1985,7,12,262.2,10.1
1985,7,12,271.3,331.1
1985,7,13,254.7,2.8
1985,7,13,87.4,208.8
1985,7,13,271.8,329.8
1985,7,14,271.5,332.6
1985,7,15,272.5,333.4
1985,7,16,105.7,163.1
1985,7,17,108.2,162.9
1985,7,18,112.6,163.7
1985,7,19,119.6,163.4
1985,7,20,133.9,164.2
1985,7,21,156.3,163.0
1985,7,22,199.2,163.7
1985,7,22,108.1,99.7
1985,7,23,225.9,163.5
1985,7,23,111.7,100.5
1985,7,24,120.2,101.3
1985,7,25,137.5,102.1
1985,7,25,180.0,118.1
1985,7,26,256.8,118.8
1985,7,26,83.1,15.8
1985,7,27,85.4,18.6
1985,7,28,257.7,133.4
1985,7,28,203.7,95.4
1985,7,28,85.9,12.4
1985,7,28,106.1,20.4
1985,7,28,105.6,2.4
1985,7,28,257.7,133.4
1985,7,29,59.2,61.1
1985,7,29,85.6,14.1
1985,7,29,110.4,20.1
1985,7,29,109.3,2.1
1985,7,29,260.6,135.1
1985,7,30,86.0,13.9
1985,7,30,118.4,20.9
1985,7,30,111.4,2.9
1985,7,30,262.5,136.9
1985,7,31,85.7,15.7
1985,7,31,86.1,7.7
1985,7,31,117.9,2.7
1985,8,1,88.7,16.5
1985,8,1,165.3,20.5
1985,8,1,134.0,3.5
1985,8,2,279.0,19.2
1985,8,2,153.6,2.2
1985,8,3,273.8,21.0
1985,8,3,227.8,19.0
1985,8,3,188.4,2.0
1985,8,4,271.8,20.8
1985,8,4,270.8,5.8
1985,8,4,215.1,0.8
1985,8,5,272.5,19.6
1985,8,5,233.4,1.6
1985,8,6,273.6,22.3
1985,8,6,243.1,2.3
1985,8,6,223.1,322.3
1985,8,7,269.5,13.1
1985,8,7,248.8,3.1
1985,8,8,252.1,2.9
1985,8,8,94.5,230.9
1985,8,8,80.5,220.9
1985,8,9,254.3,2.7
1985,8,9,97.0,231.7
1985,8,10,101.2,232.5
1985,8,11,112.4,233.2
1985,8,11,83.1,224.2
1985,8,17,180.0,173.9
1985,8,17,203.5,185.9
1985,8,18,218.1,174.7
1985,8,19,235.9,185.5
1985,8,20,244.8,187.3
1985,8,25,103.9,38.2
1985,8,25,84.9,9.2
1985,8,26,247.8,91.0
1985,8,27,89.1,348.8
1985,8,28,92.5,349.6
1985,8,29,91.4,351.4
1985,8,30,268.6,8.2
1985,8,31,233.8,351.9
1985,8,31,270.7,8.9
1985,9,1,263.5,352.7
1985,9,7,265.4,259.5
1985,9,11,161.4,194.7
1985,9,13,101.9,101.3
1985,9,14,105.1,103.1
1985,9,15,20.1,139.9
