Year,Month,Day,Theta,Phi
1888,1,1,96.7,227.6
1888,1,2,96.9,227.7
1888,1,3,98.7,227.8
1888,1,4,101.5,227.6
1888,1,4,72.6,204.0
1888,1,5,134.9,228.3
1888,1,5,63.3,206.3
1888,1,6,234.4,228.0
1888,1,7,255.1,227.9
1888,1,8,260.7,228.2
1888,1,9,261.7,228.2
1888,1,10,262.4,228.1
1888,1,10,87.9,93.8
1888,1,10,97.5,84.4
1888,1,11,86.5,95.5
1888,1,11,97.0,84.8
1888,1,12,84.7,96.2
1888,1,12,96.9,84.9
1888,1,12,194.4,146.4
1888,1,13,97.5,84.5
1888,1,13,243.5,148.2
1888,1,14,98.4,84.4
1888,1,14,252.6,148.1
1888,1,15,105.5,84.3
1888,1,15,257.1,150.3
1888,1,16,126.0,84.5
1888,1,16,257.9,149.9
1888,1,17,234.8,84.5
1888,1,18,257.5,85.0
1888,1,18,97.1,0.4
1888,1,19,261.7,85.1
1888,1,19,97.4,1.9
1888,1,20,263.4,85.2
1888,1,20,99.6,1.9
1888,1,21,263.3,85.3
1888,1,21,101.8,2.0
1888,1,23,239.3,3.2
1888,1,24,255.5,2.5
1888,1,24,88.5,300.5
1888,1,25,85.8,301.1
1888,1,30,268.4,291.7
1888,1,31,268.0,291.2
1888,2,1,267.7,292.3
1888,2,2,266.2,292.2
1888,2,3,99.7,203.6
1888,2,18,92.6,297.6
1888,2,19,0.0,0.0
1888,2,20,90.6,292.8
1888,2,21,89.3,292.8
1888,2,22,87.2,294.2
1888,2,23,82.5,295.6
1888,2,24,310.9,296.4
1888,2,25,280.7,298.1
1888,2,26,273.9,300.7
1888,2,27,271.2,303.9
1888,2,28,268.6,298.0
1888,2,29,267.1,299.6
1888,3,1,263.4,250.2
1888,3,9,86.0,36.7
1888,3,10,83.5,36.3
1888,3,10,58.0,64.9
1888,3,11,81.2,36.9
1888,3,11,48.2,64.8
1888,3,12,0.0,0.0
1888,3,13,67.4,38.5
1888,3,13,334.4,68.9
1888,3,14,31.1,38.7
1888,3,15,315.0,40.2
1888,3,16,295.5,41.0
1888,3,16,92.7,306.6
1888,3,17,285.3,40.9
1888,3,17,90.7,307.6
1888,3,18,280.1,41.5
1888,3,18,89.4,307.2
1888,3,19,277.2,42.3
1888,3,19,87.6,307.2
1888,3,19,86.3,296.9
1888,3,20,275.1,42.6
1888,3,21,98.4,238.2
1888,3,22,97.8,237.5
1888,3,23,97.2,237.4
1888,3,25,271.2,299.0
1888,3,31,84.2,142.2
1888,4,1,57.7,145.5
1888,4,2,40.1,145.7
1888,4,3,60.2,124.7
1888,4,4,358.7,124.9
1888,4,5,308.9,125.0
1888,4,16,94.3,254.1
1888,4,17,93.6,255.6
1888,4,18,94.8,243.5
1888,4,21,92.0,185.1
1888,4,22,91.2,184.2
1888,4,23,89.7,184.1
1888,4,24,88.6,184.1
1888,4,24,102.5,151.9
1888,4,25,87.5,184.1
1888,4,25,103.5,153.7
1888,4,25,90.5,143.8
1888,4,26,84.1,184.1
1888,4,26,105.6,154.0
1888,4,26,89.4,143.9
1888,4,27,285.9,184.2
1888,4,27,111.0,153.4
1888,4,27,85.6,145.0
1888,4,28,115.9,154.0
1888,4,28,84.6,145.5
1888,4,28,263.4,247.4
1888,4,29,142.3,153.4
1888,4,29,78.7,145.7
1888,5,11,97.2,274.4
1888,5,12,97.4,272.9
1888,5,13,98.2,271.5
1888,5,14,99.1,271.1
1888,5,15,102.0,271.4
1888,5,16,105.7,271.4
1888,5,17,127.0,272.3
1888,5,18,235.1,273.4
1888,5,19,251.5,273.5
1888,5,20,260.6,275.5
1888,5,21,261.9,275.5
1888,5,22,261.8,276.3
1888,5,23,262.7,276.7
1888,6,9,97.9,297.3
1888,6,10,104.3,298.8
1888,6,11,126.3,300.2
1888,6,12,228.4,301.1
1888,6,13,253.4,300.7
1888,6,14,260.8,304.4
1888,6,15,262.7,305.3
1888,6,15,170.1,256.8
1888,6,16,264.2,307.7
1888,6,16,231.7,256.6
1888,6,17,241.7,254.9
1888,6,18,255.2,259.6
1888,6,19,258.0,260.9
1888,6,19,111.5,163.4
1888,6,24,294.3,136.6
1888,6,25,275.9,137.0
1888,6,26,275.5,139.5
1888,6,27,273.9,140.2
1888,6,28,273.7,141.2
1888,6,29,274.8,143.0
1888,7,6,245.4,15.3
1888,7,6,99.1,271.9
1888,7,7,252.4,16.0
1888,7,7,101.3,273.2
1888,7,10,135.7,267.5
1888,7,11,159.9,264.3
1888,7,13,236.3,266.1
1888,7,14,245.9,266.3
1888,7,15,252.0,266.5
1888,7,15,85.7,150.2
1888,7,16,255.6,266.4
1888,7,16,86.1,150.3
1888,7,17,258.0,266.2
1888,7,17,86.1,150.8
1888,7,19,84.2,149.9
1888,7,29,96.6,319.4
1888,7,30,99.1,319.8
1888,8,1,101.1,305.0
1888,8,2,109.4,304.8
1888,8,8,221.9,274.2
1888,8,9,243.3,275.8
1888,8,10,250.0,273.5
1888,8,12,96.6,141.5
1888,8,13,98.6,142.3
1888,8,14,103.9,144.8
1888,8,15,113.8,145.5
1888,8,16,131.5,144.3
1888,8,18,244.6,145.1
1888,8,21,262.0,142.2
1888,8,22,263.8,142.3
1888,8,25,80.1,33.0
1888,8,26,273.1,32.3
1888,8,27,272.5,32.9
1888,8,28,272.5,32.6
1888,8,28,96.5,277.8
1888,8,29,99.0,277.2
1888,8,30,101.6,276.0
1888,8,30,250.3,18.3
