Year,Month,Day,Theta,Phi
1941,1,1,103.3,2.4
1941,1,1,69.0,340.3
1941,1,1,61.5,340.8
1941,1,1,76.4,337.3
1941,1,1,43.4,4.2
1941,1,1,84.7,333.3
1941,1,1,79.7,325.3
1941,1,2,127.2,3.3
1941,1,2,59.6,339.0
1941,1,2,51.2,340.6
1941,1,2,70.4,337.9
1941,1,2,8.8,6.7
1941,1,3,240.5,5.4
1941,1,3,44.9,337.2
1941,1,3,34.7,340.5
1941,1,3,57.5,338.4
1941,1,3,328.6,8.9
1941,1,4,15.8,337.5
1941,1,4,6.5,340.3
1941,1,4,23.7,337.8
1941,1,4,306.4,10.4
1941,1,4,108.5,318.8
1941,1,5,350.0,338.1
1941,1,5,346.7,340.2
1941,1,5,349.9,336.8
1941,1,5,301.0,8.8
1941,1,5,34.3,327.0
1941,1,5,119.0,319.7
1941,1,5,256.4,359.0
1941,1,6,305.2,339.7
1941,1,6,297.5,338.6
1941,1,6,290.5,11.0
1941,1,6,260.7,359.6
1941,1,7,288.7,341.0
1941,1,7,288.8,6.5
1941,1,7,281.8,337.4
1941,1,7,261.5,0.5
1941,1,7,97.7,239.3
1941,1,7,77.8,219.6
1941,1,8,286.3,340.3
1941,1,8,287.5,6.0
1941,1,8,280.2,336.9
1941,1,8,262.0,0.2
1941,1,8,97.6,239.9
1941,1,8,76.9,219.0
1941,1,9,283.4,343.0
1941,1,9,278.0,335.5
1941,1,9,260.6,358.4
1941,1,9,98.9,240.5
1941,1,9,74.2,219.0
1941,1,9,278.4,314.2
1941,1,10,275.3,338.7
1941,1,10,102.4,240.5
1941,1,10,70.2,219.2
1941,1,10,275.1,315.2
1941,1,11,116.9,242.4
1941,1,11,64.7,219.6
1941,1,11,273.9,315.0
1941,1,11,91.2,192.5
1941,1,12,204.3,241.3
1941,1,12,50.5,220.0
1941,1,12,273.2,315.7
1941,1,12,93.5,194.1
1941,1,13,249.1,242.8
1941,1,13,23.0,220.3
1941,1,13,90.0,189.7
1941,1,14,336.9,220.5
1941,1,14,87.4,190.2
1941,1,15,308.4,220.3
1941,1,16,294.1,220.5
1941,1,16,76.7,107.0
1941,1,16,103.6,128.4
1941,1,17,288.9,220.4
1941,1,17,74.9,107.7
1941,1,18,286.1,220.1
1941,1,18,72.0,107.7
1941,1,19,64.8,108.1
1941,1,19,93.9,118.4
1941,1,20,58.1,108.2
1941,1,20,92.4,117.8
1941,1,21,38.9,108.2
1941,1,21,97.5,117.0
1941,1,22,0.7,108.3
1941,1,22,265.1,117.6
1941,1,22,135.6,101.0
1941,1,23,321.4,108.7
1941,1,23,268.9,117.6
1941,1,23,223.2,102.7
1941,1,24,302.2,108.5
1941,1,24,266.4,119.3
1941,1,24,247.8,102.3
1941,1,25,293.0,108.4
1941,1,25,265.4,122.2
1941,1,25,253.9,102.5
1941,1,25,76.7,352.3
1941,1,26,287.2,108.7
1941,1,26,264.9,123.1
1941,1,26,256.6,104.3
1941,1,26,73.7,351.5
1941,1,26,99.5,342.4
1941,1,27,284.3,109.1
1941,1,27,264.3,122.9
1941,1,27,257.8,101.3
1941,1,27,70.6,351.0
1941,1,27,98.8,342.9
1941,1,28,282.0,108.7
1941,1,28,257.6,102.1
1941,1,28,64.1,352.9
1941,1,28,99.6,342.9
1941,1,28,89.1,329.9
1941,1,28,100.5,304.0
1941,1,29,52.2,352.8
1941,1,29,100.5,339.9
1941,1,29,86.0,332.1
1941,1,29,100.0,304.2
1941,1,29,278.1,41.5
1941,1,29,79.1,301.4
1941,1,30,20.0,353.3
1941,1,30,80.7,332.2
1941,1,30,99.7,302.2
1941,1,30,273.6,44.6
1941,1,30,75.5,300.1
1941,1,31,347.4,353.8
1941,1,31,74.5,333.2
1941,1,31,98.9,301.4
1941,1,31,272.2,45.9
1941,1,31,72.7,300.2
1941,2,1,317.6,353.3
1941,2,1,36.4,333.4
1941,2,1,100.3,301.0
1941,2,1,270.0,46.7
1941,2,1,66.7,300.9
1941,2,2,299.5,353.5
1941,2,2,290.7,333.9
1941,2,2,105.2,301.2
1941,2,2,259.4,359.5
1941,2,2,105.2,243.0
1941,2,3,289.2,357.1
1941,2,3,279.4,333.9
1941,2,3,129.9,300.9
1941,2,3,21.9,300.7
1941,2,3,260.2,357.0
1941,2,3,104.9,243.2
1941,2,3,98.3,224.8
1941,2,4,285.7,357.2
1941,2,4,275.9,334.2
1941,2,4,234.9,302.0
1941,2,4,337.5,301.4
1941,2,4,259.5,357.2
1941,2,4,97.2,225.6
1941,2,4,105.4,239.4
1941,2,4,293.9,316.4
1941,2,5,283.2,357.6
1941,2,5,273.7,334.3
1941,2,5,253.4,302.3
1941,2,5,96.7,226.0
1941,2,5,105.4,239.5
1941,2,5,286.9,315.8
1941,2,5,96.4,264.3
1941,2,6,259.8,302.7
1941,2,6,96.9,225.2
1941,2,6,279.3,316.9
1941,2,6,133.0,265.8
1941,2,6,71.8,202.8
1941,2,7,261.4,305.1
1941,2,7,97.2,226.1
1941,2,7,276.3,318.7
1941,2,7,259.9,266.3
1941,2,7,67.4,204.5
1941,2,8,260.7,302.8
1941,2,8,101.9,226.1
1941,2,8,262.8,269.2
1941,2,8,61.7,204.3
1941,2,9,260.0,305.7
1941,2,9,128.4,225.3
1941,2,9,263.4,269.8
1941,2,9,51.2,204.1
1941,2,9,72.8,180.9
1941,2,9,99.5,145.4
1941,2,10,263.2,270.5
1941,2,10,34.0,201.9
1941,2,10,66.0,181.6
1941,2,10,98.7,145.0
1941,2,10,11.0,212.7
1941,2,11,262.5,270.0
1941,2,11,11.5,200.7
1941,2,11,55.0,183.3
1941,2,11,98.4,144.7
1941,2,11,343.1,211.6
1941,2,12,98.7,145.3
1941,2,12,314.3,212.7
1941,2,13,101.2,145.2
1941,2,13,298.7,214.1
1941,2,13,80.1,119.2
1941,2,13,11.4,172.0
1941,2,14,105.5,145.2
1941,2,14,292.4,215.2
1941,2,14,76.8,119.9
1941,2,15,126.9,145.2
1941,2,15,287.3,217.5
1941,2,15,70.9,119.9
1941,2,16,223.4,145.3
1941,2,16,283.8,219.4
1941,2,16,92.8,65.9
1941,2,17,253.7,145.2
1941,2,17,90.9,65.2
1941,2,18,258.3,145.5
1941,2,18,89.9,64.1
1941,2,19,260.4,145.7
1941,2,19,86.8,65.5
1941,2,20,260.0,145.5
1941,2,20,77.9,68.5
1941,2,20,258.4,130.0
1941,2,21,259.2,146.5
1941,2,21,258.9,132.5
1941,2,21,74.0,353.5
1941,2,22,258.8,130.7
1941,2,22,71.7,353.7
1941,2,22,93.6,47.8
1941,2,23,66.5,353.3
1941,2,23,235.6,46.2
1941,2,24,60.2,353.6
1941,2,24,78.8,332.6
1941,2,24,78.0,317.6
1941,2,25,49.4,353.9
1941,2,25,74.9,333.2
1941,2,25,75.2,318.5
1941,2,25,97.3,359.6
1941,2,26,28.9,353.9
1941,2,26,68.3,332.6
1941,2,26,70.9,318.8
1941,2,27,359.7,354.2
1941,2,27,56.0,333.6
1941,2,27,64.7,319.2
1941,2,27,254.5,40.6
1941,2,27,46.8,340.8
1941,2,28,328.7,354.3
1941,2,28,29.2,332.9
1941,2,28,52.6,318.9
1941,2,28,255.2,43.5
1941,2,28,75.4,272.6
1941,3,1,308.9,354.6
1941,3,1,339.1,333.1
1941,3,1,25.9,319.2
1941,3,1,71.8,271.2
1941,3,2,296.9,354.8
1941,3,2,304.4,333.5
1941,3,2,336.5,319.5
1941,3,2,65.6,272.4
1941,3,3,291.8,354.6
1941,3,3,309.2,319.6
1941,3,3,52.4,276.5
1941,3,3,71.1,246.7
1941,3,4,288.2,354.8
1941,3,4,296.0,318.9
1941,3,4,28.6,277.1
1941,3,4,64.8,248.8
1941,3,4,73.4,225.7
1941,3,5,285.7,354.4
1941,3,5,288.1,319.4
1941,3,5,345.4,278.4
1941,3,5,53.7,249.7
1941,3,5,69.6,225.2
1941,3,5,14.9,268.5
1941,3,5,101.7,258.8
1941,3,6,284.3,319.9
1941,3,6,319.3,278.1
1941,3,6,31.2,251.0
1941,3,6,63.2,225.6
1941,3,6,339.1,269.1
1941,3,7,281.4,319.7
1941,3,7,353.0,250.6
1941,3,7,52.6,225.0
1941,3,7,267.1,317.8
1941,3,8,312.9,252.2
1941,3,8,22.8,227.1
1941,3,8,305.7,259.5
1941,3,9,299.9,253.5
1941,3,9,359.4,225.2
1941,3,9,297.6,259.6
1941,3,9,97.2,144.3
1941,3,10,288.5,260.6
1941,3,10,96.1,142.0
1941,3,10,94.6,148.7
1941,3,11,284.5,260.9
1941,3,11,94.7,143.7
1941,3,11,92.6,149.8
1941,3,11,36.1,178.9
1941,3,12,282.6,260.0
1941,3,12,94.7,142.8
1941,3,12,91.2,150.3
1941,3,12,10.2,178.8
1941,3,13,95.4,143.4
1941,3,13,90.0,150.5
1941,3,13,333.0,179.4
1941,3,14,100.6,142.4
1941,3,14,93.2,150.7
1941,3,14,309.3,180.5
1941,3,14,74.1,87.9
1941,3,14,74.0,75.9
1941,3,14,99.9,70.5
1941,3,15,216.0,144.6
1941,3,15,266.1,151.0
1941,3,15,297.6,181.2
1941,3,15,73.2,85.3
1941,3,15,71.2,76.4
1941,3,15,98.6,71.8
1941,3,16,257.4,142.6
1941,3,16,268.5,151.3
1941,3,16,290.2,181.0
1941,3,16,65.9,76.7
1941,3,16,97.8,72.0
1941,3,16,104.7,50.4
1941,3,17,287.2,181.4
1941,3,17,59.4,87.1
1941,3,17,97.8,72.1
1941,3,17,103.6,48.6
1941,3,17,81.6,45.1
1941,3,18,40.1,87.7
1941,3,18,99.2,71.8
1941,3,18,103.8,49.3
1941,3,18,13.3,97.2
1941,3,18,45.5,86.8
1941,3,18,78.8,30.3
1941,3,19,2.6,87.5
1941,3,19,104.3,71.9
1941,3,19,105.2,49.3
1941,3,19,333.9,98.2
1941,3,19,1.2,88.0
1941,3,20,323.0,87.2
1941,3,20,153.9,72.3
1941,3,20,110.4,49.8
1941,3,20,308.0,99.2
1941,3,20,316.6,88.3
1941,3,20,53.8,47.5
1941,3,21,305.6,88.1
1941,3,21,244.5,72.4
1941,3,21,120.1,49.5
1941,3,21,298.1,99.6
1941,3,21,301.2,88.2
1941,3,21,38.6,48.5
1941,3,22,294.8,87.2
1941,3,22,257.7,72.8
1941,3,22,173.7,49.9
1941,3,22,289.4,104.5
1941,3,22,291.2,88.2
1941,3,22,5.0,49.1
1941,3,23,288.0,87.9
1941,3,23,260.4,73.1
1941,3,23,237.8,50.2
1941,3,23,285.8,104.2
1941,3,23,284.5,89.4
1941,3,23,79.8,322.4
1941,3,24,283.3,87.5
1941,3,24,261.2,73.7
1941,3,24,251.6,50.9
1941,3,24,284.7,90.1
1941,3,24,77.4,322.8
1941,3,25,281.0,86.3
1941,3,25,255.6,51.0
1941,3,25,73.7,323.0
1941,3,25,96.5,312.6
1941,3,26,257.1,51.3
1941,3,26,67.1,323.3
1941,3,26,96.7,312.8
1941,3,27,257.3,51.9
1941,3,27,56.4,323.5
1941,3,27,96.9,313.1
1941,3,27,17.7,340.7
1941,3,27,61.7,330.4
1941,3,27,78.2,267.8
1941,3,28,24.4,323.4
1941,3,28,317.6,340.9
1941,3,28,349.0,331.3
1941,3,28,75.7,267.7
1941,3,28,256.7,23.6
1941,3,29,340.3,323.5
1941,3,29,307.7,329.9
1941,3,29,72.6,268.1
1941,3,30,306.8,323.3
1941,3,30,65.0,268.5
1941,3,31,292.6,323.4
1941,3,31,283.3,341.9
1941,3,31,55.0,268.3
1941,4,1,286.2,323.1
1941,4,1,281.3,342.1
1941,4,1,32.9,268.5
1941,4,1,291.4,291.3
1941,4,1,260.9,338.8
1941,4,2,282.3,323.8
1941,4,2,354.2,267.4
1941,4,2,279.6,292.0
1941,4,3,279.3,323.9
1941,4,3,97.1,168.5
1941,4,4,96.7,169.8
1941,4,4,324.7,263.4
1941,4,5,95.0,170.4
1941,4,5,313.2,262.1
1941,4,6,93.3,172.1
1941,4,6,91.6,145.9
1941,4,7,285.4,267.4
1941,4,7,93.1,172.6
1941,4,7,89.5,143.6
1941,4,7,98.6,128.1
1941,4,7,97.9,115.9
1941,4,8,93.0,173.4
1941,4,8,88.1,144.8
1941,4,8,98.1,128.7
1941,4,8,96.2,116.9
1941,4,8,2.3,185.7
1941,4,9,261.2,173.3
1941,4,9,86.7,146.6
1941,4,9,98.9,126.1
1941,4,9,96.0,115.8
1941,4,9,333.4,178.5
1941,4,10,264.9,173.9
1941,4,10,82.0,146.2
1941,4,10,99.3,126.2
1941,4,10,95.8,114.4
1941,4,11,48.2,147.3
1941,4,11,102.7,126.5
1941,4,11,96.5,112.9
1941,4,12,278.0,148.0
1941,4,12,125.7,126.2
1941,4,12,99.1,113.9
1941,4,12,268.2,209.4
1941,4,13,272.4,148.8
1941,4,13,231.8,127.5
1941,4,13,128.9,116.4
1941,4,14,260.5,117.4
1941,4,14,18.6,98.4
1941,4,15,261.0,117.5
1941,4,16,264.0,118.7
1941,4,16,259.2,130.0
1941,4,16,0.9,80.4
1941,4,17,262.0,118.0
1941,4,17,256.7,128.3
1941,4,18,262.9,118.8
1941,4,18,256.5,128.3
1941,4,18,67.6,1.2
1941,4,19,262.0,118.3
1941,4,19,95.6,330.1
1941,4,20,94.1,330.5
1941,4,21,93.0,331.3
1941,4,22,93.4,331.6
1941,4,23,94.2,331.2
1941,4,23,56.3,339.7
1941,4,24,116.6,331.1
1941,4,24,325.3,339.5
1941,4,24,35.1,328.2
1941,4,25,261.8,332.0
1941,4,25,290.9,341.9
1941,4,26,266.1,332.9
1941,4,26,282.4,342.2
1941,4,26,90.3,224.9
1941,4,26,68.5,287.2
1941,4,27,265.8,332.5
1941,4,27,278.5,342.0
1941,4,27,89.6,226.0
1941,4,27,96.6,234.8
1941,4,28,266.5,333.1
1941,4,28,276.0,343.9
1941,4,28,88.0,226.5
1941,4,29,266.1,333.9
1941,4,29,274.1,346.1
1941,4,29,85.7,227.1
1941,4,29,317.7,280.4
1941,4,30,265.5,334.8
1941,4,30,84.6,227.2
1941,4,30,303.8,279.6
1941,4,30,261.5,295.2
1941,4,30,89.7,212.8
1941,5,1,74.6,227.8
1941,5,1,289.0,283.7
1941,5,1,262.4,294.7
1941,5,1,90.0,213.5
1941,5,1,71.3,171.5
1941,5,2,331.9,228.2
1941,5,2,285.4,283.3
1941,5,2,262.7,293.7
1941,5,2,91.0,214.6
1941,5,2,68.2,171.2
1941,5,3,284.8,227.1
1941,5,3,43.2,214.0
1941,5,3,64.1,171.0
1941,5,4,275.8,228.7
1941,5,4,273.1,213.6
1941,5,4,56.5,170.2
1941,5,5,273.8,228.0
1941,5,5,268.9,213.6
1941,5,5,42.0,170.4
1941,5,6,271.9,229.7
1941,5,6,13.0,171.5
1941,5,7,270.8,227.5
1941,5,7,331.9,171.7
1941,5,8,270.8,225.6
1941,5,8,312.6,171.5
1941,5,9,302.4,170.4
1941,5,9,66.8,55.4
1941,5,10,293.7,173.0
1941,5,10,64.3,52.0
1941,5,10,59.5,95.6
1941,5,11,61.4,50.0
1941,5,11,41.1,95.8
1941,5,12,56.5,50.0
1941,5,12,355.8,97.8
1941,5,12,267.7,149.7
1941,5,13,49.9,49.4
1941,5,13,322.3,96.4
1941,5,13,267.6,149.8
1941,5,14,39.6,49.2
1941,5,14,306.8,93.8
1941,5,14,266.8,148.7
1941,5,15,16.7,45.8
1941,5,15,95.1,339.6
1941,5,16,356.2,46.0
1941,5,16,288.2,95.6
1941,5,16,94.9,340.2
