indx,Year,Month,t,tc,p,tn,pn,td,pd
53,1980,7,179.61085714285701,179.61085714285701,170.287714285714,163.012012457706,77.9184801963374,149.20018375029,-29.35384185598203
54,1980,8,186.25471124620097,173.74528875379903,171.75136778115498,162.978550760471,-3.5786531430797006,106.27528612653,-64.00346112835066
55,1980,9,183.94831460674197,176.05168539325803,192.938483146067,172.15851674923198,0.18251240095957502,146.50266022124902,-6.909912106992744
56,1980,10,182.5535,177.4465,195.37525,152.169590513786,-28.854641690679802,111.42970559547399,67.88147591914863
57,1980,11,191.43626760563401,168.56373239436599,212.87183098591598,144.613229892709,-27.7278791314165,60.6392598648419,
58,1980,12,179.98036809816003,179.98036809816003,187.77852760736198,148.466609493978,-20.7291390026665,49.4628274155595,
59,1981,1,194.49061488673198,165.509385113268,179.774110032363,146.52790835527,-16.1479307099743,56.77910180961639,
60,1981,2,187.013385826772,172.986614173228,165.41496062992098,140.13344472652201,4.73434796519104,60.821623825573305,-5.55873234071304
61,1981,3,180.792022792023,179.207977207977,150.542165242165,160.573441929711,5.570885898056201,13.563879155780699,-4.127848994470892
62,1981,4,197.828104575163,162.171895424837,207.480718954248,140.910818076218,18.2800012179407,130.287857427108,37.178453747285964
63,1981,5,180.14088235294102,179.85911764705898,204.84470588235297,150.489619973683,-7.879363266163581,122.66066281511101,
64,1981,6,186.58173515981701,173.41826484018299,179.43196347031997,144.020878591074,-11.3977001455001,154.743235424835,36.22680438546168
65,1981,7,190.198830409357,169.801169590643,194.99795321637401,147.53602782256598,-28.770884377351,174.17909705376098,5.915561799262409
66,1981,8,186.57032967033,173.42967032967,191.285714285715,166.111809239377,-39.1115474902998,31.599225425386898,
67,1981,9,182.240689655173,177.759310344827,190.118850574714,168.88882894498002,-40.782889589446896,100.534948114557,
68,1981,10,193.040848806366,166.959151193634,175.606631299735,163.948212548404,-51.5600750887874,152.322141403543,-21.296104482230174
69,1981,11,188.43993902439,171.56006097561,170.802743902439,163.878191247479,-48.6994584666987,82.36099932602691,-36.60274868593779
70,1981,12,187.312834224599,172.687165775401,202.62486631016102,166.264867190444,-60.58584810821011,9.93561279304807,7.43707504951753
71,1982,1,177.24970588235297,177.24970588235297,200.43470588235297,156.993923169002,150.254855114312,80.5532093494175,5.261306935441944
72,1982,2,177.87859078590802,177.87859078590802,214.419241192412,152.188403960209,135.11192155386001,136.366510370364,42.364233139107306
73,1982,3,186.78308457711398,173.21691542288602,199.30447761194,152.899429094529,100.602011171133,56.4418350047503,
74,1982,4,188.17601078167098,171.82398921832902,190.39245283018903,142.4231790215,99.75684007205791,23.2715575683186,-22.869030514343617
75,1982,5,170.94028268551202,170.94028268551202,186.236395759717,135.436503376765,101.768129335136,87.0758099230684,-25.495007652678247
76,1982,6,180.616236162362,179.383763837638,175.54797047970402,132.51927820921998,94.67186245158742,156.252215957948,-17.55150423516633
77,1982,7,175.314468085106,175.314468085106,215.84510638297903,133.86310048361202,81.0591299573572,76.02945170966129,-16.926643738013208
78,1982,8,179.358745874587,179.358745874587,177.851155115512,135.831112175648,56.670166992393206,48.4985955128242,16.3764455816755
79,1982,9,181.38874598070703,178.61125401929297,155.956270096463,140.796786801504,56.9851763445724,40.9896322076641,
80,1982,10,190.35590277777803,169.644097222222,131.21388888888902,145.64011193464398,34.546075060180605,64.4817710300189,-0.07236554439673537
81,1982,11,182.71508771929797,177.28491228070203,177.75754385964902,154.916738137751,34.837974086995395,95.77086703925859,-77.90935325953248
82,1982,12,185.500709219858,174.499290780142,184.33900709219898,161.940932035173,55.10653953506699,150.495371726702,
83,1983,1,172.532209737828,172.532209737828,175.658052434457,163.006216961202,73.0124813279606,149.436604876193,-12.772365622361301
84,1983,2,172.96086956521702,172.96086956521702,181.17515527950297,161.979455087583,99.80437462199629,91.2758515859556,-18.185480252370674
85,1983,3,193.63448275862098,166.365517241379,181.681280788177,166.102791740709,92.4407293121655,21.983447700987895,
