Year,Month,t,p,tn,pn,td,pd,td2,pd2,indx,tc
1976,6,184.409677419355,130.735483870968,4.45312764467507,-95.4267766926837,1.63748753887227,0.193187422762721,93.8211249826452,11.0688239793135,1,175.590322580645
1976,7,275.1125,258.3375,4.74406387922873,-99.5040351966613,1.4938672475190202,0.41773170422936795,85.5922884356651,23.93426362115,2,84.88749999999999
1976,8,161.951162790698,132.279069767442,3.93488744035847,-55.5859024866245,1.70681984075638,-0.111097865499506,97.7935732645317,-6.36543880603432,3,161.951162790698
1976,6,184.409677419355,130.735483870968,4.45312764467507,-95.4267766926837,1.63748753887227,0.193187422762721,93.8211249826452,11.0688239793135,4,175.590322580645
1976,7,275.1125,258.3375,4.74406387922873,-99.5040351966613,1.4938672475190202,0.41773170422936795,85.5922884356651,23.93426362115,5,84.88749999999999
1976,8,161.951162790698,132.279069767442,3.93488744035847,-55.5859024866245,1.70681984075638,-0.111097865499506,97.7935732645317,-6.36543880603432,6,161.951162790698
1976,9,171.045,122.2525,2.7276314807843,-1.27613779897765,1.52586024623748,-0.078007041468023,87.42535223620001,-4.46947424841835,7,171.045
1976,10,212.37301587301602,190.534920634921,4.02718998686273,-33.3004654290235,1.59649983759595,0.08562323257540799,91.47270268756951,4.905849854837929,8,147.62698412698398
1976,11,198.08666666666699,153.306666666667,4.86377008421753,-66.4862301779359,1.6890608158539502,0.006040517907674,96.77605608935521,0.3460961821830039,9,161.91333333333301
1976,12,154.684444444444,174.34666666666698,4.307649207983951,-110.33785220316099,1.5445772520378198,0.026943787950232,88.49775767368129,1.54376533364382,10,154.684444444444
1977,1,191.65,102.49107142857099,1.9654658021332498,-6.69736255273281,1.5579192321197501,0.062167309413252,89.2621968227236,3.5619244530586402,11,168.35
1977,2,205.54509803921601,153.586274509804,4.493291786229769,160.203463620674,1.48119244626986,-0.188934283118589,84.8660758179207,-10.8251370280249,12,154.45490196078399
1977,3,198.641935483871,214.729032258065,2.7696970858710896,-32.593534935375196,1.31984653155469,0.072704659786241,75.62163586306379,4.1656701566860805,13,161.358064516129
1977,4,211.11724137931,115.789655172414,7.67680216057426,-50.727987894257204,1.56629068462144,-0.19206651606662803,89.74184571946479,-11.0046007563994,14,148.88275862069
1977,5,194.660377358491,114.439622641509,7.362133642588789,-86.964557291819,1.4704849281065602,0.077322693957946,84.2525802181043,4.43026402437206,15,165.339622641509
1977,6,181.798648648649,139.028378378378,6.38661992182071,-85.4082844634671,1.60658318921915,0.071278484006653,92.0504361789249,4.0839563036718,16,178.201351351351
1977,7,194.29206349206402,126.47619047619101,6.07607026046489,-96.26869622437891,1.49063270798527,-0.034651898600002,85.4069629717128,-1.9854075418952901,17,165.70793650793598
1977,8,179.82525252525298,190.24949494949502,3.98739448681895,-93.1613981822595,1.4390920849371398,0.031462437770365004,82.4539027975805,1.8026648974348998,18,179.82525252525298
1977,9,168.798095238095,205.36380952381,8.05809853522869,-137.480215662478,1.6253044319807801,-0.144485173121857,93.1230843764064,-8.278390622100401,19,168.798095238095
1977,10,198.75267175572498,226.183969465649,6.85087141742594,169.76641563428998,1.47108519736123,-0.190405249050273,84.28697311296821,-10.9094171677179,20,161.24732824427502
1977,11,179.537362637363,150.859340659341,7.024320366717089,141.63930208347202,1.74236915706481,-0.014432131217851,99.8303990535807,-0.8269002081619321,21,179.537362637363
1977,12,184.58091603053398,180.060305343512,9.779511821264759,122.576162212723,1.5961429445363102,0.07097482258706099,91.4522542215145,4.06655778592943,22,175.41908396946602
1978,1,197.43482587064702,157.16069651741302,9.28112578900777,103.365028374275,1.60988325045593,0.008259665987007,92.2395157599274,0.47324400124365,23,162.56517412935298
1978,2,194.12789855072498,160.281884057971,7.0256623437032495,114.95296142658998,1.5996973433779698,0.019178302754829,91.655906273848,1.09883580607401,24,165.87210144927502
1978,3,198.691176470588,171.83594771241798,5.258622862324731,82.65963961815109,1.5374162521384298,-0.05723931636304799,88.08746260235321,-3.2795712498166503,25,161.308823529412
1978,4,203.362373737374,183.077272727273,7.486962957038981,-30.972787540332998,1.6102227210628601,0.028779425095857,92.258965992973,1.6489395948055101,26,156.637626262626
1978,5,189.868666666667,181.463666666667,10.244229969162001,-41.2287783617235,1.5552964544696,0.007677694804242999,89.11192273276899,0.439899508672724,27,170.131333333333
1978,6,201.80372492836702,155.880229226362,8.79584457188577,-26.8975436164774,1.53899480743219,-0.00791173696033,88.1779071584135,-0.45330913644462706,28,158.19627507163298
1978,7,188.505653710247,202.42826855123698,19.179786525992,-50.167028279964796,1.5999323058147201,0.035213501741036005,91.66936862981791,2.01758503163823,29,171.494346289753
1978,8,201.341007194244,201.640647482015,19.119790283255803,-76.46394332427042,1.5516517270166401,-0.041741027146878995,88.9030952322385,-2.3915846880569305,30,158.658992805756
1978,9,191.411917098446,180.661658031088,18.5653315706687,-86.860466137402,1.52249298300184,0.052027007366375,87.2324222642885,2.98092794278916,31,168.588082901554
1978,10,188.95723981900503,174.445248868778,18.751874266125604,-57.4859540502445,1.5587183940583602,0.010784609853604,89.3079854289538,0.617912628306354,32,171.04276018099497
1978,11,193.464885496183,181.707124681934,24.661647575923,-64.8026794164611,1.55719541146631,0.00029617056283499997,89.2207249541572,0.016969323266141,33,166.535114503817
1978,12,192.982808716707,178.772639225182,40.024336014805996,-51.2392724440914,1.58031908137333,0.010004853683100999,90.54561364668291,0.573235890687688,34,167.017191283293
1979,1,196.74277673546,173.687242026267,37.3761498793261,-74.80918868134,1.6065306701916,-0.02667822782635,92.0474270603023,-1.52854985933829,35,163.25722326454
