Carrington Number,g10,g11,h11,Bo,thetaN,phiN
1760,-218.07,-4.68,-11.67,218.43217757464214,,
1761,-223.63,-2.97,-12.9,224.02144495561134,,
1762,-230.23,7.06,-14.82,230.81449022970807,,
1763,-240.59,12.42,-12.72,241.2459386186636,,
1764,-231.76,11.28,-12.38,232.3643699021001,,
1765,-227.33,11.29,-18.96,228.39849955724316,,
1766,-219.35,23.37,-18.11,221.3335751755707,,
1767,-227.34,3.55,-22.98,228.52605650122263,,
1768,-225.94,12.5,-14.66,226.75989327921286,,
1769,-206.34,-1.35,-13.5,206.78556066611614,,
1770,-194.91,4.21,-9.92,195.20768068905485,,
1771,-196.72,-4.78,-14.29,197.296251611631,,
1772,-198.44,-18.45,-8.34,199.47027773580703,,
1773,-201.95,-12.84,-2.79,202.37700511668808,,
1774,-208.55,-12.98,-4.21,208.99594972151974,,
1775,-221.61,-10.31,2.11,221.85973113659,,
1776,-224.24,-5.7,-1.1,224.3151301183226,,
1777,-225.61,-10.46,0.1,225.85237147304875,,
1778,-198.98,-6.59,1.89,199.0980677957473,,
1779,-206.16,-5.62,3.76,206.27085979362184,,
1780,-213.34,-8.78,0.71,213.5217742994845,,
1781,-217.35,-11.5,-8.31,217.81259972738033,,
1782,-225.75,-10.88,3.68,226.04198570177178,,
1783,-198.24,-13.08,1.15,198.67437303286,,
1784,-211.3,-9.83,-0.05,211.528535663631,,
1785,-206.05,-9.84,-5.71,206.36383452533536,,
1786,-190.65,-2.63,-2.42,190.68349640175992,,
1787,-202.68,4.59,-9.69,202.96341197368554,,
1788,-204.25,-13.39,-6.55,204.79320569784534,,
1789,-199.95,-6.68,-7.15,200.18927893371313,,
1790,-200.06,-18.54,-8.13,201.08165530450557,,
1791,-186.83,-13.19,8.99,187.5106532973527,,
1792,-178.91,-15.75,21.76,180.91530670454614,,
1793,-166.04,-22.15,42.42,172.7986125523003,,
1794,-166.33,-5.64,41.03,171.40869114487748,,
1795,-168.54,22.69,30.64,172.7986611637949,,
1796,-180.18,4.68,21.32,181.49732009040795,,
1797,-177.83,6.73,28.28,180.19034435840342,,
1798,-193.7,20.07,17.66,195.5361104757891,,
1799,-144.37,10.56,17.2,145.7739705846006,,
1800,-134.86,15.46,40.69,141.71064638904167,,
1801,-131.04,34.55,21.84,137.26678294474596,,
1802,-155.67,-12.63,-17.4,157.1477833123967,,
1803,-146.09,-4.98,-12.38,146.69816938189788,,
1804,-115.65,-47.95,-9.18,125.53245556428823,,
1805,-86.29,-67.44,-24.97,112.32817366983227,,
1806,-80.08,-44.39,15.21,92.81499124602664,,
1807,-77.89,-53.19,6.83,94.56572899311885,,
1808,-109.32,-76.26,-1.27,133.29689756329662,,
1809,-106.16,-31.12,-11.03,111.17581076835015,,
1810,-62.74,-80.01,-18.16,103.28452594653277,,
1811,-75.16,-47.53,-49.31,101.68383647365003,,
1812,-29.95,-76.38,-27.6,86.56019235191197,,
1813,-61.91,-54.9,-39.58,91.72477582420139,,
1814,-26.83,-99.5,17.29,104.49422472079499,,
1815,-23.17,-91.7,68.71,116.90510254047939,,
1816,-27.77,-50.89,70.35,91.1596813289735,,
1817,-32.98,-23.43,80.07,89.70981105765411,,
1818,-43.08,19.77,23.42,52.869988651407894,,
1819,-30.31,-2.46,-13.03,33.08366061970773,,
1820,-28.99,1.28,-56.43,63.45394707975226,,
1821,-27.81,-34.94,-36.25,57.51749472986458,,
1822,14.48,17.84,-53.21,57.95895185387673,,
1823,12.03,-62.44,-92.68,112.39687228744401,,
1824,45.86,-85.83,-89.81,132.42267404036215,,
1825,13.59,-124.98,-54.84,137.15726047132904,,
1826,23.28,-113.02,45.5,124.03922282891004,,
1827,6.72,-83.31,9.88,84.16251481508856,,
1828,8.87,-63.41,25.74,69.00762711468929,,
1829,17.81,-31.59,13.67,38.755555730759426,,
1830,69.19,-19.29,-36.37,80.51172026481609,,
1831,18.84,-30.61,-31.45,47.76002721942273,,
1832,28.09,-19.27,-60.33,69.28268109708226,,
1833,23.8,-101.39,-60.44,120.41331197172512,,
1834,22.8,-124.77,-33.2,131.10924033034436,,
1835,48.38,-58.29,0.33,75.75260655581431,,
1836,50.25,-62.75,25.49,84.33483918286677,,
1837,47.33,-31.41,-0.98,56.81265175997332,,
1838,48.0,33.04,-46.7,74.67617826321859,,
1839,31.05,15.43,-96.65,102.68110780469794,,
1840,55.37,53.45,-72.48,105.71702701078952,,
1841,58.96,52.19,-69.67,105.13794082061908,,
1842,93.88,48.66,-92.62,140.569251260722,,
1843,104.17,36.86,-101.81,150.25087221044674,,
1844,112.59,65.27,-161.66,207.53466361068456,,
1845,118.1,55.36,-137.46,189.4929845667116,,
1846,150.77,-10.69,-111.12,187.59936940192523,,
1847,143.28,-4.56,-119.56,186.66693761885097,,
1848,161.3,17.45,-132.85,209.69338330047518,,
1849,146.77,-3.29,-114.77,186.34486818799172,,
1850,161.35,7.7,-89.64,184.73884837791968,,
1851,183.22,-11.73,-93.5,206.03254912755898,,
1852,175.9,20.74,-51.94,184.57714159667768,,
1853,202.47,13.51,-54.78,210.18437001832464,,
1854,164.6,15.23,-59.26,175.60427244232983,,
1855,167.21,-27.71,-24.66,171.27505305793954,,
1856,168.63,8.39,-10.77,169.18174221824293,,
1857,168.58,1.43,23.37,170.19817331569692,,
1858,185.51,10.87,25.09,187.51433305216963,,
1859,193.78,6.98,22.11,195.16214002720915,,
1860,188.91,17.6,30.5,192.16398752107534,,
1861,192.99,36.64,26.43,198.20740298989844,,
1862,182.6,10.59,33.68,185.98185529776822,,
1863,178.44,57.67,5.2,187.59984674833825,,
1864,169.76,28.61,11.17,172.5159662176229,,
1865,167.9,33.73,-15.03,171.9128377986938,,
1866,158.09,26.81,-29.79,163.09098166361008,,
1867,147.68,11.83,-23.84,150.05891143147747,,
1868,145.26,10.38,-24.15,147.61922130942162,,
1869,160.91,11.17,-33.16,164.67052741762868,,
1870,157.38,-8.39,-23.31,159.31796069495743,,
1871,164.11,-5.7,-19.4,165.35096643201095,,
1872,163.75,-20.08,-16.77,165.826722213279,,
1873,150.48,-15.44,-8.08,151.4856772107515,,
1874,159.93,-34.57,-9.94,163.9252677289258,,
1875,165.61,-26.47,0.28,167.7122875641496,,
1876,158.58,-36.38,9.51,162.97717907731746,,
1877,175.82,-52.74,2.42,183.57569664854873,,
1878,165.15,-39.84,19.67,171.0223874234014,,
1879,175.36,-38.17,24.89,181.18385855257637,,
1880,171.04,-41.67,22.85,177.51955666911743,,
1881,177.48,-35.07,26.56,182.85100191139233,,
1882,171.42,-30.58,37.32,178.0806985610737,,
1883,172.28,-23.78,30.93,176.6424402571477,,
1884,168.66,-4.97,30.27,171.42686312244064,,
1885,181.28,-16.65,17.19,182.85282879955673,,
1886,172.87,-18.12,9.74,174.08974381048415,,
1887,160.97,-11.1,9.08,161.60754097504238,,
1888,170.93,-22.87,5.17,172.53066596985013,,
1889,170.49,-20.78,5.52,171.84038786036305,,
1890,181.95,-5.38,7.41,182.180281589419,,
1891,155.05,-10.74,1.84,155.43241521638916,,
1892,171.74,-5.98,3.23,171.87443352633923,,
1893,143.53,1.38,13.77,144.19562476025408,,
1894,164.31,8.05,-2.56,164.5269953533462,,
1895,164.64,8.32,-1.64,164.85824698813218,,
1896,175.43,8.79,-3.73,175.68967499543052,,
1897,169.43,11.33,-6.21,169.9219170678109,,
1898,145.44,17.02,-6.64,146.5829580817634,,
1899,163.27,9.9,-8.71,163.80160866120943,,
1900,167.92,5.53,-7.34,168.17129035599388,,
1901,173.93,-1.32,-7.39,174.09192801505762,,
1902,148.44,8.16,-5.85,148.7791709212012,,
1903,178.37,8.63,-1.76,178.58732149847594,,
1904,176.08,4.18,-5.72,176.22246508320103,,
1905,172.65,-7.72,1.15,172.82633884914648,,
1906,158.49,-0.7,-1.11,158.49543274176705,,
1907,164.17,4.35,7.5,164.39878770842563,,
1908,161.47,-2.3,7.53,161.66184398305,,
1909,152.99,4.64,4.65,153.1309642103778,,
1910,155.95,2.95,-2.36,155.9957518652351,,
1911,144.29,0.76,7.59,144.4914869464634,,
1912,154.73,7.69,6.58,155.06065071448654,,
1913,155.72,12.24,6.46,156.3338338300446,,
1914,157.97,10.61,4.81,158.39895548898042,,
1915,150.25,9.06,4.66,150.59502548225157,,
1916,124.84,5.04,1.48,124.95046058338481,,
1917,145.41,18.52,0.93,146.58759633748008,,
1918,145.18,13.25,-7.81,145.99243473550266,,
1919,152.39,6.02,-4.56,152.5770169455413,,
1920,149.64,3.82,3.28,149.72468199999625,,
1921,148.26,-3.1,2.55,148.31432870764712,,
1922,152.7,0.81,8.75,152.95263515219344,,
1923,141.06,0.57,4.37,141.12882554602373,,
1924,141.52,1.39,2.61,141.55089049525617,,
1925,137.57,7.75,-0.99,137.79168153411874,,
1926,131.64,0.02,-2.14,131.65739477902483,,
1927,120.17,14.24,-8.03,121.27690381931755,,
1928,134.12,-17.93,4.15,135.37681411526864,,
1929,150.09,-4.63,-1.8,150.172184508317,,
1930,112.26,12.06,3.02,112.94632176392466,,
1931,104.19,4.34,-7.81,104.57240458170597,,
1932,114.67,11.89,-23.23,117.60192983110439,,
1933,88.9,16.99,-16.08,91.92625577059039,,
1934,83.94,11.05,-0.84,84.66836304074857,,
1935,96.34,-20.76,-4.42,98.65044145871828,,
1936,114.42,6.56,-5.28,114.72945742048988,,
1937,106.43,19.47,0.75,108.19883686990356,,
1938,100.48,18.1,14.26,103.08825345304867,,
1939,95.99,8.65,2.96,96.42439629056538,,
1940,99.3,12.54,-1.78,100.10449540355319,,
1941,84.64,-3.72,14.02,85.87390989118872,,
1942,82.9,1.92,18.45,84.94997881106269,,
1943,69.22,-25.08,-29.38,79.26915667521638,,
1944,62.2,9.6,-40.04,74.5935761309243,,
1945,84.67,6.72,-43.48,95.41843480166713,,
