Year,Month,Day,Theta,Phi,Latitude
1962,1,1,266.9,28.0,-3.7
1962,1,1,295.6,4.4,19.6
1962,1,1,284.1,1.8,9.2
1962,1,2,291.7,3.5,19.3
1962,1,2,283.8,4.7,11.9
1962,1,2,72.5,223.3,15.7
1962,1,3,289.7,3.0,19.1
1962,1,3,70.5,220.9,15.6
1962,1,4,67.0,220.3,16.0
1962,1,5,61.5,219.4,16.0
1962,1,6,50.4,219.3,16.1
1962,1,7,30.0,219.1,16.5
1962,1,8,356.1,219.5,16.2
1962,1,10,281.3,237.4,5.7
1962,1,12,280.4,208.7,4.4
1962,1,13,277.5,209.6,4.2
1962,1,13,74.9,75.8,13.5
1962,1,14,276.2,207.9,4.4
1962,1,14,72.2,72.3,14.3
1962,1,14,284.4,191.2,9.3
1962,1,14,74.6,60.6,13.9
1962,1,15,275.2,205.3,4.5
1962,1,15,68.2,72.6,14.5
1962,1,15,282.3,192.1,9.9
1962,1,16,62.4,74.5,14.4
1962,1,16,281.3,191.3,10.2
1962,1,17,53.4,72.0,13.5
1962,1,18,27.4,74.2,13.8
1962,1,18,83.1,7.5,5.6
1962,1,19,338.9,77.7,13.3
1962,1,19,80.7,7.0,6.1
1962,1,20,78.4,7.3,6.1
1962,1,21,74.1,8.1,6.0
1962,1,22,63.8,8.6,6.0
1962,1,22,50.0,0.3,19.6
1962,1,23,36.2,9.0,6.3
1962,1,23,31.4,1.5,20.0
1962,1,23,292.3,61.7,12.3
1962,1,23,78.6,301.4,9.9
1962,1,24,349.0,9.8,6.3
1962,1,24,12.2,1.8,20.1
1962,1,24,288.1,63.2,12.2
1962,1,24,76.9,295.9,10.8
1962,1,25,307.2,9.8,6.2
1962,1,25,344.5,1.7,20.3
1962,1,25,284.8,65.0,12.3
1962,1,25,74.5,295.4,10.6
1962,1,25,99.1,284.9,-10.5
1962,1,26,292.1,9.7,6.1
1962,1,26,323.6,1.5,20.8
1962,1,26,70.0,295.8,10.8
1962,1,26,97.1,285.7,-9.1
1962,1,27,285.0,10.1,6.0
1962,1,27,309.6,1.4,20.5
1962,1,27,62.9,295.6,10.7
1962,1,27,99.2,285.2,-10.5
1962,1,27,133.8,321.9,-11.4
1962,1,28,280.5,11.3,6.0
1962,1,28,300.4,1.8,20.7
1962,1,28,47.3,294.9,10.6
1962,1,28,100.4,287.0,-9.8
1962,1,28,243.1,323.1,-10.9
1962,1,29,278.3,11.7,6.2
1962,1,29,12.4,295.9,10.4
1962,1,29,108.0,284.8,-10.4
1962,1,29,256.5,325.1,-11.2
1962,1,30,278.0,1.5,6.3
1962,1,30,331.4,295.1,10.6
1962,1,30,82.7,212.3,5.4
1962,1,30,236.2,305.8,-18.1
1962,1,31,309.6,295.4,10.6
1962,1,31,80.1,214.2,5.8
1962,1,31,79.9,199.6,8.4
1962,2,1,295.1,294.8,10.1
1962,2,1,76.6,211.5,6.2
1962,2,1,77.0,199.9,8.4
1962,2,2,288.7,294.6,10.2
1962,2,2,70.7,212.4,6.1
1962,2,2,72.9,200.1,8.5
1962,2,3,285.4,294.3,10.2
1962,2,3,61.9,212.6,6.2
1962,2,3,67.4,200.1,8.7
1962,2,4,282.7,293.2,10.3
1962,2,4,31.2,213.6,5.9
1962,2,4,54.6,200.1,8.6
1962,2,5,281.1,291.1,10.4
1962,2,5,332.7,212.8,4.5
1962,2,5,26.4,199.8,8.5
1962,2,5,31.3,200.0,5.5
1962,2,6,305.8,212.6,5.5
1962,2,6,345.5,200.1,8.6
1962,2,6,336.9,201.3,5.5
1962,2,6,261.9,251.9,-10.3
1962,2,7,291.7,212.4,6.4
1962,2,7,307.5,200.3,8.5
1962,2,7,300.0,202.0,5.9
1962,2,8,284.3,212.4,5.8
1962,2,8,288.2,203.3,5.9
1962,2,9,281.1,211.7,5.8
1962,2,10,279.1,211.7,6.2
1962,2,11,277.2,210.6,6.3
1962,2,11,283.3,187.2,8.2
