Year,Month,Day,Theta,Phi,Latitude
1906,1,1,245.0,308.1,-15.1
1906,1,1,163.5,278.6,-9.0
1906,1,1,294.5,321.3,14.3
1906,1,2,250.6,310.7,-16.4
1906,1,2,245.8,279.4,-9.6
1906,1,2,289.2,320.6,14.2
1906,1,2,120.3,215.5,-25.9
1906,1,3,255.7,308.1,-13.8
1906,1,3,254.8,280.2,-10.2
1906,1,3,78.3,176.8,10.6
1906,1,4,260.4,281.4,-9.4
1906,1,4,75.8,178.2,10.3
1906,1,5,260.7,282.2,-9.8
1906,1,5,72.7,178.6,10.7
1906,1,5,7.2,225.0,10.4
1906,1,5,74.8,156.9,13.1
1906,1,6,259.7,283.4,-11.0
1906,1,6,65.9,179.7,10.7
1906,1,6,323.7,224.1,11.2
1906,1,6,79.1,161.8,6.1
1906,1,7,48.5,180.3,9.9
1906,1,7,295.2,228.3,10.9
1906,1,7,75.1,160.6,5.6
1906,1,8,26.8,180.8,9.9
1906,1,8,288.5,230.9,10.0
1906,1,8,69.5,160.8,6.1
1906,1,8,74.4,115.7,13.7
1906,1,8,80.4,103.4,9.2
1906,1,8,348.4,190.5,8.5
1906,1,9,331.1,181.5,9.5
1906,1,9,285.5,228.0,10.3
1906,1,9,72.2,116.8,13.0
1906,1,9,79.7,102.3,8.5
1906,1,9,76.3,93.9,12.8
1906,1,10,283.7,226.0,11.3
1906,1,10,66.8,115.9,12.8
1906,1,10,77.1,102.6,8.2
1906,1,10,73.9,93.4,12.8
1906,1,11,61.3,113.2,12.1
1906,1,11,73.3,103.1,7.9
1906,1,11,70.8,93.5,12.4
1906,1,12,49.8,113.6,12.4
1906,1,12,66.7,103.7,8.5
1906,1,12,301.6,162.6,12.8
1906,1,12,65.8,94.0,12.9
1906,1,12,71.2,53.8,17.9
1906,1,13,13.8,113.2,11.9
1906,1,13,46.9,103.9,7.9
1906,1,13,292.2,161.5,12.8
1906,1,13,55.4,93.0,11.9
1906,1,13,68.7,53.3,17.5
1906,1,13,44.9,101.3,11.3
1906,1,14,329.5,114.0,11.6
1906,1,14,0.0,104.3,8.1
1906,1,14,287.9,160.0,12.5
1906,1,14,35.7,92.7,11.3
1906,1,14,38.3,95.2,6.8
1906,1,14,64.3,53.3,17.9
1906,1,14,14.0,100.3,11.2
1906,1,15,306.0,115.0,11.8
1906,1,15,315.7,104.4,8.0
1906,1,15,286.0,160.0,13.3
1906,1,15,357.3,92.7,11.8
1906,1,15,347.2,94.7,7.5
1906,1,15,58.4,53.3,17.7
1906,1,16,294.3,114.0,11.1
1906,1,16,296.1,104.2,7.9
1906,1,16,316.1,93.9,11.4
1906,1,16,46.9,53.2,17.6
1906,1,16,305.4,101.0,11.2
1906,1,17,288.0,105.0,8.1
1906,1,17,27.6,52.5,18.4
1906,1,17,258.6,126.0,-12.4
1906,1,18,283.3,105.4,7.8
1906,1,18,358.7,52.6,20.2
1906,1,18,288.1,100.0,10.4
1906,1,18,73.7,2.2,9.5
1906,1,19,281.1,105.1,8.2
1906,1,20,279.9,104.2,8.1
1906,1,20,284.7,100.7,12.3
1906,1,20,74.1,320.9,13.2
1906,1,20,64.4,347.5,14.5
1906,1,20,304.9,48.7,7.6
1906,1,21,70.0,322.0,13.4
1906,1,21,101.1,330.5,-11.6
1906,1,21,82.2,315.5,4.1
1906,1,21,99.2,301.7,-10.3
1906,1,22,64.6,323.4,12.6
1906,1,22,102.8,331.0,-11.3
1906,1,22,78.4,315.9,4.7
1906,1,22,98.9,305.3,-10.4
1906,1,22,96.3,285.9,-7.4
1906,1,23,56.6,324.3,11.8
1906,1,23,109.3,331.3,-11.8
1906,1,23,75.4,316.3,3.9
1906,1,23,100.1,305.2,-11.1
1906,1,23,96.5,286.0,-8.2
1906,1,23,68.9,296.2,14.6
1906,1,23,250.2,13.1,-12.8
1906,1,24,26.1,326.5,12.2
1906,1,24,153.5,332.2,-11.7
1906,1,24,60.8,317.1,4.7
1906,1,24,102.1,307.0,-10.7
1906,1,24,94.8,286.2,-7.3
1906,1,24,60.4,295.9,16.0
1906,1,25,353.6,326.5,12.0
1906,1,25,233.2,332.8,-11.7
1906,1,25,110.0,307.6,-11.4
1906,1,25,95.2,285.8,-7.7
1906,1,25,51.9,297.3,15.2
1906,1,26,310.4,327.2,11.8
1906,1,26,256.1,333.6,-11.5
1906,1,26,204.9,309.3,-11.9
1906,1,26,97.0,286.8,-7.8
1906,1,26,16.6,299.9,15.7
1906,1,26,70.3,232.7,17.6
1906,1,26,248.3,2.3,-21.2
1906,1,27,293.6,331.5,11.1
1906,1,27,259.6,333.4,-11.2
1906,1,27,249.5,308.8,-11.5
1906,1,27,104.9,286.6,-7.4
1906,1,27,336.5,301.8,15.0
1906,1,27,67.0,232.8,17.6
1906,1,27,224.8,300.8,-13.8
1906,1,28,294.6,327.0,13.0
1906,1,28,260.4,333.1,-11.1
1906,1,28,255.8,309.5,-11.3
1906,1,28,225.2,286.6,-7.5
1906,1,28,320.2,302.7,15.0
1906,1,28,64.8,232.5,17.3
1906,1,29,285.2,331.5,11.4
1906,1,29,260.6,333.7,-11.0
1906,1,29,259.7,310.0,-11.4
1906,1,29,265.1,286.8,-7.3
1906,1,29,301.6,302.4,15.3
1906,1,29,54.3,233.4,17.3
1906,1,30,260.0,332.5,-11.1
1906,1,30,266.3,287.5,-7.1
1906,1,30,293.4,305.2,15.1
1906,1,30,41.0,233.8,17.1
1906,1,31,266.4,288.1,-6.9
1906,1,31,289.7,305.7,15.1
1906,1,31,21.7,233.5,18.0
1906,1,31,323.5,255.1,9.8
1906,1,31,13.8,236.1,22.2
1906,2,1,266.0,288.0,-6.7
1906,2,1,286.7,305.4,14.9
1906,2,1,351.3,233.5,17.6
1906,2,1,298.7,256.4,8.5
1906,2,1,346.9,236.7,22.3
1906,2,2,264.6,288.5,-7.0
1906,2,2,321.7,234.1,16.9
1906,2,2,285.9,258.1,6.5
1906,2,2,263.4,236.0,-8.2
1906,2,3,311.8,232.3,16.8
1906,2,3,282.7,257.7,6.3
1906,2,4,298.6,233.0,17.2
1906,2,4,278.6,258.7,6.1
1906,2,4,80.7,105.9,8.4
1906,2,4,109.6,154.5,-16.2
1906,2,5,291.9,233.7,16.3
1906,2,5,264.9,235.2,-7.6
1906,2,5,78.2,107.0,8.5
1906,2,5,95.4,102.8,-7.2
1906,2,6,292.0,230.8,17.9
1906,2,6,75.6,107.4,9.0
1906,2,6,95.5,102.6,-7.9
1906,2,6,233.7,199.6,-27.1
1906,2,6,110.5,134.1,-16.3
1906,2,7,70.0,107.0,8.8
1906,2,7,94.1,104.0,-7.6
1906,2,7,279.0,211.1,5.1
1906,2,8,64.7,107.3,9.1
1906,2,8,48.4,106.8,21.5
1906,2,9,45.5,107.1,8.8
1906,2,10,18.7,107.6,8.4
1906,2,11,324.7,106.9,8.4
1906,2,11,342.0,103.4,15.2
1906,2,12,302.5,107.4,8.3
1906,2,12,317.3,105.5,16.2
1906,2,13,292.2,106.4,8.5
1906,2,13,291.7,138.5,18.3
1906,2,14,286.6,106.8,8.8
1906,2,14,291.0,137.0,19.9
1906,2,14,291.9,105.0,12.6
1906,2,14,99.0,339.6,-10.4
1906,2,15,283.3,107.1,8.1
1906,2,15,288.1,105.5,12.0
1906,2,15,98.2,339.8,-10.2
1906,2,15,126.9,18.9,-25.4
1906,2,15,114.3,2.4,-22.3
1906,2,16,97.5,339.2,-10.1
1906,2,16,108.5,350.6,-17.9
1906,2,17,98.2,339.2,-10.7
1906,2,17,75.3,305.3,12.8
1906,2,18,98.7,339.2,-10.4
1906,2,18,71.9,306.1,13.3
1906,2,18,70.6,297.7,16.5
1906,2,18,92.3,321.9,-6.5
1906,2,19,106.7,338.8,-10.7
1906,2,19,65.9,307.3,12.8
1906,2,19,273.2,357.8,-6.7
1906,2,19,65.6,297.3,16.7
1906,2,20,192.0,338.5,-10.8
1906,2,20,56.0,307.8,13.0
1906,2,20,267.6,357.9,-7.5
1906,2,20,59.7,296.9,16.2
1906,2,20,103.2,307.2,-12.8
1906,2,21,254.8,338.7,-10.8
1906,2,21,36.0,309.0,13.3
1906,2,21,47.6,297.9,16.2
1906,2,21,111.6,306.9,-13.3
1906,2,22,257.6,337.7,-11.3
1906,2,22,16.9,309.3,13.5
1906,2,22,37.7,296.9,16.7
1906,2,22,127.0,306.8,-13.5
1906,2,22,76.3,263.8,6.6
1906,2,23,260.8,339.1,-11.4
1906,2,23,331.4,310.0,13.1
1906,2,23,0.7,298.6,16.2
1906,2,23,229.1,306.5,-13.5
1906,2,24,261.6,339.3,-11.0
1906,2,24,309.8,309.9,13.6
1906,2,24,330.3,298.5,16.5
1906,2,24,250.3,306.6,-14.1
1906,2,24,303.8,336.3,24.2
1906,2,24,325.2,314.6,31.4
1906,2,24,172.5,283.0,-20.2
1906,2,25,260.8,338.4,-11.2
1906,2,25,297.2,309.7,13.5
1906,2,25,308.3,298.7,15.7
1906,2,25,255.4,305.6,-14.4
1906,2,26,259.8,339.0,-11.6
1906,2,26,293.4,310.4,13.6
1906,2,26,301.6,299.8,15.6
1906,2,26,256.7,307.4,-14.5
1906,2,27,288.1,309.9,13.6
1906,2,27,294.1,299.2,16.0
1906,2,27,257.6,309.5,-14.3
1906,2,27,271.4,282.0,-5.0
1906,2,27,74.4,190.2,9.1
1906,2,28,284.8,309.8,12.9
1906,2,28,291.3,299.2,17.1
1906,2,28,266.3,283.6,-7.5
1906,2,28,307.6,260.2,13.4
1906,2,28,67.9,190.7,10.4
1906,2,28,74.2,166.3,12.0
1906,3,1,265.8,284.9,-7.1
1906,3,1,300.6,259.7,14.5
1906,3,1,61.3,192.1,9.7
1906,3,2,265.1,282.3,-6.9
1906,3,2,293.7,260.3,14.4
1906,3,2,101.9,136.2,-13.4
1906,3,2,326.2,227.1,17.3
1906,3,3,286.4,261.8,13.1
1906,3,3,101.6,136.9,-13.6
1906,3,3,302.9,232.3,17.7
1906,3,3,291.0,229.0,7.3
1906,3,4,285.8,258.4,14.4
1906,3,4,103.5,137.7,-14.3
1906,3,5,36.0,147.8,20.6
1906,3,5,107.0,138.2,-14.9
1906,3,6,8.8,149.0,19.4
1906,3,6,117.4,137.9,-14.6
1906,3,6,83.8,73.8,4.8
1906,3,7,339.8,148.5,20.0
1906,3,7,189.2,139.5,-15.0
1906,3,7,81.4,73.9,4.7
1906,3,7,272.2,141.5,-7.1
1906,3,8,331.2,147.4,21.0
1906,3,8,217.9,137.7,-15.0
1906,3,8,80.2,73.7,4.5
1906,3,8,40.7,107.0,20.2
1906,3,8,90.0,82.7,-4.8
1906,3,9,312.5,148.0,20.2
1906,3,9,247.9,139.0,-15.2
1906,3,9,76.0,73.6,4.6
1906,3,9,23.7,104.3,20.7
1906,3,9,91.1,85.0,-6.7
1906,3,10,252.6,138.3,-15.6
1906,3,10,70.2,74.1,4.5
1906,3,10,2.5,103.8,21.2
1906,3,10,86.7,84.7,-5.6
1906,3,10,55.7,73.8,14.0
1906,3,10,75.0,54.2,7.4
1906,3,11,56.6,74.1,4.7
1906,3,11,335.3,104.8,20.3
1906,3,11,76.3,86.6,-5.9
1906,3,11,311.9,122.7,19.6
1906,3,12,348.8,74.6,5.0
1906,3,12,310.7,104.7,19.8
1906,3,12,272.0,88.8,-6.3
1906,3,13,321.3,75.1,4.8
1906,3,13,304.5,105.2,19.0
1906,3,13,269.4,89.0,-6.8
1906,3,14,295.7,75.7,4.9
1906,3,14,297.8,105.4,19.6
1906,3,14,268.1,90.8,-6.7
1906,3,14,6.5,47.8,23.1
1906,3,14,100.3,339.7,-12.0
1906,3,14,262.5,133.4,-8.5
1906,3,15,286.9,76.7,5.5
1906,3,15,293.2,106.1,19.6
1906,3,15,267.7,91.3,-6.1
1906,3,15,340.2,49.1,23.3
1906,3,15,99.2,340.2,-11.6
1906,3,15,96.7,325.7,-8.6
1906,3,16,282.4,76.3,5.2
1906,3,16,290.6,105.4,19.3
1906,3,16,266.7,90.6,-6.0
1906,3,16,323.4,49.1,22.8
1906,3,16,68.3,313.9,18.9
1906,3,16,96.2,326.3,-8.9
1906,3,17,279.3,76.4,5.6
1906,3,17,265.3,90.1,-6.0
1906,3,17,306.4,54.1,22.5
1906,3,17,65.2,315.0,17.6
1906,3,17,95.6,323.7,-8.9
1906,3,17,97.1,293.4,-8.5
1906,3,17,316.9,43.0,24.8
1906,3,18,276.6,76.7,5.2
1906,3,18,299.7,53.4,22.2
1906,3,18,61.5,312.2,16.8
1906,3,18,95.6,326.0,-8.9
1906,3,18,95.7,292.9,-8.2
1906,3,18,76.0,277.2,12.8
1906,3,19,296.9,47.4,22.7
1906,3,19,48.7,313.0,17.2
1906,3,19,94.6,293.8,-8.1
1906,3,19,197.3,349.5,-30.5
1906,3,19,103.8,313.6,-12.6
1906,3,19,112.7,308.5,-18.3
1906,3,19,73.2,274.2,13.1
1906,3,19,78.7,271.3,8.4
1906,3,19,73.5,262.5,15.0
1906,3,19,101.3,294.3,-13.0
1906,3,19,69.0,287.2,13.5
1906,3,20,35.5,313.5,16.9
1906,3,20,94.4,293.8,-8.2
1906,3,20,211.5,347.5,-30.5
1906,3,20,110.0,314.9,-12.3
1906,3,20,119.8,309.1,-18.1
1906,3,20,70.2,274.2,13.3
1906,3,20,76.5,271.9,8.2
1906,3,20,71.6,262.1,15.0
1906,3,20,103.5,294.2,-13.6
1906,3,20,65.3,286.7,13.2
1906,3,21,4.5,313.4,15.7
1906,3,21,93.2,294.8,-7.6
1906,3,21,230.2,350.1,-30.1
1906,3,21,186.2,315.8,-12.3
1906,3,21,156.7,310.3,-17.8
1906,3,21,62.9,274.8,13.6
1906,3,21,71.5,272.7,7.9
1906,3,21,67.3,261.9,14.9
1906,3,21,109.7,295.0,-13.4
1906,3,21,96.1,244.0,-8.0
1906,3,22,332.0,313.1,15.2
1906,3,22,96.8,294.8,-7.6
1906,3,22,238.4,352.0,-29.1
1906,3,22,250.0,316.1,-11.9
1906,3,22,222.8,311.4,-17.3
1906,3,22,51.9,274.9,13.6
1906,3,22,55.8,275.9,10.4
1906,3,22,60.2,261.7,15.3
1906,3,22,138.2,294.6,-14.0
1906,3,22,95.0,243.8,-7.9
1906,3,22,101.1,236.2,-13.0
1906,3,23,311.5,312.4,15.6
1906,3,23,260.0,294.8,-8.2
1906,3,23,241.5,352.8,-28.8
1906,3,23,247.1,313.9,-16.8
1906,3,23,28.9,275.1,13.8
1906,3,23,47.6,261.8,15.5
1906,3,23,239.2,298.4,-13.5
1906,3,23,94.4,243.8,-8.0
1906,3,23,101.2,237.0,-12.9
1906,3,24,305.4,312.6,15.7
1906,3,24,263.2,295.0,-8.3
1906,3,24,242.3,352.9,-28.4
1906,3,24,258.7,315.2,-12.0
1906,3,24,249.7,314.0,-17.0
1906,3,24,14.0,275.2,13.9
1906,3,24,39.7,261.8,15.3
1906,3,24,247.2,296.9,-13.2
1906,3,24,94.3,243.4,-8.0
1906,3,24,100.8,237.3,-12.3
1906,3,24,340.1,286.8,10.8
1906,3,25,297.6,312.0,16.4
1906,3,25,265.7,295.4,-8.0
1906,3,25,242.6,351.9,-27.9
1906,3,25,254.3,316.3,-16.3
1906,3,25,337.6,275.0,14.2
1906,3,25,11.5,261.7,15.5
1906,3,25,257.7,299.8,-12.4
1906,3,25,95.1,243.2,-8.2
1906,3,25,103.0,237.4,-12.2
1906,3,25,274.4,287.5,-4.7
1906,3,25,309.7,286.4,10.0
1906,3,25,106.0,213.3,-16.8
1906,3,26,292.5,311.7,16.5
1906,3,26,266.4,295.6,-7.4
1906,3,26,254.6,317.8,-16.8
1906,3,26,313.7,275.5,14.8
1906,3,26,338.1,261.4,14.7
1906,3,26,260.0,300.2,-11.9
1906,3,26,100.6,243.0,-8.4
1906,3,26,103.6,235.2,-10.5
1906,3,26,107.7,212.7,-16.5
1906,3,26,255.2,272.2,-11.3
1906,3,27,288.8,311.7,16.2
1906,3,27,264.9,296.3,-7.9
1906,3,27,253.2,317.8,-17.8
1906,3,27,301.2,275.4,14.8
1906,3,27,315.4,262.1,16.0
1906,3,27,260.4,300.3,-11.6
1906,3,27,243.2,243.1,-8.5
1906,3,27,123.0,232.5,-11.0
1906,3,27,268.0,283.8,-6.2
1906,3,27,113.1,212.6,-16.6
1906,3,27,260.5,272.1,-10.7
1906,3,27,353.2,241.2,8.5
1906,3,27,104.4,166.4,-15.7
1906,3,28,292.3,275.6,14.5
1906,3,28,262.7,243.9,-8.8
1906,3,28,136.8,212.6,-16.9
1906,3,28,306.7,241.4,7.4
1906,3,28,102.5,169.7,-13.9
1906,3,29,288.4,275.3,14.6
1906,3,29,264.4,244.4,-8.6
1906,3,29,209.9,214.9,-16.4
1906,3,29,105.0,169.6,-14.6
1906,3,29,4.1,207.7,11.3
1906,3,30,286.8,275.2,14.9
1906,3,30,263.8,244.8,-9.0
1906,3,30,237.8,216.5,-16.3
1906,3,30,107.1,170.4,-14.1
1906,3,30,93.2,144.2,-6.3
1906,3,30,338.4,207.1,12.1
1906,3,31,263.5,245.2,-9.0
1906,3,31,247.7,216.6,-16.5
1906,3,31,282.7,241.7,6.6
1906,3,31,115.6,171.1,-14.0
1906,3,31,91.8,144.3,-5.9
1906,3,31,313.2,207.7,11.9
1906,3,31,70.0,109.1,18.7
1906,4,1,262.5,245.5,-9.1
1906,4,1,252.6,216.7,-16.7
1906,4,1,278.6,243.1,6.0
1906,4,1,174.0,172.0,-13.8
1906,4,1,297.3,208.5,12.0
1906,4,1,299.6,196.8,7.4
1906,4,1,32.9,161.2,11.5
1906,4,1,66.9,107.4,19.0
1906,4,2,239.8,171.7,-13.7
1906,4,2,87.6,144.7,-5.6
1906,4,2,289.4,210.2,11.9
1906,4,2,290.4,196.4,8.2
1906,4,2,348.8,162.1,12.7
1906,4,2,61.9,106.6,19.4
1906,4,2,295.4,218.5,19.8
1906,4,2,232.9,176.9,-19.2
1906,4,3,251.9,172.1,-13.3
1906,4,3,285.9,211.9,11.9
1906,4,3,284.8,196.7,7.4
1906,4,3,317.4,164.6,12.2
1906,4,3,56.8,106.9,19.0
1906,4,4,256.4,173.3,-13.4
1906,4,4,284.5,209.5,12.6
1906,4,4,281.1,198.5,7.5
1906,4,4,300.5,166.1,12.5
1906,4,4,46.2,106.3,19.5
1906,4,4,65.1,76.2,18.7
1906,4,4,66.5,69.1,19.3
1906,4,4,269.4,145.6,-6.2
1906,4,5,258.8,174.1,-12.7
1906,4,5,291.0,166.2,12.4
1906,4,5,23.5,106.2,19.0
1906,4,5,57.5,77.3,18.3
1906,4,5,61.2,69.1,18.8
1906,4,5,63.7,45.2,23.8
1906,4,6,258.7,174.4,-12.7
1906,4,6,286.4,166.6,12.2
1906,4,6,354.4,106.1,18.7
1906,4,6,46.7,76.7,18.5
1906,4,6,59.7,44.8,24.1
1906,4,7,257.9,174.6,-12.7
1906,4,7,283.9,166.0,12.1
1906,4,7,328.8,106.0,18.6
1906,4,7,30.4,76.1,18.3
1906,4,7,54.7,44.5,23.8
1906,4,7,48.5,75.3,7.7
1906,4,7,107.7,20.1,-18.7
1906,4,7,285.3,140.9,8.2
1906,4,7,306.8,114.9,12.0
1906,4,7,109.4,41.8,-18.6
1906,4,8,312.5,106.0,18.9
1906,4,8,6.5,75.0,19.0
1906,4,8,47.0,43.7,23.8
1906,4,8,11.0,75.3,7.5
1906,4,8,109.1,18.8,-19.4
1906,4,8,256.2,135.8,-14.8
1906,4,9,301.3,105.7,19.0
1906,4,9,335.2,74.5,19.4
1906,4,9,31.8,42.9,24.1
1906,4,9,111.2,18.6,-19.0
1906,4,9,71.3,22.7,7.9
1906,4,10,296.7,105.6,19.3
1906,4,10,323.9,71.9,21.1
1906,4,10,16.8,42.1,24.0
1906,4,10,115.8,18.7,-19.2
1906,4,10,65.0,23.4,7.5
1906,4,10,71.5,0.9,11.1
1906,4,11,292.7,105.3,19.3
1906,4,11,352.5,41.8,24.0
1906,4,11,131.1,20.4,-19.6
1906,4,11,44.6,24.8,7.4
1906,4,12,290.4,106.8,19.6
1906,4,12,294.5,76.3,16.4
1906,4,12,332.9,41.4,24.5
1906,4,12,164.8,21.1,-19.6
1906,4,12,0.9,24.9,7.8
1906,4,12,54.6,1.1,11.3
1906,4,13,296.4,68.8,19.2
1906,4,13,319.8,41.7,24.6
1906,4,13,207.4,22.2,-19.6
1906,4,13,36.6,1.9,11.3
1906,4,14,307.3,41.7,24.3
1906,4,14,237.8,22.8,-19.1
1906,4,14,342.6,3.8,10.7
1906,4,14,73.5,277.0,15.7
