Year,Month,Day,Theta,Phi,Latitude
1892,1,1,293.3,116.8,11.2
1892,1,1,58.4,39.2,20.7
1892,1,1,291.8,141.8,17.6
1892,1,1,332.4,98.8,26.3
1892,1,1,49.4,51.5,21.2
1892,1,1,54.3,32.3,27.1
1892,1,1,61.1,31.9,21.2
1892,1,1,107.8,23.5,-16.9
1892,1,1,209.4,93.9,-22.8
1892,1,1,8.0,78.1,23.8
1892,1,2,287.8,113.5,10.4
1892,1,2,48.5,39.3,21.2
1892,1,2,289.3,140.3,17.4
1892,1,2,319.2,98.0,27.0
1892,1,2,33.8,51.1,22.0
1892,1,2,45.5,32.8,28.1
1892,1,2,55.2,30.6,21.1
1892,1,2,109.2,23.1,-16.3
1892,1,2,229.9,94.1,-22.4
1892,1,2,343.2,78.0,24.7
1892,1,2,23.1,60.4,16.3
1892,1,3,36.2,38.9,21.5
1892,1,3,289.1,139.4,18.4
1892,1,3,310.5,99.0,27.1
1892,1,3,14.6,51.1,22.5
1892,1,3,37.1,32.2,27.7
1892,1,3,46.0,30.3,21.7
1892,1,3,112.9,21.9,-16.7
1892,1,3,236.8,93.2,-23.1
1892,1,3,358.1,58.9,17.5
1892,1,4,4.5,39.8,21.0
1892,1,4,302.1,100.6,26.8
1892,1,4,337.5,52.7,21.5
1892,1,4,14.9,33.2,26.6
1892,1,4,24.4,29.4,22.4
1892,1,4,126.5,22.6,-16.9
1892,1,4,245.7,95.6,-21.9
1892,1,4,310.9,63.4,14.6
1892,1,5,340.9,39.8,21.2
1892,1,5,299.6,101.4,27.3
1892,1,5,321.3,52.2,21.6
1892,1,5,354.6,33.9,26.9
1892,1,5,2.0,29.8,23.4
1892,1,5,147.9,22.4,-16.6
1892,1,5,246.8,95.9,-22.6
1892,1,5,300.3,64.4,15.1
1892,1,5,113.3,330.4,-22.2
1892,1,6,320.1,39.4,21.3
1892,1,6,309.1,52.1,22.3
1892,1,6,338.6,28.5,23.5
1892,1,6,200.6,22.2,-16.7
1892,1,6,231.4,36.7,-18.3
1892,1,7,308.7,39.3,20.9
1892,1,7,302.5,51.5,22.1
1892,1,7,322.7,28.0,23.1
1892,1,7,229.4,22.1,-16.9
1892,1,8,300.4,37.8,21.4
1892,1,8,310.9,26.5,25.0
1892,1,8,247.5,22.0,-15.8
1892,1,8,240.7,24.9,-21.0
1892,1,8,115.4,282.1,-25.0
1892,1,8,109.1,281.5,-19.2
1892,1,9,296.3,38.3,21.1
1892,1,9,304.4,26.8,24.4
1892,1,9,250.7,21.9,-16.2
1892,1,9,244.6,25.3,-21.4
1892,1,9,116.0,279.7,-24.7
1892,1,9,110.0,280.5,-19.3
1892,1,10,292.8,37.7,20.6
1892,1,10,253.4,21.7,-16.1
1892,1,10,118.8,279.3,-24.4
1892,1,11,254.9,22.7,-15.7
1892,1,11,125.8,279.1,-24.5
1892,1,11,312.6,343.2,22.5
1892,1,12,254.5,23.8,-15.9
1892,1,12,138.1,278.2,-25.0
1892,1,12,232.3,313.7,-15.4
1892,1,13,160.4,277.7,-25.3
1892,1,13,64.5,218.8,22.2
1892,1,13,108.0,207.1,-18.5
1892,1,14,198.9,278.6,-25.4
1892,1,14,59.1,208.5,26.3
1892,1,14,108.3,208.3,-18.4
1892,1,14,76.3,201.5,11.3
1892,1,14,100.8,188.5,-11.3
1892,1,15,216.5,277.9,-25.7
1892,1,15,53.8,216.1,24.5
1892,1,15,109.2,208.2,-18.2
1892,1,15,74.4,199.9,11.5
1892,1,15,100.0,188.6,-11.0
1892,1,15,115.3,189.9,-25.4
1892,1,15,59.7,184.7,28.8
1892,1,15,75.5,182.7,13.3
1892,1,16,230.3,277.4,-26.1
1892,1,16,42.0,220.9,22.9
1892,1,16,112.7,209.0,-18.2
1892,1,16,70.2,201.4,11.4
1892,1,16,100.2,188.9,-11.2
1892,1,16,116.4,193.1,-24.5
1892,1,16,56.9,185.4,28.3
1892,1,16,73.0,181.1,13.9
1892,1,17,238.5,277.6,-26.0
1892,1,17,31.6,215.0,24.2
1892,1,17,120.3,208.1,-18.5
1892,1,17,62.7,201.3,11.7
1892,1,17,100.8,189.3,-11.1
1892,1,17,51.7,185.1,28.4
