Year,Month,Day,Theta,Phi,Latitude
1985,1,6,303.9,254.6,7.0
1985,1,7,167.9,223.4,-13.0
1985,1,8,82.1,143.3,6.0
1985,1,8,82.3,141.3,6.0
1985,1,9,78.9,143.1,7.0
1985,1,9,153.9,194.1,-14.0
1985,1,12,99.2,133.6,-8.0
1985,1,13,97.2,133.4,-6.0
1985,1,14,180.0,133.3,-7.0
1985,1,15,260.5,135.1,-7.0
1985,1,16,264.2,135.9,-7.0
1985,1,17,265.0,135.8,-7.0
1985,1,18,264.9,135.6,-7.0
1985,1,19,264.5,136.4,-7.0
1985,1,19,230.0,73.4,-10.0
1985,1,19,80.2,19.4,4.0
1985,1,20,264.7,136.3,-6.0
1985,1,20,254.5,73.3,-10.0
1985,1,20,76.0,19.3,4.0
1985,1,20,93.8,356.3,-6.0
1985,1,21,259.5,73.1,-10.0
1985,1,21,63.2,21.1,5.0
1985,1,21,94.7,356.1,-7.0
1985,1,22,261.2,72.9,-10.0
1985,1,22,30.2,21.9,5.0
1985,1,22,94.7,355.9,-7.0
1985,1,23,261.6,73.8,-10.0
1985,1,23,321.7,23.8,6.0
1985,1,24,262.3,74.6,-9.0
1985,1,24,299.4,23.6,7.0
1985,1,25,259.5,73.4,-11.0
1985,1,25,287.3,24.4,6.0
1985,1,26,303.5,354.3,7.0
1985,1,27,284.8,357.1,4.0
1985,1,30,117.3,263.6,-15.0
1985,1,31,148.6,264.4,-14.0
1985,1,31,11.0,264.4,19.0
1985,1,31,147.1,263.4,-15.0
1985,1,31,13.2,263.4,19.0
1985,2,1,220.6,263.3,-14.0
1985,2,1,339.9,265.3,18.0
1985,2,1,257.5,299.3,-13.0
1985,2,2,245.2,264.1,-15.0
1985,2,2,317.2,265.1,17.0
1985,2,2,257.3,300.1,-14.0
1985,2,3,252.5,263.9,-15.0
1985,2,3,303.7,265.9,17.0
1985,2,4,252.5,262.8,-17.0
1985,2,4,294.9,266.8,16.0
1985,2,5,255.1,262.6,-16.0
1985,2,5,290.6,266.6,16.0
1985,2,5,94.6,140.6,-7.0
1985,2,6,289.0,265.4,17.0
1985,2,6,93.6,142.4,-7.0
1985,2,7,287.0,266.3,17.0
1985,2,8,15.9,159.1,11.0
1985,2,8,86.6,94.1,1.0
1985,2,8,101.4,79.1,-12.0
1985,2,9,329.0,160.9,10.0
1985,2,9,82.6,97.9,2.0
1985,2,9,72.8,90.9,12.0
1985,2,9,98.4,78.9,-10.0
1985,2,10,27.5,132.8,3.0
1985,2,10,303.5,162.8,10.0
1985,2,10,100.0,77.8,-12.0
1985,2,11,294.8,162.6,11.0
1985,2,11,100.2,78.6,-12.0
1985,2,12,99.8,78.4,-11.0
1985,2,13,100.6,78.3,-10.0
1985,2,14,280.2,165.1,9.0
1985,2,14,115.0,78.1,-10.0
1985,2,14,112.9,72.1,-12.0
1985,2,15,229.8,76.9,-11.0
1985,2,16,256.9,78.8,-11.0
1985,2,17,260.7,80.6,-11.0
1985,2,18,348.7,36.4,13.0
1985,2,19,248.0,24.3,-9.0
1985,2,19,85.1,296.3,4.0
1985,2,20,262.8,25.1,-9.0
1985,2,20,85.5,295.1,2.0
1985,2,21,264.4,25.9,-9.0
1985,2,21,82.1,294.9,3.0
1985,2,22,264.2,29.7,-9.0
1985,2,22,78.5,295.7,3.0
1985,2,23,263.5,30.6,-9.0
1985,2,23,71.7,297.6,3.0
1985,2,24,58.1,297.4,3.0
1985,2,25,11.2,298.2,3.0
1985,2,26,312.5,298.1,3.0
1985,2,27,291.8,300.9,4.0
1985,2,28,284.5,300.7,4.0
1985,3,1,279.1,300.5,3.0
1985,3,2,277.3,301.4,4.0
1985,3,3,274.7,305.2,4.0
1985,3,8,87.5,99.3,-2.0
1985,3,8,103.3,85.3,-15.0
1985,3,9,85.4,98.1,-2.0
