Year,Month,Day,Theta,Phi,Latitude
2001,1,1,260.1,261.0,-10.0
2001,1,1,133.7,201.0,-6.0
2001,1,1,319.4,235.0,29.0
2001,1,1,213.6,210.0,-12.0
2001,1,1,67.5,163.0,13.0
2001,1,1,65.6,135.0,22.0
2001,1,2,258.4,262.0,-12.0
2001,1,2,249.1,201.0,-7.0
2001,1,2,307.4,239.0,28.0
2001,1,2,246.1,212.0,-12.0
2001,1,2,57.3,165.0,13.0
2001,1,2,62.0,136.0,22.0
2001,1,2,101.6,118.0,-12.0
2001,1,2,78.9,116.0,10.0
2001,1,3,259.4,260.0,-11.0
2001,1,3,260.7,203.0,-7.0
2001,1,3,303.9,238.0,29.0
2001,1,3,253.7,212.0,-12.0
2001,1,3,38.0,165.0,13.0
2001,1,3,56.8,135.0,22.0
2001,1,3,104.2,119.0,-14.0
2001,1,3,78.7,119.0,8.0
2001,1,4,263.1,203.0,-7.0
2001,1,4,300.0,237.0,28.0
2001,1,4,257.3,215.0,-12.0
2001,1,4,352.5,169.0,25.0
2001,1,4,350.4,168.0,14.0
2001,1,4,47.3,134.0,23.0
2001,1,4,104.8,120.0,-13.0
2001,1,4,76.0,118.0,8.0
2001,1,4,331.3,181.0,24.0
2001,1,4,191.5,169.0,-22.0
2001,1,4,71.9,126.0,9.0
2001,1,4,104.6,110.0,-14.0
2001,1,4,81.6,92.0,7.0
2001,1,5,263.9,204.0,-7.0
2001,1,5,257.2,215.0,-13.0
2001,1,5,328.5,170.0,24.0
2001,1,5,315.0,170.0,14.0
2001,1,5,33.7,134.0,22.0
2001,1,5,111.2,122.0,-14.0
2001,1,5,71.0,118.0,8.0
2001,1,5,315.6,180.0,23.0
2001,1,5,63.9,126.0,9.0
2001,1,5,104.9,108.0,-13.0
2001,1,5,80.1,91.0,7.0
2001,1,5,68.0,86.0,19.0
2001,1,6,265.1,205.0,-6.0
2001,1,6,257.5,214.0,-13.0
2001,1,6,315.9,167.0,24.0
2001,1,6,299.9,164.0,11.0
2001,1,6,12.6,132.0,22.0
2001,1,6,119.9,119.0,-14.0
