Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1676:180
Coefficients for 360 degrees 
  Beginning: CT1675:000  1978:12:10_23h:54m:31s. 
  Centered:  CT1676:180  1978:12:24_15h:12m:42s. 
  End time:  CT1676:005  1979:01:06_21h:25m:23s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      15.06       0.00
  1   0      71.19       0.00
  1   1      51.09     -50.23
  2   0      -7.73       0.00
  2   1     -89.28      -2.16
  2   2      15.19     102.55
  3   0     199.53       0.00
  3   1      31.61     -27.47
  3   2      74.81     -27.61
  3   3    -105.22      80.19
  4   0      14.17       0.00
  4   1      82.37       9.46
  4   2      24.02      41.40
  4   3     167.85     -14.13
  4   4       1.58    -114.31
  5   0     238.86       0.00
  5   1     -56.53      83.37
  5   2     -52.94     -32.69
  5   3     -81.67     -16.10
  5   4     -53.77     -34.14
  5   5     125.47     113.34
  6   0      11.27       0.00
  6   1      42.05      55.24
  6   2     -67.38     -13.37
  6   3     -87.55     -28.43
  6   4     -96.99    -114.69
  6   5      35.62    -207.16
  6   6     190.17      65.80
  7   0     -60.27       0.00
  7   1       0.74      61.91
  7   2     -77.87       2.85
  7   3     103.81      -5.77
  7   4     -99.16     -14.41
  7   5      76.75      -6.22
  7   6     262.26    -217.02
  7   7    -172.21      11.67
  8   0      32.66       0.00
  8   1     -73.33      25.55
  8   2    -142.20      67.76
  8   3       9.39    -102.64
  8   4     -20.21     103.34
  8   5     -81.02      76.02
  8   6     -91.75      38.27
  8   7     259.41     -25.63
  8   8     236.26    -203.15
  9   0     -59.06       0.00
  9   1      64.66      73.11
  9   2    -133.79      93.45
  9   3     -54.91      26.75
  9   4      74.03      -3.51
  9   5     -81.21     -44.90
  9   6     -12.15      35.80
  9   7    -226.06     -50.05
  9   8     115.35     163.29
  9   9      93.66    -115.73
 10   0     -74.53       0.00
 10   1      47.96     -13.78
 10   2     -31.56      18.35
 10   3     -60.50      51.25
 10   4      69.87     -28.54
 10   5      37.43      41.66
 10   6    -149.23      70.75
 10   7     120.59       8.47
 10   8      22.98    -203.68
 10   9    -180.23     213.62
 10  10      61.05     -63.46
 11   0    -162.64       0.00
 11   1     -35.46       4.18
 11   2     -50.37     -96.37
 11   3      70.42     -13.67
 11   4      59.99      20.30
 11   5       6.62      54.02
 11   6     -75.79     138.18
 11   7      99.09     -18.94
 11   8     -39.21      15.00
 11   9      81.72    -190.88
 11  10    -156.65     -31.08
 11  11     -73.35     -29.27
 12   0      25.71       0.00
 12   1      15.49      39.29
 12   2    -125.48      90.15
 12   3     -15.10     -33.75
 12   4      33.64     -16.16
 12   5      36.54       3.37
 12   6     134.03      11.35
 12   7    -133.83      78.67
 12   8     -79.64      10.79
 12   9     105.78     -60.89
 12  10       7.52    -156.62
 12  11      75.43     114.94
 12  12    -128.48      68.18
 13   0    -175.73       0.00
 13   1     -22.03      10.31
 13   2    -109.91      84.75
 13   3      17.33       7.66
 13   4     -13.10       4.60
 13   5     -25.83     -74.01
 13   6      44.31     -27.31
 13   7      65.68      -7.78
 13   8      56.84     -18.03
 13   9      15.55      63.22
 13  10     -93.70       3.93
 13  11    -159.80     -53.84
 13  12    -100.02     151.00
 13  13     -56.95      79.45
 14   0      -2.40       0.00
 14   1       3.64       5.73
 14   2     -74.82     -34.23
 14   3     -56.47     -15.65
 14   4      77.58      44.63
 14   5     -23.10     -13.36
 14   6     -22.78     -70.30
 14   7      93.44    -115.17
 14   8     114.87     -68.91
 14   9     -39.48      47.79
 14  10      35.31     -40.28
 14  11    -126.32     -63.04
 14  12     -67.67      27.69
 14  13      69.91      83.09
 14  14     -90.38      96.33
 15   0    -286.91       0.00
 15   1      35.15      13.57
 15   2     -78.83       4.57
 15   3      27.73     -16.84
 15   4      90.60      10.36
 15   5     -21.98       0.03
 15   6       8.06     -22.74
 15   7      -6.95      40.87
 15   8       9.48     -92.23
 15   9     -28.57     -14.08
 15  10       6.55      54.22
 15  11     124.09      44.24
 15  12     -25.78    -117.77
 15  13    -189.75      43.61
 15  14      87.38      39.38
 15  15      -4.64     214.48
 16   0     -55.53       0.00
 16   1     -33.39     -26.76
 16   2     -73.10      82.55
 16   3     -39.61     -13.94
 16   4     103.94     -27.71
 16   5      27.20      13.00
 16   6     -45.09      -4.52
 16   7     -39.09      45.13
 16   8     -23.01      50.67
 16   9     -49.76     -73.24
 16  10     -31.42       9.14
 16  11     -28.30      18.02
 16  12     155.38     119.14
 16  13     -39.44     -25.73
 16  14     -75.07      59.04
 16  15      82.45     122.54
 16  16     -95.95      20.87
 17   0    -249.11       0.00
 17   1      -5.52     -53.40
 17   2     -65.02     -24.91
 17   3      43.03      27.92
 17   4      44.11      51.02
 17   5      14.83      -7.98
 17   6      67.49     -51.58
 17   7       0.24     -15.65
 17   8      -0.76       2.62
 17   9     -78.58      -2.61
 17  10     -61.96     -44.25
 17  11      18.08       4.63
 17  12      -1.76     -21.30
 17  13     -13.16      52.36
 17  14      47.11      18.59
 17  15      22.83     110.86
 17  16      59.01    -115.74
 17  17      90.27     104.75
 18   0     -13.69       0.00
 18   1       7.14     -19.23
 18   2     -43.47      15.05
 18   3     -62.08     -30.64
 18   4      43.54      42.38
 18   5       8.15      10.27
 18   6      14.72     -29.34
 18   7       5.83      28.12
 18   8      -6.54     -18.55
 18   9      51.25       8.71
 18  10     -85.30      16.06
 18  11     -16.08      30.61
 18  12      60.09      55.04
 18  13      35.99    -149.04
 18  14       0.61     -41.34
 18  15     -15.42       5.73
 18  16     -67.67     105.03
 18  17     154.74      52.91
 18  18     -40.72       6.33
 19   0    -181.96       0.00
 19   1     -23.42     -70.28
 19   2     -26.37      43.92
 19   3      34.07     -16.33
 19   4      51.15     -10.21
 19   5     -45.53     -18.09
 19   6      31.03     -15.53
 19   7      -8.78      -6.26
 19   8     -11.31      79.41
 19   9      66.55       8.05
 19  10      22.08      -2.36
 19  11     -82.00      23.41
 19  12     -11.40      27.33
 19  13      49.49      63.76
 19  14      49.47     -74.28
 19  15      40.49     -76.15
 19  16      67.67     -36.04
 19  17       1.20      33.80
 19  18       6.43      28.91
 19  19      40.68     -11.56
 20   0      10.61       0.00
 20   1     -13.48     -39.98
 20   2      -5.95     -13.59
 20   3     -34.48       3.07
 20   4     131.28      -5.35
 20   5      -1.03      -2.74
 20   6       7.76     -15.71
 20   7      32.31     -52.06
 20   8     -10.33      24.15
 20   9      -3.12      32.62
 20  10      46.10      13.06
 20  11      38.90       7.33
 20  12     -48.38     -13.80
 20  13     -10.94     -12.24
 20  14     -63.34       4.25
 20  15      48.90     -23.31
 20  16       1.13      24.27
 20  17     119.96    -102.96
 20  18     -79.18     -69.77
 20  19     -30.74      27.10
 20  20      45.34      60.44
 21   0     -53.80       0.00
 21   1      11.35     -74.92
 21   2      38.41     -44.87
 21   3      28.98       7.31
 21   4     107.11      39.79
 21   5     -20.11     -45.84
 21   6     -16.68     -34.01
 21   7     -12.31      28.26
 21   8      28.72     -37.00
 21   9     -12.97      -0.34
 21  10       2.82      15.27
 21  11      13.85      -4.96
 21  12      48.21      52.97
 21  13     -11.66     -49.41
 21  14      32.66     -29.54
 21  15     -53.59      -2.22
 21  16     -65.18      -8.46
 21  17     -79.51     -13.50
 21  18     164.04      46.10
 21  19      25.73     -40.49
 21  20      22.21       1.33
 21  21     -22.35     -14.61
 22   0      -7.19       0.00
 22   1     -22.97     -38.02
 22   2      68.88      -8.68
 22   3     -37.27     -38.20
 22   4     114.19      25.72
 22   5      43.24      21.90
 22   6     -13.39     -63.84
 22   7     -29.37      21.61
 22   8      22.04      -7.70
 22   9      22.40      -4.84
 22  10      -6.82     -12.61
 22  11      -5.61       1.92
 22  12       7.87       0.00
 22  13      22.43      70.18
 22  14      33.45     -14.42
 22  15      11.03      11.06
 22  16     -28.97     -75.10
 22  17     -30.89     -18.97
 22  18     -52.47     -14.45
 22  19      -5.09      40.63
 22  20      74.38     -10.27
 22  21      -4.81     -53.88
 22  22      29.18      46.47
 23   0     149.37       0.00
 23   1     -15.68     -74.07
 23   2      86.35      11.15
 23   3      15.88       2.89
 23   4      55.35      31.54
 23   5     -18.36     -12.72
 23   6      96.16     -46.07
 23   7      28.77      -5.89
 23   8     -34.61      34.37
 23   9      -8.87     -11.22
 23  10      -0.88      17.78
 23  11      15.06      11.66
 23  12      13.54      -6.28
 23  13      24.25     -55.28
 23  14     -41.64      22.63
 23  15      -9.81      13.94
 23  16     -10.61      39.11
 23  17      28.87      -1.59
 23  18      15.13      41.84
 23  19      -7.67     -24.03
 23  20       2.91    -136.17
 23  21     -22.80      10.78
 23  22      40.60      16.43
 23  23       8.57      14.03
 24   0      18.76       0.00
 24   1     -13.86     -38.48
 24   2     106.95     -59.05
 24   3     -18.07      -2.99
 24   4     108.26       7.50
 24   5      -4.07     -12.51
 24   6       9.36     -45.55
 24   7       3.74      -3.13
 24   8     -28.54      34.04
 24   9      -7.18      20.35
 24  10      11.65      -9.12
 24  11     -20.03       9.43
 24  12      22.72       9.40
 24  13     -10.38     -34.00
 24  14       6.12     -44.63
 24  15     -43.30      41.29
 24  16      18.96      35.78
 24  17     -37.63     -11.02
 24  18      19.80      20.41
 24  19      -8.50      50.42
 24  20      29.73       4.81
 24  21      86.78     -52.43
 24  22       8.99      -8.86
 24  23     -40.94     -31.86
 24  24      -5.23      35.84
 25   0     333.44       0.00
 25   1      -2.59     -45.87
 25   2     142.58     -33.49
 25   3      -0.18      -2.41
 25   4      84.08      18.55
 25   5     -38.31     -37.06
 25   6      22.30     -69.98
 25   7     -25.51       8.76
 25   8      18.59       7.12
 25   9      25.93      12.93
 25  10       7.21       1.56
 25  11      -1.82     -14.57
 25  12     -28.14      -8.19
 25  13       9.42      24.18
 25  14       0.95     -39.29
 25  15      19.13       4.46
 25  16      -4.85     -17.73
 25  17       8.44      19.67
 25  18     -13.01     -18.14
 25  19      -2.55     -42.51
 25  20     -17.27      38.56
 25  21      -8.15      47.18
 25  22      52.43     -40.48
 25  23      54.08     -42.93
 25  24     -36.89      28.51
 25  25      11.28      14.09
 26   0      36.84       0.00
 26   1      -0.34     -16.27
 26   2     161.68     -68.94
 26   3      23.83      -7.30
 26   4      96.25      13.48
 26   5      34.27      25.81
 26   6      -7.98     -56.94
 26   7       0.48      -7.17
 26   8      12.59      12.94
 26   9      33.91      -1.27
 26  10      11.47      33.28
 26  11      25.97       4.99
 26  12     -24.81       9.22
 26  13     -16.98       9.16
 26  14      14.51       7.40
 26  15       0.98     -44.84
 26  16     -19.57      16.05
 26  17      55.27       3.89
 26  18      -1.96      14.27
 26  19      -6.06      10.54
 26  20      30.60     -36.13
 26  21       3.38       3.42
 26  22     -36.46     -16.64
 26  23     -48.21     -39.86
 26  24      58.15       4.94
 26  25       6.10      14.14
 26  26      -5.27      49.42
 27   0     478.78       0.00
 27   1      -7.08       4.49
 27   2     169.45     -10.56
 27   3     -29.92       2.79
 27   4      49.53      18.63
 27   5     -33.85     -45.34
 27   6      71.81     -66.96
 27   7      -3.67       9.95
 27   8     -14.37      23.53
 27   9      -9.76       3.25
 27  10      19.97       7.36
 27  11      -1.18       5.78
 27  12       8.07       7.21
 27  13      -9.10      -4.85
 27  14       5.99      14.91
 27  15     -20.87     -15.67
 27  16     -13.83     -10.42
 27  17       0.74      24.48
 27  18      28.95      -2.93
 27  19     -25.50       4.77
 27  20     -15.33      29.09
 27  21      44.41      -8.48
 27  22      14.13      22.07
 27  23      42.03     -26.62
 27  24     -51.47     -39.48
 27  25      29.33      16.30
 27  26      16.33      51.45
 27  27     -29.96       7.60
 28   0      32.88       0.00
 28   1       3.02      14.06
 28   2     160.58     -84.07
 28   3      48.01      18.16
 28   4      49.03       3.25
 28   5      19.65       4.37
 28   6       5.71     -87.30
 28   7      -8.43       0.87
 28   8     -17.82      16.46
 28   9       3.45      17.17
 28  10       5.47      -9.62
 28  11       2.61       1.54
 28  12      11.63     -11.85
 28  13      13.49       2.28
 28  14      -9.28       5.57
 28  15       3.03      26.31
 28  16       6.74      -9.84
 28  17     -27.41      -5.56
 28  18      -6.56     -18.22
 28  19       9.94     -21.47
 28  20      -0.15     -30.74
 28  21     -37.00      12.27
 28  22      16.22      12.47
 28  23     -17.46      20.22
 28  24      60.98      10.88
 28  25      -3.42     -30.06
 28  26      -2.68      13.67
 28  27      23.26      29.68
 28  28       0.93      16.48
 29   0     481.51       0.00
 29   1       4.00      60.76
 29   2     142.79     -10.67
 29   3     -43.76      -4.02
 29   4      12.70       1.40
 29   5     -38.78     -35.25
 29   6      75.93     -94.37
 29   7      -8.22      11.24
 29   8      -3.43      23.42
 29   9      18.30      -5.70
 29  10       8.77      10.77
 29  11      10.00      -0.80
 29  12       5.54       0.07
 29  13       8.23      -7.89
 29  14      -4.09      -7.29
 29  15       1.16      13.45
 29  16      -5.75      25.99
 29  17       1.84     -27.21
 29  18      -7.20       3.76
 29  19      15.15     -19.80
 29  20       6.79     -22.32
 29  21      27.57      21.30
 29  22     -26.26     -16.62
 29  23      -9.74     -10.53
 29  24     -37.40       4.22
 29  25       5.83      45.84
 29  26       1.82     -13.82
