Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1717:180
Coefficients for 360 degrees 
  Beginning: CT1716:000  1982:01:02_06h:45m:52s. 
  Centered:  CT1717:180  1982:01:15_22h:04m:03s. 
  End time:  CT1717:005  1982:01:29_04h:16m:44s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       6.48       0.00
  1   0     -95.14       0.00
  1   1     -37.10      13.66
  2   0     -11.50       0.00
  2   1      69.33      33.21
  2   2     -32.26      75.23
  3   0    -137.30       0.00
  3   1     -19.11     -44.95
  3   2      70.15    -132.25
  3   3     103.56      42.03
  4   0      26.53       0.00
  4   1     -93.23      56.56
  4   2     -19.96      82.51
  4   3    -148.57     -78.78
  4   4    -120.63     105.55
  5   0      -9.53       0.00
  5   1     127.49     101.57
  5   2     -14.56      95.68
  5   3      13.68      -9.90
  5   4     -26.46     -11.76
  5   5      49.25      52.08
  6   0     136.75       0.00
  6   1      88.81      26.49
  6   2      35.89    -146.24
  6   3      82.43       5.18
  6   4      19.87     -73.65
  6   5     175.99     174.70
  6   6     101.10      74.31
  7   0    -121.15       0.00
  7   1      38.02     -85.18
  7   2    -166.95      -0.36
  7   3     -33.29     -65.96
  7   4     -30.45      11.39
  7   5      -8.83      89.80
  7   6      48.96       4.20
  7   7     107.50    -120.34
  8   0     -67.56       0.00
  8   1      96.38     125.52
  8   2     -73.21     -61.12
  8   3      60.76     122.53
  8   4     -24.26      57.95
  8   5     -59.19    -154.11
  8   6      88.96     -43.99
  8   7      65.59      14.44
  8   8      14.65     -49.84
  9   0     117.39       0.00
  9   1      -0.09     -68.39
  9   2      13.98     -17.70
  9   3      56.40      80.41
  9   4      58.92      30.40
  9   5     -67.52     -96.50
  9   6     -39.10     -89.42
  9   7     105.75    -116.84
  9   8     175.99     -75.15
  9   9    -173.85      83.40
 10   0     -21.14       0.00
 10   1     -31.24      23.41
 10   2    -131.76     -31.83
 10   3      15.22    -129.98
 10   4      44.01     -44.71
 10   5     -72.15     119.20
 10   6    -111.36      98.29
 10   7     -43.64     120.57
 10   8       3.66    -199.18
 10   9     127.21    -202.45
 10  10      61.56      24.52
 11   0      80.77       0.00
 11   1      43.59     117.91
 11   2     -91.09     -45.97
 11   3      61.58     -37.15
 11   4      -0.01     -45.01
 11   5      37.71      42.22
 11   6      35.52     -13.71
 11   7     -49.11     113.89
 11   8      29.49     112.30
 11   9     109.99      70.67
 11  10    -106.79    -108.16
 11  11     -39.84    -129.61
