Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1891:180
Coefficients for 360 degrees 
  Beginning: CT1890:000  1994:12:31_04h:15m:00s. 
  Centered:  CT1891:180  1995:01:13_19h:33m:12s. 
  End time:  CT1891:005  1995:01:27_01h:45m:52s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -13.20       0.00
  1   0     155.05       0.00
  1   1     -10.74       1.84
  2   0     -70.89       0.00
  2   1      -4.93     -15.52
  2   2     -44.73     -15.99
  3   0     215.73       0.00
  3   1      10.16      23.19
  3   2      28.74      22.27
  3   3      12.96      35.61
  4   0     -50.48       0.00
  4   1     -57.04     -26.88
  4   2      14.86      -2.98
  4   3      24.08     -38.10
  4   4     -28.81     -51.15
  5   0     130.22       0.00
  5   1      -7.40     -16.96
  5   2     -34.34     -15.86
  5   3     -14.15     -14.12
  5   4      -8.89       4.59
  5   5     -54.78     -62.25
  6   0     -36.58       0.00
  6   1     -24.69     -11.85
  6   2     -12.82      -4.21
  6   3     -18.87      28.89
  6   4      -8.44      49.95
  6   5      48.53      47.03
  6   6      60.59      59.02
  7   0       0.14       0.00
  7   1       7.71      43.39
  7   2      27.09      14.87
  7   3      30.96      -2.67
  7   4       0.73       3.73
  7   5      -7.92      -3.71
  7   6     -40.78     -13.27
  7   7      -6.45     -33.14
  8   0      18.08       0.00
  8   1     -33.58     -20.21
  8   2     -28.11     -12.58
  8   3      54.01     -11.24
  8   4      18.58      -4.48
  8   5     -25.44     -44.60
  8   6     -12.40     -38.05
  8   7     -74.89      40.42
  8   8    -142.99     -17.52
  9   0     -81.93       0.00
  9   1     -13.68       1.37
  9   2     -36.76     -13.23
  9   3     -21.66      27.17
  9   4      -4.23      33.47
  9   5      14.78      17.76
  9   6      39.24      -2.19
  9   7       4.20      -0.28
  9   8     -21.49     -30.36
  9   9      72.55      30.95
 10   0      36.39       0.00
 10   1     -40.77     -16.94
 10   2      -0.13      13.06
 10   3      24.01      10.29
 10   4      -8.75      14.95
 10   5      22.53      31.04
 10   6      -8.93     -20.85
 10   7      48.58     -19.91
 10   8      -4.24      -9.50
 10   9     -91.64     -39.49
 10  10      -5.33     -21.85
 11   0    -150.92       0.00
 11   1      20.07      12.82
 11   2      -0.09     -18.93
 11   3      29.62      -4.09
 11   4      -3.96      27.08
 11   5     -18.42     -43.75
 11   6     -13.55     -35.12
 11   7      -7.42       2.33
 11   8       0.75      33.64
 11   9     -16.07     -35.54
 11  10      18.66     -51.13
 11  11     -93.98      -0.55
 12   0      70.64       0.00
 12   1      -6.58     -13.73
 12   2     -21.55     -18.49
 12   3      40.28      -5.71
 12   4     -16.00       6.47
 12   5      10.43       4.74
 12   6      19.04      11.01
 12   7     -18.45      11.79
 12   8      47.16      19.50
 12   9      53.41      51.90
 12  10      29.20       6.61
 12  11      86.26     -90.36
 12  12      80.45     -58.12
 13   0    -236.87       0.00
 13   1     -22.32      -4.94
 13   2       0.99      26.99
 13   3     -23.25      27.93
 13   4      10.11      53.42
 13   5      -7.75      -6.80
 13   6      -4.25      -5.42
 13   7      20.62      -9.47
 13   8      16.32     -17.98
