Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1813:180
Coefficients for 360 degrees 
  Beginning: CT1812:000  1989:03:04_16h:57m:48s. 
  Centered:  CT1813:180  1989:03:18_08h:15m:59s. 
  End time:  CT1813:005  1989:03:31_14h:28m:40s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       0.30       0.00
  1   0     -61.91       0.00
  1   1     -54.90     -39.58
  2   0      50.10       0.00
  2   1     -75.21     -56.25
  2   2     -49.36     -49.88
  3   0    -157.82       0.00
  3   1      45.95      10.66
  3   2     -81.45     290.09
  3   3      51.74     -80.27
  4   0    -120.62       0.00
  4   1     107.46    -124.96
  4   2     -84.30    -150.49
  4   3     389.18    -155.07
  4   4     220.10     -66.67
  5   0    -485.62       0.00
  5   1     237.64     122.44
  5   2      89.87     -63.58
  5   3      12.89      83.94
  5   4    -213.57    -189.29
  5   5    -283.85      55.69
  6   0      62.99       0.00
  6   1     315.91     352.51
  6   2      70.31     -76.77
  6   3      29.96      79.11
  6   4      78.50    -184.68
  6   5    -353.30     316.17
  6   6     279.67      11.78
  7   0     134.12       0.00
  7   1      78.79     104.25
  7   2     141.57    -326.70
  7   3     -94.79       5.02
  7   4     -83.33    -162.98
  7   5    -132.89     109.91
  7   6     188.16     -94.44
  7   7      51.01      17.13
  8   0      47.82       0.00
  8   1     106.03     192.66
  8   2      82.76    -132.17
  8   3    -277.69    -134.14
  8   4    -113.48      56.21
  8   5      -5.41     -80.57
  8   6     135.65      75.37
  8   7     -97.38      96.46
  8   8    -205.86     -51.87
  9   0     170.58       0.00
  9   1     103.65      41.75
  9   2     178.27    -280.82
  9   3     -95.81    -204.79
  9   4     196.46     213.34
  9   5     167.43    -127.18
  9   6     176.89     223.11
  9   7     -62.46     -77.10
  9   8     -77.70      84.62
  9   9    -218.60     -73.92
 10   0     -75.24       0.00
 10   1      51.51    -131.72
 10   2     122.71    -230.95
 10   3    -151.92     -92.44
 10   4     119.42      91.47
 10   5      81.37     157.40
 10   6    -187.52      10.07
 10   7     -23.94    -100.84
 10   8    -196.37     -98.85
 10   9      80.14     -75.52
 10  10     241.35     139.07
 11   0      61.91       0.00
 11   1     170.84      43.55
 11   2      23.52    -165.14
 11   3     -87.72     -87.43
 11   4      -4.99     262.90
 11   5    -111.13     -82.53
 11   6      23.10     -15.52
 11   7     -49.87     -19.68
 11   8     -56.72     -49.21
 11   9    -234.09     150.02
 11  10    -214.46     164.83
 11  11    -281.88     -22.88
 12   0      58.10       0.00
 12   1     120.80     116.47
 12   2     129.75     -92.91
 12   3    -140.17     -72.49
 12   4     -69.96     -25.10
 12   5     125.59    -146.11
 12   6     104.16     -61.00
 12   7     110.46    -121.46
 12   8     169.59      66.18
 12   9    -125.11     282.00
 12  10     317.33      36.13
 12  11      68.05      47.00
 12  12     -86.01      51.29
 13   0     300.69       0.00
 13   1     -49.48      49.35
 13   2     102.36    -219.00
 13   3    -225.41     -76.57
 13   4      82.54      91.57
 13   5     199.28      -9.58
 13   6    -160.13     -97.50
 13   7     134.66      70.54
 13   8    -159.12     110.32
 13   9     116.60     140.19
 13  10    -104.75     -58.52
 13  11    -228.26    -109.25
 13  12    -147.57      17.54
 13  13      75.88      25.68
 14   0     -43.02       0.00
 14   1      16.49      96.28
 14   2      96.12    -209.71
 14   3    -187.04    -159.84
 14   4     112.20     259.52
 14   5     110.53    -184.32
 14   6     -89.66     -84.34
 14   7     -67.49      80.51
 14   8      19.33      55.74
 14   9     121.95      68.99
 14  10    -118.01     -34.12
 14  11     -30.72    -166.20
 14  12    -309.27     257.03
 14  13      57.09     138.11
 14  14     -38.27     -19.86
 15   0     322.70       0.00
 15   1       5.03     -35.23
 15   2     162.37    -324.07
 15   3    -161.22    -119.85
 15   4      76.77     131.35
 15   5      25.57    -113.64
 15   6    -118.08       0.29
 15   7    -119.42     -65.90
 15   8      38.86      34.30
 15   9      26.86    -191.17
 15  10     214.15     -98.22
 15  11     153.09     -47.29
 15  12       3.87     267.10
 15  13      66.17      58.02
 15  14     -76.88     159.05
 15  15      -4.60      24.32
 16   0      27.28       0.00
 16   1     -68.10    -129.63
 16   2      76.22    -107.12
 16   3    -209.12     -74.78
 16   4      37.91     158.47
 16   5      98.10      69.19
 16   6     -57.02    -108.40
 16   7     -21.01     104.55
 16   8     -31.82    -114.86
 16   9      86.33     -74.97
 16  10      70.05      47.71
 16  11    -162.78     -20.22
 16  12    -183.07     125.40
 16  13     120.39     116.93
 16  14      41.36     -79.93
 16  15    -241.91    -309.89
 16  16     119.26      -9.72
 17   0     325.07       0.00
 17   1     -79.90     -62.88
 17   2      64.05    -121.13
 17   3    -149.35    -183.47
 17   4      16.09     181.14
 17   5     129.30    -139.34
 17   6     -64.89    -137.86
 17   7       5.17      11.78
 17   8     123.45     -79.35
 17   9     -31.16      82.22
 17  10      50.28      31.21
 17  11     -79.57     -11.75
 17  12      33.75      95.80
 17  13     -59.20      49.75
 17  14      77.37      31.97
 17  15     -27.55     108.88
 17  16     -50.42     200.38
 17  17     -12.96      20.13
 18   0       3.91       0.00
 18   1    -191.82    -134.11
 18   2      45.49     -71.35
 18   3    -278.52    -159.85
 18   4      25.64     137.10
 18   5     123.40    -202.88
 18   6    -103.35     -34.96
 18   7     -11.30      18.14
 18   8      -5.47     -11.79
 18   9    -145.76      64.02
 18  10     -12.08     -37.26
 18  11     -31.48      41.87
 18  12     141.45    -138.02
 18  13     123.82     -83.34
 18  14     143.31     -86.99
 18  15    -259.71      35.78
 18  16      78.29     100.64
 18  17     167.89      52.10
 18  18     -65.80     -72.60
 19   0     170.93       0.00
 19   1    -192.01     -72.57
 19   2      10.92     -36.12
 19   3    -193.65    -115.75
 19   4     138.45     258.62
 19   5     167.09     -63.66
