Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1921:180
Coefficients for 360 degrees 
  Beginning: CT1920:000  1997:03:28_10h:26m:14s. 
  Centered:  CT1921:180  1997:04:11_01h:44m:25s. 
  End time:  CT1921:005  1997:04:24_07h:57m:06s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      20.94       0.00
  1   0     148.26       0.00
  1   1      -3.10       2.55
  2   0       1.22       0.00
  2   1       3.68       8.79
  2   2      11.25      14.01
  3   0     233.01       0.00
  3   1     -14.89      -6.72
  3   2      37.74     -17.96
  3   3      -4.66     -12.85
  4   0     -24.45       0.00
  4   1     -14.39      -3.20
  4   2     -19.95      16.70
  4   3      13.67     -24.90
  4   4      27.59       5.70
  5   0     131.52       0.00
  5   1       2.18      15.55
  5   2      -1.07       0.25
  5   3      10.76       9.33
  5   4     -13.28      -6.52
  5   5     -10.05     -34.68
  6   0     -21.85       0.00
  6   1     -22.31      15.56
  6   2      16.71       3.79
  6   3      -6.00      -8.15
  6   4      29.49      -4.16
  6   5     -15.69       3.82
  6   6       8.77      36.17
  7   0      14.95       0.00
  7   1     -14.61      10.66
  7   2       7.15     -12.23
  7   3      10.73      -6.70
  7   4      -6.90      -2.56
  7   5      -1.68     -11.25
  7   6      16.71      17.71
  7   7      12.67     -34.52
  8   0      12.64       0.00
  8   1      14.32      10.40
  8   2      24.58      -3.07
  8   3     -27.82      31.26
  8   4     -25.59     -25.39
  8   5       9.38     -15.05
  8   6      -9.40     -29.00
  8   7      15.46     -12.47
  8   8     -38.57      55.08
  9   0    -101.87       0.00
  9   1     -21.13      -3.28
  9   2      -8.27      -6.79
  9   3     -18.54      17.87
  9   4      30.48      14.05
  9   5     -34.94      -2.17
  9   6     -23.74      -8.41
  9   7     -30.84       3.23
  9   8       0.39     -23.35
  9   9      25.11      -9.23
 10   0       0.80       0.00
 10   1      -4.54       3.93
 10   2      12.40       9.19
 10   3      12.22      31.75
 10   4     -13.83      18.08
 10   5      -3.41      -5.98
 10   6     -12.35      19.27
 10   7       4.07      22.73
 10   8      17.73      41.55
 10   9       8.28     -21.01
 10  10     -44.37     -10.80
 11   0    -141.80       0.00
 11   1      -9.36       9.56
 11   2       2.53     -17.85
 11   3      -4.28      49.89
 11   4      -7.72      23.61
 11   5      15.14       5.64
 11   6       4.32      25.59
 11   7      -3.64      16.50
 11   8       1.28     -32.18
 11   9      18.94       3.54
 11  10     -37.17      38.03
 11  11      45.16      22.66
 12   0       5.79       0.00
 12   1      -8.11       0.41
 12   2      15.44       6.08
 12   3     -15.01      15.94
 12   4      13.87      16.57
