Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1812:180
Coefficients for 360 degrees 
  Beginning: CT1811:000  1989:02:05_10h:21m:26s. 
  Centered:  CT1812:180  1989:02:19_01h:39m:37s. 
  End time:  CT1812:005  1989:03:04_07h:52m:18s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      29.26       0.00
  1   0     -29.95       0.00
  1   1     -76.38     -27.60
  2   0      56.85       0.00
  2   1      24.46     -36.83
  2   2      68.04     -51.99
  3   0    -125.11       0.00
  3   1     118.93     -51.77
  3   2    -217.49     220.26
  3   3       6.13     -10.75
  4   0      -1.87       0.00
  4   1     201.20     -19.40
  4   2      95.64     -73.24
  4   3     330.29     108.01
  4   4      91.41      18.56
  5   0    -325.50       0.00
  5   1     135.07      48.02
  5   2      75.70     -33.08
  5   3    -131.19     -16.77
  5   4      95.94    -119.51
  5   5    -184.57     -76.75
  6   0     201.33       0.00
  6   1     185.21     282.89
  6   2      97.54      16.45
  6   3    -159.01     198.29
  6   4      18.72      92.92
  6   5    -163.99    -117.50
  6   6     419.41     -81.58
  7   0     136.32       0.00
  7   1      86.78     -97.62
  7   2     160.05     -24.53
  7   3     111.56     -62.91
  7   4     220.18     -86.92
  7   5      -3.62      70.56
  7   6    -133.06      76.35
  7   7      20.74       6.14
  8   0     -90.16       0.00
  8   1      32.33     -65.60
  8   2     -57.06      12.86
  8   3    -128.35    -173.13
  8   4    -143.95     191.12
  8   5     -43.17    -308.89
  8   6     130.46     -78.41
  8   7    -474.73    -181.64
  8   8    -133.84    -239.04
  9   0       7.65       0.00
  9   1     226.48      -3.17
  9   2      10.08      12.97
  9   3     200.68      98.23
  9   4    -254.44     174.66
  9   5     196.12     133.27
  9   6    -399.16      36.10
  9   7      95.13     -15.79
  9   8     286.81      26.95
  9   9    -184.18     -90.08
 10   0     -84.06       0.00
 10   1      72.66     -31.87
 10   2      -9.41      32.31
 10   3     205.21      41.05
 10   4     117.18     -42.27
 10   5      63.49     419.94
 10   6    -353.33     -61.03
 10   7      -1.46     180.48
 10   8    -101.22    -161.39
 10   9     338.97    -205.92
 10  10       5.37     137.56
 11   0     111.22       0.00
 11   1      24.61     180.04
 11   2      62.19     -57.24
 11   3     -18.58      29.65
 11   4     -56.81     -83.74
 11   5    -164.81     -77.65
 11   6     194.19     -41.96
 11   7    -114.50     -31.59
 11   8     133.04      37.76
 11   9    -263.37    -262.16
 11  10    -320.46     165.27
 11  11     -70.94      76.54
 12   0      -2.81       0.00
 12   1      93.61     106.53
 12   2     203.69      12.67
 12   3       9.41      57.25
 12   4      90.48    -138.50
 12   5      11.31      -8.98
 12   6     217.28      19.63
