Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1672:180
Coefficients for 360 degrees 
  Beginning: CT1671:000  1978:08:23_21h:29m:01s. 
  Centered:  CT1672:180  1978:09:06_12h:47m:12s. 
  End time:  CT1672:005  1978:09:19_18h:59m:53s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -0.12       0.00
  1   0     100.02       0.00
  1   1     -10.81     -29.37
  2   0      18.21       0.00
  2   1       8.14     -33.97
  2   2     -13.07       4.99
  3   0     178.70       0.00
  3   1     -15.98      56.12
  3   2    -109.67      87.79
  3   3     -75.72      99.34
  4   0      94.85       0.00
  4   1       8.90     -15.30
  4   2     -18.33      32.28
  4   3    -211.54     -27.36
  4   4      -8.38     109.08
  5   0     273.48       0.00
  5   1     -49.51      43.68
  5   2       8.11     -51.93
  5   3    -132.14     133.82
  5   4     -59.38     111.88
  5   5     -48.50      46.89
  6   0     -17.69       0.00
  6   1     -52.71     -67.31
  6   2     -71.96      -6.05
  6   3      51.70      46.91
  6   4     -14.39     118.70
  6   5    -191.75    -175.57
  6   6      -6.19     -31.89
  7   0    -120.36       0.00
  7   1      66.06      44.70
  7   2     111.36     -38.34
  7   3      84.33    -100.04
  7   4     -63.87     -28.43
  7   5    -155.22      -9.27
  7   6     -71.47    -117.12
  7   7    -130.21      42.14
  8   0     -30.40       0.00
  8   1      30.94     -45.42
  8   2     -77.31     109.67
  8   3      65.37      18.72
  8   4     -33.60    -120.37
  8   5    -116.04      -6.73
  8   6    -138.08     -55.39
  8   7    -189.44     143.89
  8   8      24.80    -159.07
  9   0     -75.37       0.00
  9   1      15.31      81.02
  9   2      76.30      -8.11
  9   3      77.61     -58.74
  9   4      32.13    -119.13
  9   5     -48.80     -79.79
  9   6    -172.98       0.22
  9   7    -164.32       4.60
  9   8     -27.93    -311.93
  9   9     -30.30     -36.56
 10   0       4.13       0.00
 10   1       7.96      15.40
 10   2     -46.48     100.50
 10   3     -38.95     -67.22
 10   4      32.21     -16.04
 10   5      71.12      57.73
 10   6     -66.67      -6.43
 10   7     -23.12       7.31
 10   8    -102.08    -182.16
 10   9      40.32     -13.32
 10  10      83.20      25.68
 11   0     -83.51       0.00
 11   1     -54.10      -2.35
 11   2      83.05     -51.78
 11   3     -13.26      -1.62
 11   4      39.16     113.88
 11   5      89.45      66.28
 11   6      66.25       9.85
 11   7      93.07     -52.26
 11   8    -175.88     -16.82
 11   9    -141.46    -187.60
 11  10     131.73     -48.94
 11  11    -102.84    -103.74
 12   0     -33.51       0.00
 12   1     -21.32     -37.71
 12   2     -61.84     -23.57
 12   3       7.45      43.86
 12   4     -37.09     106.09
 12   5      10.19     -17.98
 12   6      79.83     -22.85
 12   7      41.10    -116.86
 12   8     -93.60      57.37
 12   9    -117.30     -97.15
 12  10     137.35      33.25
 12  11     -84.87     159.37
 12  12     -29.20      64.44
 13   0    -240.25       0.00
 13   1      56.02      37.07
 13   2      92.04     -48.43
 13   3      40.19     -77.61
 13   4      -3.74      43.58
 13   5      -7.63       3.81
 13   6      14.32     -27.12
 13   7      44.53     -27.81
 13   8      59.43      24.42
 13   9     -19.49     -76.60
 13  10     -81.17    -128.20
 13  11     -52.61    -127.89
 13  12    -216.05       6.58
 13  13      46.16     -41.35
 14   0     -56.20       0.00
 14   1      16.31     -13.41
 14   2     -57.93     105.77
 14   3      -6.46      53.13
 14   4     -10.42     -83.16
 14   5      -7.78     -19.44
 14   6     -36.14      34.92
 14   7     -25.32      14.84
 14   8     112.53     -59.66
 14   9      37.27     -69.76
 14  10     -30.27     -56.37
 14  11      -6.21     116.81
 14  12     -85.93     119.82
 14  13    -117.66     -59.70
 14  14      42.59     -50.57
 15   0    -252.20       0.00
 15   1     -14.49     -16.89
 15   2      74.58     -18.40
 15   3      21.56     -26.70
 15   4      30.67    -106.95
 15   5      13.48      -3.72
 15   6     -56.31      16.35
 15   7     -45.63       8.47
 15   8      86.19     -59.06
 15   9      66.71     116.97
 15  10      14.50      35.76
 15  11     115.68      10.00
 15  12    -137.13    -196.12
 15  13     108.54    -147.23
 15  14     -65.07    -179.90
 15  15      36.24     -46.31
 16   0     -46.64       0.00
 16   1     -11.35      25.51
 16   2     -57.72      69.16
 16   3      -7.28     -27.40
 16   4     -17.62     -48.68
 16   5      15.01      26.63
 16   6       7.79      14.54
 16   7       8.51      80.40
 16   8     -29.97      21.07
 16   9      51.46      25.32
 16  10     -15.66     -42.68
 16  11      46.04     -65.76
 16  12     -21.51     -76.99
 16  13     -61.32     -30.36
 16  14      88.33      12.33
 16  15    -132.80       1.69
 16  16      -9.53      80.57
 17   0    -287.12       0.00
 17   1     -34.12     -46.53
 17   2      63.22     -20.21
 17   3      39.58     -61.22
 17   4      17.26      79.54
 17   5       7.30       4.30
 17   6      51.49     -20.89
 17   7      -0.11      12.60
 17   8    -102.92      92.36
 17   9      -8.85     -31.78
 17  10      99.59      79.24
 17  11      -1.21      49.35
 17  12      57.99     -42.48
 17  13      42.44     -55.41
 17  14     -72.22    -127.88
 17  15      52.91     -77.38
 17  16      52.87     -27.82
 17  17      33.04       9.20
 18   0     -58.97       0.00
 18   1       0.76      34.69
 18   2     -31.26      -1.18
 18   3       0.09      25.02
 18   4     -24.84      59.19
 18   5      -6.50     -10.25
 18   6      31.08      -9.83
 18   7      -7.20     -30.40
 18   8     -42.11      49.83
 18   9     -56.18       7.92
 18  10      33.91      27.37
 18  11      -3.26     -57.56
 18  12      10.25     -40.27
 18  13       5.55      -4.39
 18  14      31.13     154.07
 18  15    -163.83      35.31
 18  16       0.17      88.69
 18  17     -76.22     -75.99
 18  18     -37.05      22.12
 19   0    -160.74       0.00
 19   1      22.64     -48.79
 19   2       8.91     -25.67
 19   3      54.74     -75.99
 19   4      42.62      26.29
 19   5      -2.26      -1.15
 19   6     -17.24       7.79
 19   7      23.91     -25.92
 19   8      62.52     -33.15
 19   9     -43.00     -36.17
 19  10     -94.65     -70.05
 19  11      13.24      -9.74
 19  12      34.87     136.82
 19  13     -45.87     104.89
 19  14      26.02      73.80
 19  15     -43.09     -26.74
 19  16     -71.25    -144.25
 19  17     117.75       7.68
 19  18      13.76     -53.95
 19  19     -16.38      12.46
 20   0      -8.61       0.00
 20   1      13.88      56.76
 20   2      -1.92      14.67
