Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2074:180
Coefficients for 360 degrees 
  Beginning: CT2073:000  2008:08:30_13h:11m:31s. 
  Centered:  CT2074:180  2008:09:13_04h:29m:42s. 
  End time:  CT2074:005  2008:09:26_10h:42m:23s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -9.24       0.00
  1   0     -76.17       0.00
  1   1      -9.73       3.21
  2   0     -27.27       0.00
  2   1      -6.61      -4.58
  2   2      15.54      18.16
  3   0    -123.93       0.00
  3   1       5.54       2.80
  3   2      -1.42      -8.99
  3   3       9.33      -8.59
  4   0     -47.86       0.00
  4   1      -9.00       2.74
  4   2      17.52      -1.15
  4   3       1.90      -4.30
  4   4      -1.71       2.20
  5   0     -69.93       0.00
  5   1     -12.90      -1.95
  5   2       2.06       0.59
  5   3      -8.95     -16.22
  5   4      -6.55       6.14
  5   5      -1.24     -11.91
  6   0     -24.02       0.00
  6   1      16.58     -10.67
  6   2      19.18       0.30
  6   3      14.39      10.24
  6   4      -4.04      11.60
  6   5       9.65      -1.77
  6   6      -6.06       2.08
  7   0      -6.87       0.00
  7   1     -11.81      -2.96
  7   2      -1.53      -5.10
  7   3      -9.59       3.21
  7   4       4.48      -5.61
  7   5      -4.55       8.40
  7   6      -0.11      16.01
  7   7      -0.60      -1.66
  8   0      10.89       0.00
  8   1       0.94     -15.28
  8   2      23.00       6.43
  8   3      -1.56      -2.09
  8   4      14.65       7.86
  8   5      -3.53      -3.36
  8   6      -2.56      -1.92
  8   7       6.06      13.15
  8   8      -2.05      -2.74
  9   0      44.73       0.00
  9   1      -6.76      -2.72
  9   2      -9.67      -0.70
  9   3       4.51      -9.13
  9   4      -7.95       7.89
  9   5      -9.14      -0.19
  9   6       9.03      -1.85
  9   7      -1.99       3.97
  9   8       3.61      -0.21
  9   9       2.15       2.89
 10   0      26.81       0.00
 10   1      -4.14       5.30
 10   2      13.23      -0.77
 10   3       4.98      11.51
 10   4       0.66       1.22
 10   5       7.85       9.25
 10   6       3.49       8.84
 10   7      -4.59       4.80
 10   8      10.28      -5.16
 10   9       0.94       9.97
 10  10       8.95      -9.83
 11   0      84.27       0.00
 11   1       0.33      -2.52
 11   2      -8.56      -7.54
 11   3      -8.09      -8.07
 11   4      -3.08      -6.20
 11   5      -0.75      -0.11
 11   6       6.53       2.80
 11   7      10.00      -9.34
 11   8      -5.48       6.36
 11   9       0.09     -12.82
 11  10      -5.08       3.08
 11  11       7.48      -9.40
 12   0      36.78       0.00
 12   1       4.82      -8.58
 12   2      11.80       1.62
 12   3      -2.03       5.08
 12   4       9.97      11.01
 12   5       2.58       2.19
 12   6       7.81       1.98
 12   7     -18.00       1.26
 12   8      -4.51      -5.73
 12   9       0.01       5.65
 12  10      -2.60      13.60
 12  11      -3.81      -7.06
 12  12       9.61      -0.17
 13   0     128.13       0.00
 13   1      -7.74       0.52
 13   2     -10.10       2.46
 13   3      -4.11       1.37
 13   4     -14.71      -1.66
 13   5       2.33      -5.66
 13   6      -6.49       1.94
 13   7       4.39      -2.33
 13   8      -3.92      -2.88
 13   9      -2.17      -3.53
 13  10      -3.09       4.75
 13  11       7.10      -1.47
 13  12       3.82       2.35
 13  13      -4.13       0.39
 14   0      56.52       0.00
 14   1       0.51      -0.08
 14   2      18.55       2.78
 14   3       4.49       8.10
 14   4      -0.53       0.78
 14   5       1.37       0.71
 14   6       4.97      -1.49
 14   7      -5.86      -4.25
 14   8       7.29      -1.11
 14   9      -5.64      -6.18
 14  10      -1.23       0.79
 14  11       0.16      -5.70
 14  12       3.14       2.89
 14  13      -6.29      -7.50
 14  14      -1.51       4.51
 15   0     156.74       0.00
 15   1       2.07       1.64
 15   2      -3.17      -9.07
 15   3      -4.52      -5.93
 15   4      -5.95       3.63
 15   5      -5.97      -7.47
 15   6      -5.87      -1.89
 15   7      -6.77      14.16
 15   8      -2.65       2.59
 15   9       8.09      -2.38
 15  10       7.82       0.70
 15  11       0.23       0.70
 15  12       3.06      -1.56
 15  13       2.68      13.74
 15  14      -3.33       4.32
 15  15      -2.10       3.74
 16   0      58.77       0.00
 16   1      -1.83       3.53
 16   2      17.51       0.47
 16   3      -1.35      10.08
 16   4       5.53       7.09
 16   5      -1.30       0.19
 16   6       6.12       0.33
 16   7      -6.82     -10.13
 16   8      -2.48      -1.66
 16   9      -0.29       1.64
 16  10       0.36       1.06
 16  11       3.28      -0.77
