Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1729:180
Coefficients for 360 degrees 
  Beginning: CT1728:000  1982:11:25_14h:02m:21s. 
  Centered:  CT1729:180  1982:12:09_05h:20m:32s. 
  End time:  CT1729:005  1982:12:22_11h:33m:13s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       3.46       0.00
  1   0    -152.44       0.00
  1   1      32.81      43.66
  2   0     -17.21       0.00
  2   1      48.22     -39.88
  2   2     -97.17      62.26
  3   0    -199.10       0.00
  3   1     -13.05     -76.77
  3   2     -63.19     -74.71
  3   3     179.67     160.91
  4   0    -106.43       0.00
  4   1     -27.95      85.26
  4   2       8.88    -119.30
  4   3     -97.09     118.21
  4   4    -176.75     -96.72
  5   0      35.59       0.00
  5   1    -134.17     127.77
  5   2      23.35      28.38
  5   3     -25.61     -92.50
  5   4      46.97     -14.28
  5   5     -61.60      74.87
  6   0      12.05       0.00
  6   1     109.92      60.03
  6   2      45.56     201.18
  6   3      82.06     -24.67
  6   4     -15.88      32.45
  6   5     132.83     234.20
  6   6     147.79     301.88
  7   0     -51.74       0.00
  7   1      -1.69     148.57
  7   2     -19.06      70.30
  7   3     -82.66      64.00
  7   4     -17.31       2.04
  7   5    -156.87    -169.49
  7   6     -37.81    -281.25
  7   7       0.88     139.67
  8   0      -5.30       0.00
  8   1      88.93      89.15
  8   2       2.97     -73.66
  8   3     -55.14     -50.03
  8   4      81.10     -61.66
  8   5     -56.39    -296.41
  8   6     -19.09    -130.18
  8   7      93.53     -54.83
  8   8     150.10    -310.06
  9   0      -2.74       0.00
  9   1       7.41       9.72
  9   2      -1.68    -200.57
  9   3     102.69     -52.56
  9   4      64.16      16.26
  9   5     155.73     154.44
  9   6      78.64     315.19
  9   7      16.16    -131.86
  9   8      13.97      74.76
  9   9     -93.47     159.54
 10   0      45.37       0.00
 10   1      76.42     -43.16
 10   2       5.15     -31.23
 10   3      -4.64      41.76
 10   4     -68.71     115.06
 10   5      -0.22     286.37
 10   6     -95.36      42.76
 10   7    -115.50     -40.37
 10   8    -162.89      -7.57
 10   9     114.84    -290.14
 10  10     171.21      85.21
 11   0     238.57       0.00
 11   1    -112.95     120.09
 11   2     -20.88     127.17
 11   3    -152.22      23.46
 11   4     -72.44     -29.88
 11   5     -35.16     -45.36
 11   6     -68.86    -254.82
 11   7     -83.34       4.62
 11   8      -0.29     -86.16
 11   9      31.39      10.00
 11  10     176.52    -120.38
 11  11      14.03      33.70
