Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2061:180
Coefficients for 360 degrees 
  Beginning: CT2060:000  2007:09:10_23h:18m:39s. 
  Centered:  CT2061:180  2007:09:24_14h:36m:50s. 
  End time:  CT2061:005  2007:10:07_20h:49m:31s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -7.51       0.00
  1   0     -78.07       0.00
  1   1      -9.13      10.65
  2   0     -31.25       0.00
  2   1      17.41      -5.98
  2   2       7.34     -22.92
  3   0    -121.87       0.00
  3   1      -1.00      -1.99
  3   2       3.70       5.74
  3   3     -28.64      18.15
  4   0     -68.76       0.00
  4   1     -23.74       5.33
  4   2      -3.80      14.78
  4   3      17.67      -9.82
  4   4      16.37      -1.33
  5   0     -68.66       0.00
  5   1      10.26      -5.51
  5   2       0.69     -15.14
  5   3       5.32       1.32
  5   4     -16.92       1.42
  5   5     -27.34       3.16
  6   0       0.68       0.00
  6   1     -21.36     -10.06
  6   2      14.53      -8.03
  6   3     -19.65       5.53
  6   4       0.69      -5.87
  6   5      14.15      -2.04
  6   6      35.50     -12.41
  7   0      -4.29       0.00
  7   1     -16.68       0.95
  7   2      -1.32      12.21
  7   3      10.83      -0.36
  7   4      18.82      17.37
  7   5      11.14      -5.34
  7   6       0.44      20.11
  7   7     -12.04      25.94
  8   0      -2.32       0.00
  8   1     -14.84      12.12
  8   2       9.47       1.55
  8   3       3.50      17.73
  8   4     -12.21       4.22
  8   5     -12.81      -6.16
  8   6     -23.83     -10.49
  8   7      -3.84     -23.65
  8   8       4.51       2.37
  9   0      53.93       0.00
  9   1       2.93      -7.06
  9   2       9.71       4.32
  9   3     -10.27       1.98
  9   4       1.82       1.01
  9   5      -4.54       2.21
  9   6      17.10     -13.86
  9   7       2.21       4.74
  9   8       8.14       7.51
  9   9     -18.75       3.14
 10   0      34.29       0.00
