Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1690:180
Coefficients for 360 degrees 
  Beginning: CT1689:000  1979:12:27_20h:23m:45s. 
  Centered:  CT1690:180  1980:01:10_11h:41m:56s. 
  End time:  CT1690:005  1980:01:23_17h:54m:37s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -12.09       0.00
  1   0       1.21       0.00
  1   1      -3.99     -38.61
  2   0     -18.98       0.00
  2   1     -24.85     -38.71
  2   2      55.37     126.65
  3   0      62.16       0.00
  3   1       1.37     -53.14
  3   2      88.89       5.67
  3   3      37.91      -1.30
  4   0      65.47       0.00
  4   1      27.88      61.92
  4   2       4.20     -39.84
  4   3      55.97     -81.12
  4   4    -150.72     -29.84
  5   0     347.11       0.00
  5   1     -39.26     130.44
  5   2     -28.11     -37.74
  5   3      60.88     -31.37
  5   4     -74.88     -66.29
  5   5    -234.54    -108.87
  6   0      58.82       0.00
  6   1     -67.79     -23.95
  6   2     -45.25     -66.93
  6   3    -129.55      77.31
  6   4      50.42      99.48
  6   5    -135.68     -15.72
  6   6     150.00     148.68
  7   0    -228.90       0.00
  7   1    -172.98     113.49
  7   2    -124.13      56.30
  7   3     -47.17      41.19
  7   4      50.80     -69.40
  7   5     -63.35     -42.89
  7   6      32.20      41.44
  7   7     101.08     -89.01
  8   0     -73.48       0.00
  8   1      86.30      57.54
  8   2    -127.33      40.04
  8   3      86.63     -77.58
  8   4     101.04     -63.61
  8   5     -45.69      51.19
  8   6     106.81      47.19
  8   7     -82.11    -210.77
  8   8      79.39     432.89
  9   0     136.06       0.00
  9   1      42.05      79.92
  9   2      16.19    -192.70
  9   3     137.60     -98.36
  9   4     -73.61     189.17
  9   5      16.06      50.56
  9   6     192.87     -91.08
  9   7      -2.50     159.55
  9   8    -168.03      64.77
  9   9     113.66    -140.50
 10   0     -32.94       0.00
 10   1     -93.44     -88.91
 10   2     -12.45    -115.16
 10   3      89.32     -31.20
 10   4    -183.44     -22.65
 10   5     105.40    -142.07
 10   6     -67.00     -79.04
 10   7     133.42     127.62
 10   8      86.81     246.11
 10   9       5.63      14.46
 10  10    -330.44     209.41
 11   0    -249.06       0.00
 11   1     -32.57      14.83
 11   2    -104.08      84.20
 11   3     -12.83     -55.82
 11   4      74.21    -102.43
 11   5      89.06     -41.00
 11   6    -119.99      10.80
 11   7    -124.83     -80.46
 11   8      99.84     -25.10
 11   9      17.44    -101.78
 11  10     251.91      -5.46
 11  11      -0.79     -39.35
 12   0      95.33       0.00
