Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1832:180
Coefficients for 360 degrees 
  Beginning: CT1831:000  1990:08:04_22h:28m:55s. 
  Centered:  CT1832:180  1990:08:18_13h:47m:06s. 
  End time:  CT1832:005  1990:08:31_19h:59m:47s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -14.79       0.00
  1   0      28.09       0.00
  1   1     -19.27     -60.33
  2   0     107.20       0.00
  2   1     -73.07      31.55
  2   2     -22.40     -48.94
  3   0     -19.45       0.00
  3   1       0.91      18.06
  3   2    -109.50      40.62
  3   3     114.26     -55.30
  4   0      41.21       0.00
  4   1     143.48     -14.28
  4   2     -23.40     -21.07
  4   3     -96.77       5.31
  4   4     123.67     192.36
  5   0     -80.79       0.00
  5   1     -63.22      77.07
  5   2      76.78      70.10
  5   3      -2.47     -69.69
  5   4      76.52     -30.78
  5   5      25.94     -59.56
  6   0     -45.63       0.00
  6   1      97.89     -21.25
  6   2       2.64      68.51
  6   3      77.84     -16.43
  6   4      35.72    -126.28
  6   5      78.86     325.96
  6   6     179.14     274.93
  7   0      57.49       0.00
  7   1    -140.89      16.79
  7   2     -20.18     -60.07
  7   3     -73.50     -40.54
  7   4     -41.25       8.77
  7   5     -84.41      -0.37
  7   6     -35.96      87.09
  7   7     -18.53     228.57
  8   0      32.15       0.00
  8   1     -59.15     -31.53
  8   2      55.37     -18.14
  8   3     -59.92      12.91
  8   4      18.05     -18.92
  8   5     -16.94    -348.83
  8   6      -8.77     -37.81
  8   7     -13.60     153.02
  8   8      90.57    -134.71
  9   0     -85.35       0.00
  9   1     -60.60     102.24
  9   2      35.74     -31.07
  9   3      65.82     136.58
  9   4     -18.33       6.79
  9   5     -79.15      65.58
  9   6      84.85    -156.26
  9   7     -82.59      86.93
  9   8     305.85      96.34
  9   9     194.80     -32.03
 10   0     -73.43       0.00
 10   1     135.32      14.87
 10   2     -34.72      29.24
 10   3       7.53     -27.72
 10   4    -163.02     116.31
 10   5      17.58      61.99
 10   6    -117.01    -119.43
 10   7      96.45    -104.44
 10   8    -122.41    -142.19
 10   9     -58.12     354.82
 10  10     158.29      33.08
 11   0     125.75       0.00
