Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1988:180
Coefficients for 360 degrees 
  Beginning: CT1987:000  2002:03:29_21h:03m:19s. 
  Centered:  CT1988:180  2002:04:12_12h:21m:30s. 
  End time:  CT1988:005  2002:04:25_18h:34m:11s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       8.81       0.00
  1   0     -76.86       0.00
  1   1      52.67      -2.02
  2   0     -11.09       0.00
  2   1      -0.39      41.85
  2   2      24.42      58.48
  3   0    -102.01       0.00
  3   1     -62.91     -28.36
  3   2     123.38     131.90
  3   3     159.27    -145.30
  4   0      80.32       0.00
  4   1     129.02      19.88
  4   2     -33.39     -23.11
  4   3      84.79     -20.67
  4   4      66.49      -0.07
  5   0     -52.61       0.00
  5   1      62.41      48.91
  5   2     -72.84     -97.64
  5   3     -81.41      69.50
  5   4    -150.16     -86.58
  5   5    -196.32     117.38
  6   0       7.01       0.00
  6   1     -49.56    -127.51
  6   2     -24.24      30.18
  6   3     -60.78      99.82
  6   4     -24.27     -59.56
  6   5      19.84      49.61
  6   6    -131.48      31.96
  7   0     -54.80       0.00
  7   1     116.86     -88.09
  7   2      55.47      86.63
  7   3       9.71       3.10
  7   4     106.25      72.44
  7   5      66.83     -51.84
  7   6     -22.03    -223.47
  7   7     -68.71      38.87
  8   0     -29.66       0.00
  8   1      23.86      33.53
  8   2      21.69      92.44
  8   3      35.74    -148.99
  8   4      37.46      80.18
  8   5     -61.03     -34.62
  8   6      75.30    -139.78
  8   7    -182.14     213.51
  8   8     239.03    -109.57
  9   0      91.70       0.00
  9   1      31.74      58.05
  9   2     -65.38      56.35
  9   3     192.77      28.61
  9   4     -17.60     -99.85
  9   5      12.16      72.06
  9   6      -0.28     143.32
  9   7    -148.25      35.01
  9   8     -60.64     -66.02
  9   9    -162.94     -77.98
 10   0      25.46       0.00
 10   1     -16.21     -32.31
 10   2     -53.93     -32.55
 10   3      41.46     121.02
 10   4     -33.47     -28.07
 10   5     100.25       7.16
 10   6     -18.93     183.62
 10   7     131.89    -178.48
 10   8     -99.35     -14.44
 10   9    -158.71     -28.12
 10  10     -40.26     -24.75
 11   0      57.08       0.00
 11   1      86.98     -71.29
