Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1913:180
Coefficients for 360 degrees 
  Beginning: CT1912:000  1996:08:22_05h:35m:14s. 
  Centered:  CT1913:180  1996:09:04_20h:53m:26s. 
  End time:  CT1913:005  1996:09:18_03h:06m:07s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
 20   2       2.99       3.72
 20   3       5.02      31.52
 20   4      -4.48      25.43
 20   5      13.76     -19.31
 20   6       1.48     -12.95
 20   7       5.96      10.57
 20   8      12.30     -12.18
 20   9      11.86      -4.75
 20  10      -9.12      -6.76
 20  11      22.78     -12.49
 20  12       5.60       0.75
 20  13       6.66     -25.59
 20  14      16.24       7.04
 20  15      -3.11     -12.73
 20  16      26.46     -11.21
 20  17      17.59      18.64
 20  18      16.80     -23.82
 20  19      24.87      19.65
 20  20      -9.32      35.54
 21   0     -66.88       0.00
 21   1      -7.61     -21.87
 21   2       7.28      -0.45
 21   3       3.97      -5.27
 21   4      13.81     -13.10
 21   5      -4.13      17.98
 21   6       7.56      -7.15
 21   7     -12.96      -3.91
 21   8      -3.99      -0.85
 21   9     -12.79      -4.63
 21  10      18.71      -4.95
 21  11      -9.22       3.21
 21  12     -19.59     -10.39
 21  13      -1.73       6.88
 21  14     -20.50     -12.20
 21  15      -0.06     -11.08
 21  16      -7.20       9.44
 21  17     -17.19     -18.51
 21  18       3.24     -11.08
 21  19     -24.17     -12.51
 21  20      15.29     -41.77
 21  21       9.86       8.57
 22   0       6.01       0.00
 22   1      -2.98      11.71
 22   2      -7.89     -15.19
 22   3      -6.81      16.92
 22   4     -16.32      20.36
 22   5       1.95     -34.29
 22   6     -15.58      -8.92
 22   7     -10.31       1.35
 22   8      -5.22       9.67
 22   9      -4.87      -8.15
 22  10      -6.82      15.53
 22  11      -1.05       7.51
 22  12       1.52      12.67
 22  13      -9.19       6.96
 22  14       2.08       0.23
 22  15      -3.77      16.08
 22  16      -7.99       0.59
 22  17      13.90       5.44
 22  18     -21.16      20.18
 22  19      -1.15      -4.51
 22  20       5.05      23.84
 22  21     -37.79       9.85
 22  22       4.90     -25.04
 23   0     135.53       0.00
 23   1     -13.00     -19.38
 23   2      14.08      15.21
 23   3      -3.14      -0.40
 23   4      13.87      -7.78
 23   5      -3.76      41.24
 23   6      -3.17      -1.65
 23   7      -1.32      10.35
 23   8      -5.72      14.15
 23   9      18.21       9.52
 23  10      16.31       9.97
 23  11       7.72       2.88
