Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1712:180
Coefficients for 360 degrees 
  Beginning: CT1711:000  1981:08:18_21h:43m:59s. 
  Centered:  CT1712:180  1981:09:01_13h:02m:11s. 
  End time:  CT1712:005  1981:09:14_19h:14m:51s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      11.07       0.00
  1   0    -161.68       0.00
  1   1      13.91     -19.42
  2   0       8.67       0.00
  2   1     105.05       7.66
  2   2    -202.32     -35.78
  3   0     -79.19       0.00
  3   1      10.60       3.87
  3   2      36.08      -8.69
  3   3     230.62      -1.17
  4   0     148.82       0.00
  4   1    -122.78     -22.03
  4   2      86.65    -150.04
  4   3     -45.85     177.58
  4   4     332.99    -430.49
  5   0    -132.32       0.00
  5   1     -19.36      55.84
  5   2     -37.93     -66.99
  5   3     -53.53     145.48
  5   4     -97.94    -216.68
  5   5    -229.92     228.71
  6   0      17.06       0.00
  6   1     -43.59     -19.67
  6   2      12.86     261.28
  6   3       7.26     -60.40
  6   4    -192.79     264.13
  6   5     168.26     273.71
  6   6    -116.17     -66.77
  7   0     -59.55       0.00
  7   1     -18.66      48.77
  7   2     -14.73     111.26
  7   3     -74.50    -237.94
  7   4     159.57     124.76
  7   5    -206.98     -38.82
  7   6     137.93     419.64
  7   7      18.14     457.31
  8   0     -91.66       0.00
  8   1      54.70      63.32
  8   2     -85.58     -22.85
  8   3      58.94    -109.51
  8   4      92.30     -70.36
  8   5    -194.50    -272.17
  8   6     118.34      -4.88
  8   7    -500.12    -116.08
  8   8    -230.18     216.22
  9   0     199.81       0.00
  9   1     147.69     101.87
  9   2      81.24     -59.27
  9   3     110.00     167.39
  9   4    -111.46       9.65
  9   5     189.71    -130.30
  9   6    -135.67    -305.72
  9   7     100.88     -63.50
  9   8    -492.67     100.71
  9   9     190.36    -530.77
 10   0      78.01       0.00
 10   1     -67.47     -24.75
 10   2      69.76     -49.98
 10   3    -106.24      25.16
 10   4      11.65    -108.93
 10   5     181.87      82.71
 10   6     -89.75      69.93
 10   7     509.17     -22.08
 10   8     144.17     -82.51
 10   9    -648.30     284.24
 10  10      10.83    -533.87
 11   0     -17.04       0.00
 11   1    -156.94     -60.93
 11   2     -77.32    -122.55
 11   3    -132.32     -72.47
 11   4      27.33    -110.74
 11   5      -9.58     245.58
 11   6     164.04     208.22
 11   7     -13.50    -182.33
 11   8     137.34     -30.09
 11   9       8.94     311.49
 11  10     -31.40      -5.33
 11  11      30.38      51.59
 12   0    -168.24       0.00
 12   1     -21.25     -19.55
 12   2     -70.21     143.86
 12   3     -61.31      47.55
 12   4     -42.90      99.83
 12   5    -197.59      90.89
 12   6      19.38    -140.75
 12   7    -255.18      68.39
 12   8    -144.39     -18.94
