Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2213:180
Coefficients for 360 degrees 
  Beginning: CT2212:000  2019:01:16_19h:27m:34s. 
  Centered:  CT2213:180  2019:01:30_10h:45m:45s. 
  End time:  CT2213:005  2019:02:12_16h:58m:26s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -8.19       0.00
  1   0      99.40       0.00
  1   1       1.88     -10.14
  2   0      -6.91       0.00
  2   1       0.40      -7.23
  2   2     -13.51      -8.97
  3   0     148.35       0.00
  3   1      -8.83       7.30
  3   2      -5.02      11.72
  3   3      -5.16       6.45
  4   0     -23.30       0.00
  4   1      -9.82     -21.03
  4   2       1.40      -4.41
  4   3      -0.05      -3.75
  4   4     -12.90      -5.12
  5   0      88.61       0.00
  5   1     -15.55      -7.87
  5   2      -0.93       6.32
  5   3       0.01      -9.30
  5   4       1.72       4.62
  5   5     -17.60       6.86
  6   0     -26.21       0.00
  6   1     -33.88     -31.69
  6   2      -5.23      -6.17
  6   3       7.28       0.70
  6   4       8.70       5.04
  6   5       2.02       0.21
  6   6      17.71      21.41
  7   0       9.34       0.00
  7   1      -5.77       3.17
  7   2      -3.87      15.14
  7   3      -4.78     -12.13
  7   4      -3.90       6.43
  7   5      20.06      -7.36
  7   6      -3.85      -2.18
  7   7      10.38      -5.56
  8   0       4.38       0.00
  8   1     -16.73     -13.72
  8   2      -0.19     -15.73
  8   3       6.52      -2.67
  8   4     -10.93      -4.31
  8   5       0.39       5.26
  8   6      -4.55      -8.38
  8   7       6.15      -3.74
  8   8     -34.39      -8.07
  9   0     -56.55       0.00
  9   1      -3.23     -17.79
  9   2      -5.50      -4.67
  9   3     -14.76       0.92
  9   4       0.45      11.87
  9   5     -29.35       0.19
  9   6     -13.93       0.65
  9   7     -10.41      16.78
  9   8      -9.35      -5.85
  9   9       2.05      18.25
 10   0      20.55       0.00
 10   1     -12.05     -10.43
 10   2     -12.99       1.00
 10   3       2.86     -11.15
 10   4       4.58      23.80
 10   5      -4.77      -0.91
 10   6       7.04       1.58
 10   7      -3.20       2.25
 10   8      22.08       4.29
 10   9      -8.96       4.13
 10  10      23.55     -29.07
 11   0    -105.87       0.00
 11   1      -4.73       6.76
 11   2       6.06       3.88
 11   3       1.55      -3.45
 11   4       1.38       5.55
 11   5       2.98       1.82
 11   6       0.45      -0.24
 11   7      -2.89      -9.74
 11   8       5.86      -1.59
 11   9      -3.39     -18.16
 11  10       6.26      -8.82
 11  11     -24.11      -2.21
 12   0      25.43       0.00
 12   1     -11.79     -11.81
 12   2      -1.58      -6.06
 12   3      19.09       3.38
 12   4       1.89      -9.11
 12   5      -1.45     -13.39
 12   6      -7.12      16.33
 12   7       3.32      -1.28
 12   8      -0.05       9.52
 12   9       1.85     -12.58
 12  10      -7.86      11.46
 12  11     -16.02      13.38
 12  12       6.91      24.50
 13   0    -165.17       0.00
 13   1      -4.92      -4.56
 13   2      -1.24       7.29
 13   3     -23.24     -12.84
 13   4      -3.80       7.07
 13   5     -33.19       5.55
 13   6      -6.10      -2.95
 13   7       4.32      15.40
 13   8      -8.08       7.64
 13   9      16.62      -2.34
 13  10      -7.70      10.97
 13  11       2.99       6.92
 13  12       6.28       6.46
 13  13       6.91      -3.65
 14   0      28.48       0.00
 14   1       2.23      -8.00
 14   2      -5.20     -12.55
 14   3       5.69     -11.04
 14   4       5.98       8.89
 14   5     -16.22      -5.00
 14   6       7.55       8.95
 14   7      -4.57      10.84
 14   8       3.30     -10.63
 14   9       0.17       8.98
 14  10      -4.21      -2.17
 14  11       4.51       0.32
 14  12      -4.99      -5.95
 14  13      -0.35      -0.81
 14  14     -11.98     -16.47
 15   0    -180.65       0.00
 15   1       1.77       2.21
 15   2      -5.29       4.50
 15   3      -6.57      -3.77
 15   4      -0.47      23.41
 15   5      -9.09       2.30
 15   6       3.31       9.06
 15   7       6.86      -0.02
 15   8       0.47      -6.75
 15   9      -1.11     -11.02
 15  10       4.05     -10.23
 15  11      -3.74      -9.72
 15  12      -7.73     -19.51
 15  13      -9.70      -5.55
 15  14       5.72      -4.06
 15  15     -10.30       9.28
 16   0      28.24       0.00
 16   1       5.04      15.29
 16   2      -3.41      -7.03
 16   3      18.72      -3.50
 16   4       4.01      -0.76
 16   5       3.26     -10.89
 16   6      -3.25       4.96
 16   7      10.01     -12.32
 16   8      10.04       4.84
 16   9       0.45      -5.22
 16  10       1.44      -2.96
 16  11      -9.28      -6.58
 16  12      -1.44       6.56
 16  13       2.57       1.20
 16  14       6.27      10.62
 16  15      -0.65     -12.75
 16  16      16.69      13.41
 17   0    -197.97       0.00
 17   1       6.06       2.54
 17   2       2.00       3.52
 17   3      -9.48      -6.75
 17   4       2.47       6.75
 17   5     -16.18       4.75
 17   6      -1.80       5.20
 17   7       3.49       4.68
 17   8      -1.92       0.21
 17   9       2.14      -3.99
 17  10      -7.34       0.67
 17  11       1.00      -2.90
 17  12      -5.96       8.99
 17  13      12.30       7.90
 17  14      -0.23      14.48
 17  15       7.19      -7.15
 17  16       0.89      13.59
 17  17       6.66     -12.84
 18   0      27.92       0.00
 18   1      22.65      17.92
 18   2      -3.14      -1.19
 18   3       8.10     -10.05
 18   4       6.73      -0.20
 18   5     -15.26      -7.63
 18   6      -1.71       2.40
 18   7      -0.48      15.32
 18   8       5.20      -2.54
 18   9       5.66       5.92
 18  10      -2.14       2.12
 18  11      -2.35       3.89
 18  12       1.14      -1.46
 18  13       1.35       7.56
 18  14      -4.88      -1.86
 18  15       4.88       4.66
 18  16     -10.60      -7.02
 18  17      13.41     -10.41
 18  18     -31.18       0.05
 19   0    -139.23       0.00
 19   1       9.09       5.00
 19   2      -0.41       0.68
 19   3     -17.15     -10.55
 19   4       1.59      19.28
 19   5     -23.49       6.76
 19   6       5.67      10.40
 19   7       4.34       2.18
 19   8       3.52      -8.01
 19   9      -0.17      -4.96
 19  10       9.11      -1.31
 19  11      -1.94      -2.61
 19  12       2.56      -6.72
 19  13      -1.29      -4.00
 19  14       2.40      -6.75
 19  15      -5.07       5.21
 19  16     -10.80     -12.31
 19  17      -2.96       9.84
 19  18     -27.62      -8.23
 19  19       4.25       8.60
 20   0      17.46       0.00
 20   1      25.68      30.58
 20   2      -2.04       0.17
 20   3      16.88      -1.95
 20   4       8.12       6.78
 20   5      -3.89     -14.39
 20   6       2.83       4.71
 20   7       9.00      -3.11
 20   8       2.69      -4.07
 20   9       0.89      -6.24
 20  10      -0.90       1.61
 20  11      -6.42      -3.38
 20  12      -0.74       3.79
 20  13     -11.38      -6.38
 20  14      -1.73       4.75
 20  15     -10.86       0.49
 20  16       9.40      -2.88
 20  17      -9.85       7.53
 20  18       7.73       3.32
 20  19       0.54       9.70
