Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2113:180
Coefficients for 360 degrees 
  Beginning: CT2112:000  2011:07:30_06h:50m:07s. 
  Centered:  CT2113:180  2011:08:12_22h:08m:18s. 
  End time:  CT2113:005  2011:08:26_04h:20m:59s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       5.82       0.00
  1   0     -35.44       0.00
  1   1      17.32     -37.64
  2   0      16.92       0.00
  2   1       8.08       9.28
  2   2     -18.15     -24.02
  3   0     -94.45       0.00
  3   1     -23.98      33.83
  3   2     -42.30     -67.75
  3   3      -6.36     -13.78
  4   0       2.89       0.00
  4   1     -31.43       9.53
  4   2      21.43      15.62
  4   3      28.21     -16.71
  4   4     -73.37      23.01
  5   0     -62.85       0.00
  5   1      39.37      59.12
  5   2      12.10      79.21
  5   3     -22.33       9.41
  5   4    -109.69      -3.65
  5   5      28.26     -71.89
  6   0      18.20       0.00
  6   1      63.50     -62.32
  6   2     -16.89      29.15
  6   3     -16.38      10.75
  6   4      -4.15       9.59
  6   5     -76.92      -2.00
  6   6    -103.08     -21.97
  7   0      24.52       0.00
  7   1      18.20     -18.19
  7   2      27.87     -17.95
  7   3       2.72      19.27
  7   4      34.54     -28.70
  7   5      71.27     -40.06
  7   6     -12.25    -157.18
  7   7      60.29     -16.86
  8   0     -32.97       0.00
  8   1     -31.84      17.76
  8   2       2.26     -37.86
  8   3     -12.88       6.96
  8   4      32.01     -35.40
  8   5      59.38      -8.28
  8   6     -51.51      87.26
  8   7      89.80     -93.23
  8   8       6.96      47.48
  9   0      -5.02       0.00
  9   1     -19.96      35.26
  9   2       9.43      -5.80
  9   3       6.22     -10.40
  9   4      11.73      30.76
  9   5     -57.15      70.11
  9   6      52.80      58.29
  9   7       4.72     -29.45
  9   8      53.20      18.91
  9   9     -35.20     109.30
 10   0      11.81       0.00
 10   1      37.65     -42.67
 10   2      -2.60       7.00
 10   3      -5.21      18.86
 10   4     -43.50      29.37
 10   5     -33.28     -14.95
 10   6      57.82      10.98
 10   7     -33.93      49.85
 10   8      -5.20      51.81
 10   9     137.91      80.63
 10  10     -34.86       5.33
 11   0      78.54       0.00
 11   1      75.76      -5.73
 11   2      11.21      13.46
 11   3      64.97       0.38
 11   4     -18.31     -25.02
 11   5     -16.57     -40.53
 11   6     -37.82      26.52
 11   7     -56.38      54.07
 11   8      -5.67     -26.94
 11   9     -59.15      72.26
 11  10     -66.56      70.65
 11  11     -99.08     -73.45
 12   0     -14.42       0.00
 12   1      14.17     -25.60
 12   2     -19.43     -21.71
 12   3     -10.51      14.76
 12   4      25.63      18.68
 12   5      -3.38      12.56
 12   6      -0.22     -87.37
 12   7     -30.32      13.99
 12   8       0.92     -37.66
 12   9     -15.76     -20.42
 12  10     -54.91     -75.90
 12  11    -154.38     -77.22
 12  12     -45.27    -114.84
 13   0      85.81       0.00
 13   1     -48.99      17.20
 13   2      24.89     -13.65
 13   3     -28.40     -12.97
 13   4      29.13     -38.36
 13   5      46.86      33.96
 13   6      -5.23     -33.02
 13   7      75.00     -18.14
 13   8     -24.57       6.29
 13   9      14.91     -77.23
 13  10      -8.51     -10.38
 13  11     -35.08     -49.72
 13  12    -162.35    -169.62
 13  13     -78.29     -55.14
 14   0      -7.70       0.00
 14   1     -38.37      47.19
 14   2       1.25      -3.59
 14   3     -36.14     -13.93
 14   4     -17.97      -5.18
 14   5      14.66      41.64
 14   6     -35.23      93.53
 14   7      33.61     -40.11
 14   8       7.23      -3.31
 14   9     -25.63     -20.68
 14  10      45.97      -2.39
 14  11      25.21      -6.10
 14  12     -26.80    -109.35
 14  13    -226.21    -139.12
 14  14      15.40      82.34
 15   0      99.18       0.00
 15   1       5.91       1.55
 15   2       2.00      19.51
 15   3      34.09      -5.12
 15   4      -0.01      17.78
 15   5     -13.12     -16.94
 15   6      13.71      43.09
 15   7     -41.69      10.57
 15   8       9.95      24.22
 15   9      27.12      26.70
 15  10      32.59     -15.67
 15  11      82.72      95.69
 15  12      14.94      46.58
 15  13     -45.26     -48.54
 15  14      13.94     104.87
 15  15      -1.36      68.97
 16   0     -24.36       0.00
 16   1      30.77     -31.32
 16   2      -3.97      -7.51
 16   3      -1.66      34.43
 16   4      -7.02       9.68
 16   5     -21.76     -30.32
 16   6      -3.14      -8.78
 16   7     -26.88      46.43
 16   8      -3.03      17.45
 16   9      27.37      20.02
 16  10     -31.00      35.38
 16  11      30.64      41.81
 16  12      62.21     117.61
