Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1982:180
Coefficients for 360 degrees 
  Beginning: CT1981:000  2001:10:17_05h:25m:04s. 
  Centered:  CT1982:180  2001:10:30_20h:43m:16s. 
  End time:  CT1982:005  2001:11:13_02h:55m:57s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      17.34       0.00
  1   0     -79.72       0.00
  1   1      36.75       1.14
  2   0      -0.81       0.00
  2   1     -70.39     -32.11
  2   2      50.94      71.90
  3   0     -72.14       0.00
  3   1      55.03      52.73
  3   2     -81.43     -85.87
  3   3     -16.27     184.31
  4   0     -15.83       0.00
  4   1      24.92      47.76
  4   2     -13.39      16.15
  4   3     108.02     -41.19
  4   4      93.42     -51.54
  5   0     -50.43       0.00
  5   1       1.04    -144.59
  5   2      18.31      48.97
  5   3      74.45     -16.61
  5   4    -234.71     -77.93
  5   5       8.58      -2.24
  6   0      -9.73       0.00
  6   1     -86.80     172.01
  6   2     -66.88    -121.96
  6   3       3.91       9.31
  6   4    -120.67     -19.74
  6   5    -230.86     223.07
  6   6     -33.76     150.77
  7   0      -6.23       0.00
  7   1    -101.82     -53.50
  7   2     122.13     124.92
  7   3    -123.38     -58.51
  7   4     167.35      64.38
  7   5      34.34     -63.99
  7   6     116.79       9.81
  7   7    -121.67     295.87
  8   0     -37.22       0.00
  8   1     -25.85       3.30
  8   2    -116.31      49.75
  8   3     -89.81      -3.10
  8   4     -19.69      35.86
  8   5     321.32     -70.54
  8   6      -8.22     -52.78
  8   7     -98.24    -222.81
  8   8       5.71     536.68
  9   0      54.91       0.00
  9   1     -15.40     -22.94
  9   2       0.26      53.48
  9   3     147.17     112.32
  9   4      12.58      20.57
  9   5     -96.34      69.60
  9   6    -112.47     -27.41
  9   7      26.53     193.42
  9   8     310.05    -306.34
  9   9     -95.71      39.39
 10   0      76.92       0.00
