Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2200:180
Coefficients for 360 degrees 
  Beginning: CT2199:000  2018:01:27_05h:34m:42s. 
  Centered:  CT2200:180  2018:02:09_20h:52m:53s. 
  End time:  CT2200:005  2018:02:23_03h:05m:34s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -13.65       0.00
  1   0      97.24       0.00
  1   1      -1.48     -11.30
  2   0     -38.53       0.00
  2   1       8.73     -18.12
  2   2      -3.89      11.24
  3   0     143.46       0.00
  3   1     -11.52      11.04
  3   2       2.17      23.33
  3   3     -11.33     -18.04
  4   0     -86.70       0.00
  4   1     -16.27      26.06
  4   2       2.95     -29.50
  4   3     -17.78      17.52
  4   4     -26.86      16.03
  5   0      76.75       0.00
  5   1      17.10      18.34
  5   2      -1.93     -16.84
  5   3      26.65      17.03
  5   4       1.23     -18.23
  5   5     -16.14       2.53
  6   0     -14.23       0.00
  6   1     -18.93      27.73
  6   2     -20.08      13.25
  6   3      28.03     -18.13
  6   4       3.31      -4.70
  6   5      13.02      26.78
  6   6      32.05       2.72
  7   0      10.05       0.00
  7   1       3.03      18.46
  7   2      -3.20      -9.77
  7   3      -3.85     -28.06
  7   4      -3.49       8.60
  7   5      14.85     -24.22
  7   6      -2.04     -16.88
  7   7     -27.07      17.32
  8   0       2.23       0.00
  8   1       3.31      12.61
  8   2      21.50     -26.85
  8   3       4.46     -11.26
  8   4       7.22      -7.68
  8   5      -9.26     -24.17
  8   6       4.85       0.42
  8   7      12.03     -11.04
  8   8       5.27     -25.07
  9   0     -49.33       0.00
  9   1       2.76       2.12
  9   2       9.98      -2.81
  9   3       1.09       3.76
  9   4      -8.28       3.81
  9   5     -36.34      21.79
  9   6      -4.79      -1.40
  9   7       5.72     -13.78
  9   8      -9.93      20.32
  9   9       8.69      42.37
 10   0      42.96       0.00
 10   1     -18.81      21.31
 10   2      -3.45     -21.69
 10   3       9.12     -21.31
 10   4     -15.58       3.43
 10   5      -6.01      11.92
 10   6       4.31     -16.74
 10   7     -10.12      20.23
 10   8      -6.83      15.92
 10   9       8.12     -13.77
 10  10      -5.64     -41.25
 11   0    -104.86       0.00
 11   1       3.20      15.08
 11   2      -8.04      -1.20
 11   3      10.64      -4.45
 11   4      11.69       4.75
 11   5      25.51      -4.21
 11   6      -6.38      15.35
 11   7     -10.75      13.19
 11   8      22.00     -20.93
 11   9       6.37     -31.94
 11  10      19.43      17.52
 11  11      25.75      55.06
 12   0      60.14       0.00
 12   1       2.03       3.33
 12   2      -6.07     -19.07
 12   3      19.24      -7.70
 12   4       4.22      -2.35
 12   5      -1.43     -10.05
 12   6       2.58      10.73
 12   7      22.14     -14.72
 12   8     -10.16      -7.81
 12   9     -17.19      19.17
 12  10       1.98      19.98
 12  11     -11.06     -30.27
 12  12     -27.89     -41.74
 13   0    -151.48       0.00
 13   1       1.26       0.44
 13   2      10.36       3.46
 13   3      -3.88     -20.46
 13   4     -20.94       1.35
 13   5     -11.47     -11.89
 13   6      17.69      -8.57
 13   7       3.18     -13.97
 13   8     -13.56      20.10
 13   9     -15.84      10.40
 13  10       1.56     -31.04
 13  11      -3.39     -37.43
 13  12      15.27      21.55
 13  13      44.41      23.08
 14   0      82.15       0.00
 14   1      -3.90       6.00
 14   2       5.66     -19.14
 14   3       5.88     -23.46
 14   4       1.76      -4.84
 14   5       3.41     -10.93
 14   6       6.85      -5.92
 14   7      -5.22       5.16
 14   8       5.45       4.43
 14   9       0.23     -11.53
 14  10     -12.32      -8.38
 14  11      16.86      37.51
 14  12       6.86      11.24
 14  13     -19.62     -19.12
 14  14     -48.10      -7.68
 15   0    -182.92       0.00
 15   1       0.26      -1.25
 15   2      -5.99     -17.16
 15   3       8.57      -4.58
 15   4      10.64      17.17
 15   5       8.03       2.34
 15   6     -11.92      20.91
 15   7       2.14      10.94
 15   8      13.44     -13.71
 15   9       9.17      -5.59
 15  10      -1.77      38.87
 15  11       0.85      13.22
 15  12     -16.29     -26.68
 15  13     -20.07     -23.15
 15  14      29.90       8.10
 15  15      46.47      -2.42
 16   0      84.87       0.00
 16   1       6.30     -12.13
 16   2       5.14     -11.65
 16   3      23.65     -12.60
 16   4      -2.82      -4.95
 16   5     -12.69       8.07
 16   6       3.54       0.98
 16   7      14.65     -11.81
 16   8      -0.87       0.92
 16   9      -3.29      15.82
 16  10       3.56       2.35
 16  11     -11.61     -31.21
 16  12      -4.09      -7.15
 16  13      18.59       8.24
 16  14      23.89      -4.82
 16  15     -35.80       8.37
 16  16     -41.65      19.05
 17   0    -179.70       0.00
 17   1      -4.84      -8.03
 17   2       6.31       5.20
 17   3       1.89      -8.96
 17   4     -17.97       1.14
 17   5       4.77      -6.88
 17   6      20.26      -9.90
 17   7       1.91      -0.57
 17   8     -19.04       9.24
 17   9      -4.62       0.64
 17  10       0.96     -26.66
 17  11      -0.78      -4.71
 17  12      16.52      30.59
 17  13       2.06       8.88
 17  14     -28.51      -6.87
 17  15     -14.76      -3.35
 17  16      29.99     -17.60
 17  17      38.93     -46.74
 18   0      74.09       0.00
 18   1       7.75     -18.62
 18   2      -6.89     -11.03
 18   3       8.03     -27.43
 18   4       4.32      -2.17
 18   5      -0.56     -11.74
 18   6      -2.44       7.77
 18   7      -3.46       2.23
 18   8       5.28      -2.24
 18   9       0.08     -13.49
 18  10       3.13       3.63
 18  11       0.80      21.68
 18  12       3.45      -2.12
 18  13     -16.10      -8.47
 18  14      -2.87      -7.49
 18  15      25.56      -3.52
 18  16       3.59      -5.70
 18  17     -18.20      37.08
 18  18     -19.43      53.35
