Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1967:180
Coefficients for 360 degrees 
  Beginning: CT1966:000  2000:09:03_02h:19m:28s. 
  Centered:  CT1967:180  2000:09:16_17h:37m:39s. 
  End time:  CT1967:005  2000:09:29_23h:50m:20s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      41.28       0.00
  1   0     -30.21       0.00
  1   1      39.63       7.58
  2   0       2.60       0.00
  2   1      21.98     -46.78
  2   2     -35.36     -44.91
  3   0     -13.44       0.00
  3   1       6.78     -21.68
  3   2     -30.81     -24.61
  3   3     255.09     -63.57
  4   0      50.87       0.00
  4   1     -26.38      59.99
  4   2     -40.71      12.48
  4   3      38.02     179.98
  4   4      69.52     187.42
  5   0     155.49       0.00
  5   1    -122.43     -51.46
  5   2      33.14      11.61
  5   3    -118.20     122.95
  5   4     102.79       8.61
  5   5     130.67     166.47
  6   0      12.29       0.00
  6   1      41.48     -54.05
  6   2      44.03      78.19
  6   3     -53.09     -71.72
  6   4      -7.43     -49.40
  6   5     -92.47     -53.01
  6   6      67.72    -174.95
  7   0       1.44       0.00
  7   1     -30.03     -72.97
  7   2      30.22     -27.88
  7   3      -1.94      -2.63
  7   4    -111.88      38.37
  7   5     -58.62       9.63
  7   6    -147.87     -22.11
  7   7      38.09    -112.22
  8   0     -13.89       0.00
  8   1      48.53      83.35
  8   2       5.92     -61.96
  8   3     146.33     -17.17
  8   4      -6.83     -39.57
  8   5     -56.47     -52.96
  8   6     -50.28      60.45
  8   7     232.66    -227.38
  8   8     223.55     -19.21
  9   0    -107.88       0.00
  9   1      63.54      -7.02
  9   2     -43.24      39.65
  9   3      48.78     -76.50
  9   4     110.23     -99.76
  9   5      42.00      -4.88
  9   6     194.19      27.64
  9   7      29.05      80.07
  9   8     171.51     -18.59
  9   9     286.05     -76.39
 10   0       1.11       0.00
 10   1      -6.47     -51.13
 10   2      19.40      14.46
 10   3     -71.80      31.94
 10   4      31.44     105.18
 10   5     101.97     102.75
 10   6     -16.34      31.10
 10   7     -11.09     148.23
 10   8     -27.92     -23.63
 10   9     -20.05     265.85
 10  10    -123.86     241.97
 11   0      45.88       0.00
 11   1    -169.48     -78.23
 11   2      25.71       5.14
 11   3    -204.24      34.49
 11   4    -131.90     -19.52
 11   5     -29.66     -33.36
 11   6     -67.16      20.93
 11   7    -100.28     -55.81
 11   8     -81.02      55.59
 11   9      53.70     -11.96
 11  10      82.53      30.37
 11  11     -69.09     -60.70
 12   0     -68.59       0.00
 12   1      -6.11     -13.72
 12   2      -8.37      54.18
 12   3      79.10     -45.29
 12   4      66.36    -102.45
 12   5     -28.56    -100.60
 12   6      56.41     -90.53
 12   7      -3.57    -116.41
 12   8     -55.63      -4.95
 12   9      30.75    -141.72
 12  10      16.52     -47.51
 12  11     110.84     -58.47
 12  12     -42.34    -217.38
 13   0     -22.07       0.00
 13   1      93.64      11.13
 13   2      -0.95      -6.37
 13   3      76.95      -7.88
 13   4     -45.70      12.43
 13   5     -55.39     -15.36
 13   6      -3.15     -34.16
 13   7      76.91     100.02
 13   8      19.87     -48.16
 13   9     -57.76      -0.10
 13  10     -49.10      28.29
 13  11      74.84     -86.57
 13  12    -221.69      20.75
 13  13       6.37     100.34
 14   0     -54.34       0.00
 14   1      43.97      71.65
 14   2      21.82      -4.45
 14   3      -7.12      54.08
 14   4      12.56     111.48
 14   5      68.64      48.94
 14   6     -57.66     143.91
 14   7     -11.14      13.36
 14   8     113.45      58.55
 14   9      31.07      24.81
 14  10      -4.09    -140.13
 14  11     -15.74      89.66
 14  12      93.53      19.43
 14  13     225.56    -171.26
 14  14      -8.60     -91.64
 15   0     -88.70       0.00
 15   1     -13.73      16.68
 15   2      -3.15      24.89
 15   3    -110.38       5.20
 15   4      12.24    -115.03
 15   5     -41.73     -31.28
 15   6     -20.01     -97.48
 15   7     -15.57     -32.61
 15   8     -65.03      37.92
 15   9      18.55      -9.10
 15  10     -40.98     -12.35
 15  11      64.80      -8.77
 15  12      59.28      22.21
 15  13     -42.48     176.65
 15  14     251.61     -24.92
 15  15     159.69     152.27
 16   0     -40.62       0.00
 16   1     -41.45     -66.59
 16   2      19.33     -16.73
 16   3      56.05     -46.69
 16   4      69.28     -16.37
 16   5      32.94       0.06
 16   6      35.57       3.05
 16   7     -15.02      13.40
 16   8     -79.61     -13.60
 16   9     -35.65      40.63
 16  10     -21.73     208.71
 16  11     -55.99     -64.14
 16  12      51.98     -12.94
 16  13    -155.72     149.11
 16  14    -101.61     -84.86
 16  15     -45.51      98.26
 16  16    -103.07      74.49
 17   0     -24.51       0.00
 17   1     -17.21      18.49
 17   2      -0.25      -2.48
 17   3     -76.83     -13.74
 17   4     -95.28      43.23
 17   5     -16.74     -26.81
 17   6     -32.43      34.46
 17   7      56.64      23.13
 17   8     101.18     -90.08
 17   9     -27.23       3.72
 17  10      92.97     -79.81
 17  11     -12.35      15.21
 17  12      -7.37     -77.96
 17  13      39.82     -85.65
 17  14     -35.74     -34.25
 17  15      47.15      10.07
 17  16       4.53    -178.77
 17  17    -159.04    -201.14
 18   0     -89.22       0.00
 18   1     -22.91      17.89
 18   2     -17.73      40.43
 18   3     -13.98      18.37
 18   4      46.71      37.32
 18   5      48.15       3.59
 18   6      20.73      37.13
