Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1807:180
Coefficients for 360 degrees 
  Beginning: CT1806:000  1988:09:22_01h:19m:33s. 
  Centered:  CT1807:180  1988:10:05_16h:37m:45s. 
  End time:  CT1807:005  1988:10:18_22h:50m:25s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0     -19.30       0.00
  1   0     -77.89       0.00
  1   1     -53.19       6.83
  2   0     -34.95       0.00
  2   1     -80.44       0.13
  2   2      -8.16      -3.82
  3   0    -135.78       0.00
  3   1     -34.93      27.08
  3   2     -43.14      65.62
  3   3      23.59      47.86
  4   0    -148.75       0.00
  4   1      -6.14     -41.26
  4   2     -34.70      47.40
  4   3     224.52     -35.81
  4   4     167.93     -62.64
  5   0    -205.98       0.00
  5   1      52.22      -5.25
  5   2      38.07      -2.42
  5   3      84.57     126.00
  5   4      12.31     -65.00
  5   5      89.06      46.15
  6   0     -69.65       0.00
  6   1     132.86      43.26
  6   2      75.92      17.55
  6   3     -96.86      57.84
  6   4      64.81     -56.55
  6   5     -17.72    -182.59
  6   6     100.89    -172.10
  7   0      93.01       0.00
  7   1      25.27       5.91
  7   2     -19.82     -38.48
  7   3     -84.99    -109.08
  7   4      49.08      -5.31
  7   5      63.96      78.48
  7   6     165.61     104.17
  7   7      99.14     115.67
  8   0      87.57       0.00
  8   1      10.94     -40.34
  8   2      15.94     -72.55
  8   3      -7.03    -110.38
  8   4    -153.34       9.08
  8   5    -171.03     121.73
  8   6       0.27    -135.65
  8   7     -98.60     -38.03
  8   8    -147.73     -55.03
  9   0      23.55       0.00
  9   1     -19.38      27.16
  9   2    -108.70      94.42
  9   3       8.47     -67.14
  9   4    -160.22     -50.86
  9   5     -35.16      -3.88
  9   6     -95.92      15.10
  9   7     121.08      79.41
  9   8    -115.10     272.46
  9   9      36.43     -99.79
 10   0       6.35       0.00
 10   1     -26.83      -0.49
 10   2     -24.83     -23.55
 10   3     -56.82      56.02
 10   4      86.05      34.29
 10   5     113.42     135.10
 10   6      40.23     101.71
 10   7      46.94     151.22
 10   8    -152.26     -47.08
 10   9      66.81    -243.89
 10  10     103.55      49.17
 11   0      78.94       0.00
 11   1      -5.71     -30.34
 11   2      10.61     -17.79
 11   3      92.49      43.14
 11   4     115.65      42.17
 11   5      38.88     -22.75
 11   6     -69.11     -53.43
 11   7      33.32    -176.85
 11   8     -86.36      -7.89
 11   9    -250.01    -195.67
 11  10     -29.98      11.72
 11  11       7.58     -91.82
 12   0     103.16       0.00
 12   1      48.07      25.44
 12   2     120.09      14.76
 12   3     -90.44      51.59
 12   4      44.24      96.40
 12   5      22.18    -163.85
 12   6      50.26     -48.44
 12   7      46.84     -63.82
 12   8      74.35     -17.67
 12   9     104.36    -146.38
 12  10     210.21      57.71
 12  11    -280.00     474.88
 12  12     -38.90     152.34
 13   0     228.62       0.00
 13   1      35.54      36.74
 13   2       9.20      -5.22
 13   3     -76.91     -69.13
 13   4      34.80      -7.71
 13   5     -84.87      22.64
 13   6      61.62      -5.38
 13   7      -2.10     -68.66
 13   8      37.81     132.80
 13   9    -162.31     -59.62
 13  10     -64.46     233.96
 13  11    -221.30    -146.95
 13  12      70.07    -203.51
 13  13      21.78    -131.42
 14   0     122.00       0.00
 14   1      18.65     -50.53
 14   2     -19.91     -37.61
 14   3     -29.08     -56.69
 14   4     -23.83     -29.89
 14   5     -31.81     -81.82
 14   6    -136.32      27.30
 14   7     -57.56     -32.04
 14   8     -19.78     -15.40
 14   9      -5.46     170.16
 14  10     -39.59     -51.88
 14  11      -9.12     270.70
 14  12     -72.61     163.78
 14  13      84.37      11.24
 14  14      63.93      38.84
 15   0     147.14       0.00
 15   1      -8.06     -24.16
