Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2080:180
Coefficients for 360 degrees 
  Beginning: CT2079:000  2009:02:10_04h:49m:46s. 
  Centered:  CT2080:180  2009:02:23_20h:07m:57s. 
  End time:  CT2080:005  2009:03:09_02h:20m:38s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       9.96       0.00
  1   0     -70.22       0.00
  1   1      -6.90      -1.04
  2   0      55.24       0.00
  2   1       8.81      -4.72
  2   2      -0.03       7.10
  3   0    -112.29       0.00
  3   1       5.28       8.81
  3   2       8.46      -2.58
  3   3      -7.70       4.22
  4   0      58.70       0.00
  4   1       9.51      10.79
  4   2      14.08     -12.42
  4   3       6.35      -9.95
  4   4       1.33      -5.49
  5   0     -65.36       0.00
  5   1      -1.45      12.81
  5   2       5.13      10.84
  5   3      -9.80       1.42
  5   4      -3.43       4.79
  5   5      -7.90       5.72
  6   0      24.49       0.00
  6   1      12.21       7.95
  6   2       3.45      -2.24
  6   3      -6.65       2.92
  6   4      -0.73      -8.50
  6   5       3.84      -1.13
  6   6      -2.02       2.17
  7   0      -7.52       0.00
  7   1      -4.22      24.03
  7   2       3.20       1.89
  7   3       5.38       1.19
  7   4      -2.84       3.67
  7   5      -4.31      -8.26
  7   6       2.64      11.46
  7   7       7.75       8.48
  8   0      -5.02       0.00
  8   1      10.09      -6.72
  8   2      10.94       8.15
  8   3       8.12       7.19
  8   4      -5.46      -7.44
  8   5      -3.82       1.42
  8   6      -1.50      -8.59
  8   7      -4.73      -2.83
  8   8       4.01      -8.78
  9   0      42.35       0.00
  9   1       0.53      16.71
  9   2       1.44       9.45
  9   3      17.27       6.87
  9   4     -17.56       4.37
  9   5       0.12       8.58
  9   6       8.38      14.57
  9   7      -1.58      -4.77
  9   8      -3.56       7.24
  9   9       2.28      -3.61
 10   0     -38.10       0.00
 10   1       8.32       0.64
 10   2      -0.03      -4.70
 10   3       8.22       0.69
 10   4     -17.76      -8.32
 10   5     -14.62      15.22
 10   6      -5.05       4.26
 10   7       4.74      -2.10
 10   8      -1.69       0.22
 10   9      -0.28      -3.91
 10  10      -9.63       6.24
 11   0      79.96       0.00
 11   1      -0.47      12.09
 11   2       5.57       7.75
 11   3      19.40       0.57
 11   4     -30.82      -2.20
 11   5      -6.20       2.55
 11   6      -7.39      11.37
 11   7      15.17      -4.90
 11   8      -1.97      -1.88
 11   9      -5.73       0.61
 11  10     -12.75       3.70
 11  11       0.96      10.05
 12   0     -61.93       0.00
 12   1       5.58       3.69
 12   2       6.99      -4.01
 12   3      -7.70       6.79
 12   4     -31.38      -7.77
 12   5      -2.43       7.66
 12   6       5.44       3.96
 12   7     -10.90      -2.41
 12   8       2.22      -0.53
 12   9       1.27       4.08
 12  10      -5.62       2.66
 12  11       1.99      -0.11
 12  12       7.17      -3.91
 13   0     117.42       0.00
 13   1       0.11      -2.06
 13   2      -0.98       1.56
 13   3      21.89       3.25
 13   4     -12.14       0.06
 13   5     -16.95      -1.65
 13   6       9.20       9.15
 13   7      10.43     -14.27
 13   8       4.47      -4.28
 13   9      -3.44      -5.26
 13  10       1.77      10.15
 13  11      -3.09      -3.12
 13  12       6.23       1.59
 13  13      -9.73      -1.84
 14   0     -74.44       0.00
 14   1       0.38       0.64
 14   2       4.37       3.61
 14   3      -2.07       2.81
 14   4     -22.80      -2.04
 14   5      -5.36       2.16
 14   6       2.28      -3.53
 14   7      -0.46      -6.26
 14   8       3.35       0.18
 14   9     -22.95      -1.97
 14  10      -0.15      -9.06
 14  11      10.59       9.05
 14  12      -4.50      -6.49
 14  13      -5.16      -1.50
 14  14      -1.63       3.85
 15   0     138.66       0.00
 15   1      -0.62      -0.57
 15   2      -0.11       5.63
 15   3      20.39       2.87
 15   4     -14.63      -5.94
 15   5     -11.87       8.76
 15   6       4.53       6.34
 15   7       0.99      -8.33
 15   8      -1.74      -6.29
 15   9      -4.89      -2.11
 15  10       2.83      -2.62
 15  11      -1.63      -0.60
 15  12      -1.16      -2.10
 15  13       9.14       2.59
 15  14       0.78       1.92
