Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1816:180
Coefficients for 360 degrees 
  Beginning: CT1815:000  1989:05:25_12h:46m:56s. 
  Centered:  CT1816:180  1989:06:08_04h:05m:07s. 
  End time:  CT1816:005  1989:06:21_10h:17m:48s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       6.40       0.00
  1   0     -27.77       0.00
  1   1     -50.89      70.35
  2   0     -23.75       0.00
  2   1     -18.44     215.25
  2   2       4.13      61.11
  3   0     -86.80       0.00
  3   1       3.37      36.83
  3   2     -22.07       2.97
  3   3     -59.41    -152.20
  4   0     -68.76       0.00
  4   1    -113.88     -32.19
  4   2     -31.36      65.18
  4   3     -92.12     109.82
  4   4      79.09     -56.54
  5   0    -359.64       0.00
  5   1     104.33    -141.39
  5   2     146.54    -236.47
  5   3     -17.52     -44.59
  5   4     -12.15     104.04
  5   5       1.80     -64.59
  6   0     -63.72       0.00
  6   1     105.95    -149.56
  6   2      17.76     -93.80
  6   3     -28.60     160.22
  6   4      76.52    -114.25
  6   5     464.32    -189.59
  6   6     -76.48     253.01
  7   0     170.01       0.00
  7   1       6.53     -17.02
  7   2    -193.77     289.04
  7   3     118.39     137.70
  7   4     128.16     -14.93
  7   5     -24.24     -41.35
  7   6     277.90     298.40
  7   7    -267.16     199.46
  8   0     -15.79       0.00
  8   1      -2.17       5.12
  8   2     169.01      16.18
  8   3     124.25     -56.56
  8   4    -150.93     163.56
  8   5     -20.27     232.95
  8   6    -167.06     133.82
  8   7    -148.53     362.66
  8   8     -88.06    -289.60
  9   0      20.31       0.00
  9   1      34.18    -117.70
  9   2     -15.19     181.73
  9   3     -91.19     -66.15
  9   4     -85.19    -101.74
  9   5     -74.10    -119.48
  9   6    -208.06    -128.82
  9   7    -236.35     191.91
  9   8    -136.24     152.45
  9   9     329.91     -82.08
 10   0     105.40       0.00
 10   1     -62.53     -73.61
 10   2     -27.50      15.06
 10   3     -25.50     -71.84
 10   4      -8.35    -141.96
 10   5    -169.36     -44.14
 10   6      18.34    -104.84
 10   7      95.45     134.00
 10   8       9.04    -253.16
 10   9    -298.72    -123.01
 10  10     289.12     -14.66
 11   0      47.11       0.00
 11   1      42.50     -26.67
 11   2     132.63      -1.44
 11   3     -29.76     -47.86
 11   4     -75.30      -9.70
 11   5      60.68     178.59
 11   6     -32.13      36.52
 11   7     236.02    -184.75
 11   8    -145.23      89.22
 11   9     375.22    -215.78
 11  10      12.58     164.69
 11  11      64.13     164.47
 12   0      22.01       0.00
 12   1      63.04     -12.16
 12   2      90.59     -38.16
 12   3     -17.78     -23.84
 12   4       3.53     -22.58
 12   5     105.16     -58.30
 12   6      58.36      88.14
 12   7     -26.38    -116.28
 12   8     101.69     246.34
 12   9    -183.18    -133.19
 12  10     378.49     172.81
 12  11    -305.12    -243.18
 12  12    -236.30    -118.09
 13   0     262.13       0.00
 13   1       1.29      24.03
 13   2    -169.21     244.85
 13   3     -37.13      -7.26
 13   4     207.98     109.20
 13   5      20.83       3.67
 13   6     190.87     -30.42
 13   7     -83.50      12.38
 13   8      50.47    -127.92
 13   9    -387.79      -4.04
 13  10     -47.63     -25.81
 13  11     -94.35     112.57
 13  12     183.41    -292.53
 13  13      89.28      49.46
 14   0      60.80       0.00
 14   1     -23.43      22.02
 14   2     124.75       7.56
 14   3      59.94     -89.89
 14   4     -64.05     138.93
 14   5     -39.91      75.76
 14   6      11.38     -47.81
 14   7      37.62      44.90
 14   8     -34.14     -32.14
 14   9     197.37     258.01
 14  10    -237.46     -80.01
 14  11     -78.48    -118.41
 14  12    -324.56    -140.15
 14  13     153.27     141.11
 14  14      43.19     -21.00
 15   0     144.71       0.00
 15   1       0.20     -35.88
 15   2     -13.08      98.84
 15   3     -25.77     -26.27
 15   4     -55.67      25.38
 15   5       4.14    -174.69
 15   6    -124.47      52.83
 15   7     -94.28      78.41
 15   8      45.76      97.80
 15   9     -55.41      33.20
 15  10     -40.46    -123.90
 15  11      53.85    -130.31
 15  12     -20.10     -49.16
 15  13      93.74     229.31
 15  14    -176.89    -145.89
 15  15      82.44      46.34
 16   0      73.18       0.00
 16   1     -26.30      10.39
 16   2     -28.09     -34.59
 16   3      21.83     -82.06
 16   4      25.20    -138.05
 16   5     -28.71     -39.75
 16   6       3.65      -8.41
 16   7     -27.15      -6.29
 16   8     -15.46     -78.05
 16   9     -97.26    -135.32
 16  10     -42.64     -66.50
 16  11      44.17      86.74
 16  12      94.01     -13.96
 16  13      83.67       6.42
 16  14     -53.43      88.61
 16  15    -128.94    -145.32
 16  16     -38.41      -7.00
 17   0     173.05       0.00
 17   1     -47.08      77.33
 17   2      70.58      35.07
 17   3     -56.95     -31.05
 17   4      10.45      -9.67
 17   5      44.63     169.07
 17   6     -50.34     -16.96
 17   7     135.11     -98.71
 17   8      -6.41     -67.83
 17   9     201.24      -8.49
 17  10       0.35      72.58
 17  11      71.72       4.79
 17  12    -129.17      96.55
 17  13      66.62      28.86
 17  14      42.23    -221.21
 17  15     146.27     -17.90
 17  16      71.86     -52.87
 17  17     -85.78     -20.03
 18   0      83.04       0.00
 18   1      41.35      43.54
 18   2      79.86      24.63
 18   3      19.63     -41.27
 18   4     -82.12      57.24
 18   5      24.00     -19.49
 18   6      -4.22     -20.12
 18   7      20.71      -8.47
 18   8      17.28     106.67
 18   9      48.35      -9.93
 18  10     147.78     131.01
 18  11     -26.87    -103.53
 18  12      86.60       9.68
 18  13     -76.17      23.20
 18  14      -6.21      10.23
 18  15    -132.10      -1.98
 18  16     -38.65     -82.04
 18  17     116.92      25.47
 18  18     -73.16     154.92
 19   0     177.80       0.00
 19   1     -31.13      71.49
 19   2     -78.86      88.06
 19   3     -26.80     -19.14
 19   4      97.25      64.92
 19   5      38.61     -68.40
 19   6      63.84      11.42
 19   7     -65.08      51.54
 19   8      -0.46      -4.76
 19   9    -159.03      14.90
 19  10      28.17     102.76
 19  11    -117.98       3.40
 19  12      35.98     -15.11
 19  13      40.25     -89.91
 19  14      72.18     -33.59
 19  15      11.58     -36.30
 19  16     -12.25     -54.35
 19  17    -276.61      -9.80
 19  18    -106.12     -36.49
 19  19    -118.43     -49.83
 20   0      11.34       0.00
 20   1     -23.44      69.72
 20   2      -2.40     -14.36
 20   3      23.46     -92.59
 20   4     -11.33       4.19
 20   5     -64.90       5.60
 20   6      43.85       5.52
 20   7      15.57       9.05
 20   8      31.28     -40.00
 20   9      34.85      95.52
 20  10     -63.22     -79.05
 20  11     -21.56      25.86
 20  12     -94.66      22.16
 20  13      36.81     -10.68
 20  14      36.01     -71.05
 20  15      -8.40     -33.94
 20  16      -9.83       7.95
 20  17     121.15      98.34
 20  18    -175.57     176.10
 20  19     117.72    -222.13
 20  20      81.88     -32.81
 21   0      12.32       0.00
 21   1     -70.16      93.50
 21   2      25.13     -69.51
 21   3     -52.30     -38.75
 21   4       9.39      63.85
 21   5      40.46      -3.92
 21   6     -55.14      37.46
 21   7      -1.31      21.27
 21   8      11.35      54.34
 21   9      36.35      -5.23
 21  10     -22.23     -64.43
