Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1703:180
Coefficients for 360 degrees 
  Beginning: CT1702:000  1980:12:16_10h:16m:37s. 
  Centered:  CT1703:180  1980:12:30_01h:34m:48s. 
  End time:  CT1703:005  1981:01:12_07h:47m:29s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -5.18       0.00
  1   0    -139.33       0.00
  1   1      84.78     -21.97
  2   0      -0.68       0.00
  2   1    -107.81      11.85
  2   2    -100.67     116.45
  3   0    -142.67       0.00
  3   1       0.72     -69.36
  3   2      67.78      57.67
  3   3     -94.95     122.13
  4   0    -177.51       0.00
  4   1      95.24      42.45
  4   2     -26.44      -3.06
  4   3      44.71      20.74
  4   4     260.37      -5.80
  5   0      61.71       0.00
  5   1     -40.99      80.29
  5   2     -95.03    -136.88
  5   3    -189.16     -93.55
  5   4     163.50     237.73
  5   5     153.81    -153.58
  6   0    -149.98       0.00
  6   1     147.89     -31.57
  6   2     148.90     -35.94
  6   3      54.24     -31.20
  6   4     -38.64     -79.89
  6   5     102.81    -453.05
  6   6     200.83    -106.23
  7   0    -127.23       0.00
  7   1      42.72      31.03
  7   2     129.88     164.50
  7   3     195.04      59.18
  7   4    -214.64     -98.89
  7   5    -304.05     -52.50
  7   6     268.51     -67.31
  7   7      -0.16     -77.35
  8   0      98.34       0.00
  8   1     -82.71     -68.78
  8   2    -171.52      65.64
  8   3     -25.61     -34.51
  8   4     -69.08      57.41
  8   5     -94.33     247.01
  8   6     -74.24      -5.66
  8   7      55.24    -267.70
  8   8      47.35    -278.10
  9   0     158.36       0.00
  9   1      46.18      10.46
  9   2    -146.86      12.19
  9   3     -90.09      91.82
  9   4     234.21     -16.45
  9   5     123.99     123.41
  9   6    -306.83      95.38
  9   7    -141.25      14.20
  9   8     -69.19     186.88
  9   9      37.17     183.04
 10   0     112.00       0.00
 10   1     187.15     -18.62
 10   2      57.73     -67.75
 10   3    -126.79      83.54
 10   4      74.26      -1.51
 10   5     107.34     -69.01
 10   6     102.02     122.99
 10   7     224.48      69.91
 10   8      13.85      77.19
 10   9      -7.63    -260.98
 10  10     -97.11    -404.69
 11   0      11.33       0.00
 11   1     -78.54      59.75
 11   2      19.00     -59.72
 11   3      66.07     -98.26
 11   4    -141.61     -27.44
 11   5      54.34     -10.13
 11   6     164.36    -153.40
 11   7      24.71     -37.37
 11   8      34.44      93.82
 11   9     -42.17      48.44
 11  10      38.84     180.27
 11  11    -109.73    -106.14
 12   0      -4.07       0.00
 12   1     -56.07      66.18
 12   2     133.07      66.00
 12   3      98.63     -82.74
 12   4    -142.73      35.03
 12   5    -131.29      37.00
 12   6     -50.11    -115.36
 12   7    -264.03     -31.84
 12   8      40.04     -48.13
 12   9     210.52     104.07
 12  10      40.02     193.88
 12  11    -404.95    -169.42
 12  12    -277.33    -208.46
 13   0     151.20       0.00
 13   1      78.62     -40.64
 13   2     -68.93     150.65
 13   3      -9.45      99.73
 13   4      43.54       1.17
 13   5     -14.28     -21.22
 13   6     -18.78     126.37
 13   7       7.51      95.03
 13   8     -93.52     -73.36
 13   9     -12.98    -155.05
 13  10    -208.63     -53.56
 13  11     -64.29     -29.84
 13  12    -151.45      94.17
 13  13     -92.04     387.69
 14   0     205.06       0.00
 14   1       5.64     -71.54
 14   2    -207.26     -24.28
 14   3    -100.55      72.20
 14   4     109.21     -95.34
 14   5      45.85     -80.38
 14   6     -47.39       6.56
 14   7     163.63      86.60
 14   8      23.44     -50.91
 14   9     -85.75     -97.33
 14  10     145.75     132.04
 14  11     496.65      65.60
 14  12     250.59      45.39
 14  13     -80.56    -289.78
 14  14    -266.43      61.48
 15   0     158.13       0.00
 15   1     -49.66       3.59
 15   2      93.62     -46.20
 15   3      16.10      15.63
 15   4     -51.80      15.59
 15   5      11.35     -89.06
 15   6      16.34     -22.59
 15   7      -6.65      12.18
 15   8      52.78       7.06
 15   9     -73.53     105.03
 15  10      45.15      22.31
 15  11      11.04     -52.19
 15  12    -133.41      65.81
 15  13     -26.15    -164.06
 15  14     -70.03     243.13
 15  15     -14.63     220.47
 16   0     109.98       0.00
 16   1      41.20      35.25
 16   2     164.48     -22.15
 16   3     -28.89      -5.30
 16   4    -110.04      74.56
 16   5     -11.70      63.31
 16   6      64.90      25.18
 16   7    -100.25    -110.20
 16   8    -122.92      86.29
 16   9      10.43     132.16
 16  10     -99.39    -165.75
 16  11    -134.48     -67.13
 16  12     -43.70     -58.06
 16  13     253.26     -25.08
 16  14      15.67     105.32
 16  15     -58.65     167.92
 16  16    -193.46     -42.87
 17   0     193.67       0.00
 17   1      23.17      -0.40
 17   2    -160.17      40.00
 17   3      82.48      -3.84
 17   4      49.13     -58.11
 17   5      20.52      53.67
 17   6     -47.88     -22.87
 17   7       7.60     -91.33
 17   8      53.84     -35.35
 17   9      72.18      79.58
 17  10       5.08     -43.18
 17  11     -48.45      41.29
 17  12     -62.73      65.28
 17  13      56.58     -76.96
 17  14    -215.22    -190.62
 17  15      89.74     -65.77
 17  16     172.51     185.62
 17  17     213.53     374.34
 18   0     132.78       0.00
 18   1    -159.91      25.76
 18   2     -69.57      53.57
 18   3     -27.34     -30.37
 18   4      26.16     -40.27
 18   5     -18.64      -2.61
 18   6     -27.80      -0.75
 18   7      32.16      32.25
 18   8      86.16     -76.84
 18   9     -25.09     -88.83
 18  10      69.01     109.40
 18  11      -8.32      52.59
 18  12     -44.16      15.54
 18  13     -35.44     152.60
 18  14      81.75       8.36
 18  15     180.20    -150.07
 18  16      78.94    -165.23
 18  17       4.33     -38.96
 18  18      75.73      96.27
 19   0      99.79       0.00
 19   1     -22.11     -52.24
 19   2      84.15      23.84
 19   3     -48.12      58.40
 19   4     -78.28      -1.36
 19   5      63.33     -84.75
 19   6      33.93      63.43
 19   7      21.06      86.93
 19   8     -92.62      43.79
 19   9     -19.85    -144.15
 19  10      18.78     -33.80
 19  11      24.68      46.74
 19  12      60.57     -65.29
 19  13     -62.82      83.79
 19  14      -4.35     125.58
 19  15     -31.72     -93.39
 19  16    -240.97     -45.42
 19  17     -77.11    -102.60
 19  18     158.55     -80.99
 19  19     262.54     -69.84
 20   0      52.66       0.00
 20   1      -6.79      11.67
 20   2      20.74     -33.90
 20   3     -57.19      62.13
 20   4     -78.23      -1.17
 20   5     -17.80     -26.10
 20   6      10.24     -48.51
 20   7      11.42      21.89
 20   8     -27.51      60.63
 20   9      16.29       0.55
 20  10     -35.94     -44.27
 20  11      19.58       7.50
 20  12      95.04     -15.49
 20  13     -14.25    -115.33
 20  14     -65.69     -28.46
 20  15     -51.06      69.86
 20  16      -3.35      -9.70
 20  17     -38.58     -69.80
 20  18     100.30      17.64
 20  19    -249.46    -154.57
 20  20    -101.96    -119.99
 21   0      52.63       0.00
 21   1     -28.51     -37.68
 21   2      -4.08     -39.37
 21   3      68.06       8.40
 21   4      25.00     -18.59
 21   5     -14.08     -20.49
 21   6      -5.17     -29.62
 21   7     -69.03     -44.24
 21   8      60.51     -24.99
 21   9       9.49     100.48
 21  10      -9.05      76.24
 21  11     -24.57     -48.95
 21  12      22.84       7.75
 21  13       7.29     -75.79
 21  14      48.13     -17.61
 21  15     -90.55      79.44
 21  16      43.42     117.01
 21  17     -98.73    -104.56
 21  18    -104.48     -26.77
 21  19     -28.15    -102.85
 21  20     144.69     -15.69
 21  21      26.19     118.59
 22   0     -27.27       0.00
 22   1    -134.19      37.19
 22   2     -16.67       6.51
 22   3       6.77     -37.58
 22   4      22.65       2.51
 22   5     -28.90      22.04
 22   6     -25.00      37.49
 22   7     -16.52     -58.15
