Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2055:180
Coefficients for 360 degrees 
  Beginning: CT2054:000  2007:03:31_07h:40m:24s. 
  Centered:  CT2055:180  2007:04:13_22h:58m:36s. 
  End time:  CT2055:005  2007:04:27_05h:11m:16s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       2.01       0.00
  1   0     -80.09       0.00
  1   1      -7.27      -2.32
  2   0       9.51       0.00
  2   1       2.32       9.18
  2   2     -22.49     -16.22
  3   0    -143.46       0.00
  3   1       0.68     -11.42
  3   2      15.08       8.38
  3   3       9.71      -6.17
  4   0      10.68       0.00
  4   1      -7.96     -16.67
  4   2       4.75      18.52
  4   3       3.05      25.92
  4   4       5.67      -8.24
  5   0     -80.78       0.00
  5   1      -0.93       5.47
  5   2     -35.59     -21.58
  5   3      -5.89      -0.41
  5   4      -1.62      -8.44
  5   5      18.83     -44.02
  6   0      26.19       0.00
  6   1       3.21      -9.30
  6   2       3.71      -1.71
  6   3       8.99     -22.23
  6   4       0.14      -2.27
  6   5       9.28      30.28
  6   6     -21.14       2.56
  7   0     -26.74       0.00
  7   1      -6.67     -18.64
  7   2      13.44      33.65
  7   3     -15.93       7.64
  7   4      -2.54      19.58
  7   5       5.46      23.45
  7   6      -3.52       9.19
  7   7       7.82       9.28
  8   0       1.30       0.00
  8   1     -16.06     -11.92
  8   2     -16.15      -4.27
  8   3       2.70     -12.47
  8   4       4.15       5.24
  8   5      -5.67     -17.01
  8   6      21.13      -5.88
  8   7     -19.01       5.05
  8   8     -27.42       9.74
  9   0      67.38       0.00
  9   1      -9.20       3.15
  9   2     -21.23      -4.13
  9   3      19.24     -19.42
  9   4      22.41     -12.31
  9   5       3.59       2.29
  9   6      16.99       7.71
  9   7       7.42       4.32
  9   8     -20.10       2.68
  9   9     -32.53      29.46
 10   0     -17.52       0.00
 10   1      10.94      -7.33
 10   2      -4.49      27.78
 10   3     -10.11      -4.46
 10   4      -1.05       5.35
 10   5      -1.85       9.97
 10   6     -12.42       4.52
 10   7      19.01       2.30
 10   8      25.42      -0.99
 10   9     -25.29       9.72
 10  10     -28.03      32.79
 11   0      97.75       0.00
 11   1       6.27      -4.74
 11   2      -2.29      -3.94
 11   3      -2.21      -5.11
 11   4     -19.43       2.48
 11   5      -6.37       2.29
 11   6       8.70      -9.24
