Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT2070:180
Coefficients for 360 degrees 
  Beginning: CT2069:000  2008:05:13_10h:46m:01s. 
  Centered:  CT2070:180  2008:05:27_02h:04m:13s. 
  End time:  CT2070:005  2008:06:09_08h:16m:53s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       0.78       0.00
  1   0     -86.42       0.00
  1   1      -7.41       7.88
  2   0       8.34       0.00
  2   1      -6.97     -10.59
  2   2      21.59       6.09
  3   0    -142.50       0.00
  3   1      14.30     -16.12
  3   2       1.52       0.97
  3   3      12.14     -17.61
  4   0     -15.20       0.00
  4   1     -18.57      28.20
  4   2     -18.41     -21.27
  4   3     -12.16      -3.53
  4   4     -18.61       1.02
  5   0     -91.79       0.00
  5   1      -2.74     -30.28
  5   2      16.94       5.68
  5   3      -6.37       7.89
  5   4       8.42       9.67
  5   5      -1.66      28.45
  6   0      -4.15       0.00
  6   1       8.51      22.70
  6   2     -13.01       4.71
  6   3      13.05     -14.19
  6   4       1.53       2.96
  6   5       8.09     -11.06
  6   6       4.84     -13.32
  7   0      -3.53       0.00
  7   1      -5.10      -8.97
  7   2      -4.28     -20.58
  7   3       5.91       3.67
  7   4     -11.44      -8.35
  7   5       7.76      -3.63
  7   6     -11.68       2.52
  7   7      -0.37       2.74
  8   0       7.96       0.00
  8   1     -16.61       5.34
  8   2     -18.15     -12.95
  8   3      -3.18       2.18
  8   4      16.79      -5.62
  8   5     -10.87      15.40
  8   6      -1.75      -5.60
  8   7       8.38       4.01
  8   8      16.64      -8.25
  9   0      52.80       0.00
  9   1       7.07      -5.13
  9   2      11.33       7.44
  9   3       5.08     -13.33
  9   4       6.37       9.71
  9   5     -11.80       3.07
  9   6      -1.23       4.44
  9   7       3.68       9.32
  9   8      -7.35      -6.00
  9   9     -16.54     -17.40
 10   0      -0.87       0.00
 10   1       4.74      13.70
 10   2     -24.27     -19.22
 10   3       8.64     -15.42
 10   4      -9.07       6.89
 10   5       5.52       3.41
 10   6      -2.42      10.67
 10   7      -7.59       7.09
 10   8       2.02       8.40
 10   9     -10.20      11.10
 10  10     -17.82      15.20
 11   0     105.41       0.00
 11   1      -4.31     -18.03
 11   2       0.77     -10.99
 11   3       3.36      -2.59
 11   4       2.72       3.34
 11   5       5.89      -0.16
 11   6       5.98      -1.59
 11   7       0.17       2.60
 11   8      -8.33       0.36
 11   9       1.20      16.18
 11  10       2.31       1.46
 11  11      20.12      28.27
 12   0       0.89       0.00
 12   1     -10.28      10.01
 12   2     -16.64      -8.17
 12   3       2.62     -11.37
