Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1839:180
Coefficients for 360 degrees 
  Beginning: CT1838:000  1991:02:11_20h:43m:32s. 
  Centered:  CT1839:180  1991:02:25_12h:01m:43s. 
  End time:  CT1839:005  1991:03:10_18h:14m:24s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       1.10       0.00
  1   0      31.05       0.00
  1   1      15.43     -96.65
  2   0      27.22       0.00
  2   1      14.85      28.28
  2   2      -5.90     -29.18
  3   0      26.74       0.00
  3   1      31.59      59.48
  3   2      18.78    -153.93
  3   3     310.43     -87.51
  4   0      76.66       0.00
  4   1      40.97     -83.28
  4   2     -54.71     -31.21
  4   3      99.54     -14.91
  4   4     177.69      80.35
  5   0    -212.43       0.00
  5   1      16.84    -174.58
  5   2      95.96     305.60
  5   3     -89.58     -98.10
  5   4     149.01     -74.38
  5   5     399.53      36.55
  6   0      21.98       0.00
  6   1      42.30    -138.10
  6   2      86.81      32.47
  6   3    -131.63      -4.51
  6   4     -38.80    -113.23
  6   5      49.05      10.39
  6   6     -71.93      86.68
  7   0     161.46       0.00
  7   1      13.45    -147.74
  7   2     -49.77    -275.23
  7   3     -98.17     242.01
  7   4     -20.30     170.79
  7   5     -56.79    -129.94
  7   6     113.00     103.72
  7   7     380.41     218.17
  8   0      39.50       0.00
  8   1     -66.38      34.69
  8   2      59.04      78.85
  8   3     157.33     108.50
  8   4     -83.51     -82.99
  8   5     -44.36     -58.31
  8   6     -27.83     -93.17
  8   7    -212.50     -39.52
  8   8    -224.61      56.89
  9   0    -114.29       0.00
  9   1      17.96      36.37
  9   2     105.24      70.20
  9   3     149.18    -162.65
  9   4     -49.72    -110.91
  9   5    -173.40     181.89
  9   6     -81.13     -54.32
  9   7      90.13    -241.77
  9   8     349.11      -4.34
  9   9     289.42      50.67
 10   0     -92.08       0.00
 10   1     103.96     -95.66
 10   2     -57.15     -45.34
 10   3     -82.34      11.52
 10   4      68.39     201.19
 10   5      26.85      27.07
 10   6      26.35     -33.56
 10   7      93.81       9.39
 10   8     -36.96     -40.79
 10   9    -440.70     109.15
 10  10    -311.21     116.75
 11   0      84.03       0.00
 11   1     -25.51    -175.64
 11   2     -36.32      -6.83
 11   3      49.81     135.61
 11   4      14.01     -59.84
 11   5     260.68     -89.33
 11   6      23.77     134.55
 11   7    -167.85     105.30
 11   8     -59.67      42.89
 11   9     291.25     129.64
 11  10     408.66     -95.19
 11  11     172.05      41.22
 12   0     -11.76       0.00
 12   1      18.21     -24.41
 12   2     181.63      80.21
 12   3      60.51     -39.67
 12   4     -90.66    -119.29
 12   5      44.71      59.34
 12   6     -22.79      94.89
 12   7     -13.69     -58.42
 12   8     180.29    -166.36
 12   9     216.91    -236.65
 12  10    -103.21    -284.95
 12  11    -204.37     -16.51
 12  12     157.66      46.17
 13   0      39.81       0.00
 13   1      31.18      60.78
 13   2      -0.43     -81.00
 13   3     -42.65      23.17
 13   4     -35.32     137.07
 13   5    -116.15     -53.54
 13   6      37.02     -71.48
 13   7      47.07      55.61
 13   8     -89.32      26.39
 13   9    -236.88      17.19
 13  10    -178.35     231.70
 13  11     -49.09     134.83
 13  12     -39.02    -105.71
 13  13     -96.87     -79.92
 14   0    -110.82       0.00
 14   1     -83.69      14.84
 14   2     -20.31      18.94
 14   3     106.09     187.90
 14   4      12.10      66.78
 14   5     -25.94    -122.90
 14   6      13.48     -61.02
 14   7      13.79      78.02
 14   8    -191.62     118.63
 14   9     -26.47      98.25
 14  10     198.43     -54.96
 14  11     179.53    -298.59
 14  12       7.09    -211.75
 14  13     197.12      -9.29
 14  14      36.57      83.40
 15   0       8.31       0.00
 15   1       9.40     -26.17
 15   2      72.29      45.38
 15   3      38.76      33.12
 15   4     -42.13    -113.45
 15   5     117.57      33.54
 15   6     -32.22     -20.30
 15   7     -77.83    -100.86
 15   8     100.61     -14.53
 15   9     130.45     -51.73
 15  10    -104.38     -98.44
 15  11     -37.64      27.64
 15  12     -83.23     287.46
 15  13    -147.47     145.29
 15  14    -147.73     -87.47
 15  15      43.77      21.42
 16   0     -61.16       0.00
 16   1      60.93       6.21
 16   2      -7.67      -4.01
 16   3     -60.14     -92.65
 16   4     -57.12      22.57
 16   5     104.79     103.43
 16   6      31.74      11.05
 16   7     -12.14     -56.93
 16   8     109.07     -62.01
 16   9     -57.28     156.51
 16  10    -105.14     139.97
 16  11     -55.62     148.08
 16  12     -35.06     -15.54
 16  13     183.32    -160.79
 16  14     152.21    -196.85
 16  15      44.27      -5.20
 16  16     -34.08      48.29
 17   0      39.15       0.00
 17   1     -36.74      63.03
 17   2     -17.29     -95.82
 17   3     112.97      58.64
 17   4     -21.13     101.00
 17   5      18.61     -31.86
 17   6      50.08      44.39
 17   7     -28.98      50.00
 17   8     -69.47     -46.48
 17   9     -52.00     -14.03
 17  10     169.10      10.95
 17  11      71.55    -172.69
 17  12      46.73    -150.40
 17  13     146.81      54.20
 17  14     -43.23      18.76
 17  15     -87.98      22.31
 17  16      40.12     131.17
 17  17      84.10      83.05
 18   0     -46.09       0.00
 18   1     -30.68      69.42
 18   2     105.30      59.07
 18   3     108.71     118.03
 18   4     -24.09     -18.76
 18   5     -52.06     -94.85
 18   6     -12.27      44.07
 18   7      -6.78      58.73
 18   8       2.01      -7.68
 18   9      71.36    -168.59
 18  10     -18.35     -60.35
 18  11     -42.60     110.23
 18  12     -16.59      54.80
 18  13    -148.72     -40.67
 18  14     -25.01    -146.65
