Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1765:180
Coefficients for 360 degrees 
  Beginning: CT1764:000  1985:08:03_11h:51m:50s. 
  Centered:  CT1765:180  1985:08:17_03h:10m:01s. 
  End time:  CT1765:005  1985:08:30_09h:22m:42s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      -7.81       0.00
  1   0    -227.33       0.00
  1   1      11.29     -18.96
  2   0       4.79       0.00
  2   1       1.40      16.39
  2   2     -11.63      -7.19
  3   0    -307.22       0.00
  3   1       5.26      11.68
  3   2     -10.60       5.82
  3   3      17.09      29.67
  4   0     -15.35       0.00
  4   1      -4.68       2.50
  4   2      25.06       9.21
  4   3     -21.38      38.52
  4   4      34.62      -8.25
  5   0    -156.26       0.00
  5   1     -11.84     -18.15
  5   2      15.05     -16.60
  5   3       4.76     -28.89
  5   4      11.29      38.89
  5   5     -18.94     -57.01
  6   0      16.40       0.00
  6   1      -2.04      61.21
  6   2     -26.56       4.71
  6   3      10.91     -33.49
  6   4      -7.53     -21.46
  6   5     -15.17      22.95
  6   6     -72.08       8.42
  7   0      -9.27       0.00
  7   1      27.19     -27.55
  7   2      11.07      18.71
  7   3      -7.84      23.94
  7   4      -9.60     -25.09
  7   5      -7.82      -6.89
  7   6     -19.68      24.14
  7   7     -63.33      -9.85
  8   0      -5.10       0.00
  8   1      -8.92      26.95
  8   2     -36.64       2.56
  8   3      -0.66      38.02
  8   4     -11.18      20.88
  8   5      12.01      17.16
  8   6      46.90     -19.70
  8   7      35.40      17.39
  8   8     -76.59    -108.40
  9   0     119.45       0.00
  9   1       6.59       0.86
  9   2      -1.57       2.55
  9   3      -1.98      -2.02
  9   4     -14.17      23.35
  9   5      37.61      24.32
  9   6     -17.11       2.62
  9   7      30.98     -23.38
  9   8      14.95      34.12
  9   9    -125.52     -56.01
 10   0     -11.66       0.00
 10   1      -5.46      22.13
 10   2      12.40      13.87
 10   3      10.51      -1.51
 10   4      -6.38     -17.52
 10   5      -5.20     -42.60
 10   6      -7.15     -13.33
 10   7     -29.35      24.59
 10   8       1.82      -8.70
 10   9      13.21      29.88
 10  10     -76.48     -42.25
 11   0     213.99       0.00
 11   1      -3.13      -5.71
 11   2      -5.15      18.85
 11   3       5.91      -1.73
 11   4      19.38      -3.96
 11   5     -36.55       2.82
 11   6     -11.32     -30.41
 11   7      -8.20      10.02
 11   8     -15.30      39.42
 11   9      35.80       1.32
 11  10      54.02      28.44
 11  11      17.13     -96.50
 12   0      22.83       0.00
 12   1      27.14       9.20
 12   2     -46.60       2.32
 12   3     -25.43      22.88
 12   4      21.30      -5.72
 12   5       7.40      20.07
 12   6      -9.63      23.75
 12   7      -9.73     -33.52
 12   8      27.23      -6.07
 12   9     -11.09      43.62
 12  10       7.11     -18.77
 12  11      32.69      30.00
 12  12     -37.02     -57.59
 13   0     295.18       0.00
 13   1       9.73      -7.76
 13   2      43.30     -11.77
 13   3      -7.00      14.84
 13   4     -40.94      16.98
 13   5      42.83      10.17
 13   6      22.64      37.65
 13   7     -16.85       9.23
 13   8       2.91     -49.61
 13   9      13.94     -19.94
 13  10     -22.74      14.22
 13  11     -34.20     -24.33
