Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1845:180
Coefficients for 360 degrees 
  Beginning: CT1844:000  1991:07:25_12h:21m:47s. 
  Centered:  CT1845:180  1991:08:08_03h:39m:58s. 
  End time:  CT1845:005  1991:08:21_09h:52m:39s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0      11.12       0.00
  1   0     118.10       0.00
  1   1      55.36    -137.46
  2   0      63.70       0.00
  2   1     -66.23      47.19
  2   2      26.10     159.75
  3   0      77.63       0.00
  3   1     -27.65      52.97
  3   2     -41.23    -226.18
  3   3     -57.37     -12.90
  4   0     131.47       0.00
  4   1      15.42     -77.95
  4   2      87.52     -78.98
  4   3      87.24     -38.08
  4   4    -139.09    -177.31
  5   0    -191.88       0.00
  5   1     -94.34      79.68
  5   2      25.44     302.69
  5   3     -30.43      36.79
  5   4      41.44    -191.78
  5   5    -269.63      84.10
  6   0      -7.59       0.00
  6   1     106.28      17.82
  6   2    -117.48     -11.07
  6   3     -32.62      63.45
  6   4     265.82     -16.84
  6   5    -242.30     -49.03
  6   6    -315.35      29.34
  7   0      79.26       0.00
  7   1     158.81      74.05
  7   2     166.23    -276.26
  7   3     -74.71      41.75
  7   4     -43.12     144.82
  7   5      23.97      11.39
  7   6    -108.88     205.29
  7   7       0.74     -47.80
  8   0     -50.95       0.00
  8   1      28.79     -38.68
  8   2     -11.20     135.05
  8   3     -49.64    -208.03
  8   4    -187.48     102.90
  8   5      39.40     117.16
  8   6     393.09     173.26
  8   7    -418.28     -77.63
  8   8    -149.88     119.63
  9   0       3.54       0.00
  9   1     -67.24     -21.68
  9   2    -140.16    -188.85
  9   3     183.39     -41.78
  9   4      15.45     -32.21
  9   5      10.57       6.69
  9   6     123.94      78.46
  9   7     159.82    -199.80
  9   8    -131.52     346.20
  9   9     119.25     191.33
 10   0      13.87       0.00
 10   1      -8.98    -111.31
 10   2     -63.63     134.58
 10   3       6.73     273.79
 10   4      41.80     -59.15
 10   5      65.56    -160.49
 10   6     -93.83     -73.73
 10   7     130.08     -74.19
 10   8    -234.24     -28.86
 10   9     -75.17    -106.75
 10  10      91.59      78.84
 11   0     -38.47       0.00
 11   1     -87.06      43.98
 11   2     162.07       9.16
 11   3     -12.73     -61.47
 11   4      -5.99      -6.58
 11   5      40.41      29.41
 11   6     -52.96    -147.85
 11   7    -103.63      48.92
 11   8     113.32      93.01
 11   9     322.59    -213.05
 11  10    -362.72      45.30
 11  11     -60.73     145.56
 12   0    -111.95       0.00
 12   1      14.34      88.67
 12   2     -13.45      54.05
 12   3     -56.51     -45.19
 12   4      30.63     -23.36
 12   5       1.00     113.38
 12   6    -170.69     -48.53
 12   7       4.55      61.06
 12   8       8.43      45.20
 12   9      56.76      97.76
 12  10    -200.44     -87.66
 12  11     198.45     300.37
 12  12     162.93     112.73
 13   0     -59.21       0.00
 13   1     118.99      13.27
 13   2      44.59     -30.20
 13   3      70.78     -13.35
 13   4      44.78     -64.04
 13   5     -73.76     -47.60
 13   6      48.65      41.89
 13   7      58.10       1.68
 13   8      -1.30     -34.01
 13   9    -155.74     -75.05
 13  10     208.93     -22.19
 13  11     -40.77     -65.01
 13  12      41.41    -157.84
 13  13     146.53     118.42
 14   0     -93.68       0.00
 14   1      61.76     -93.11
 14   2     -64.42      96.98
 14   3    -105.93     -15.99
 14   4     -57.55      42.91
 14   5     -73.67       1.90
 14   6     156.12      65.19
 14   7     -61.84      64.65
 14   8     156.63       0.90
 14   9     -20.53      -3.06
 14  10    -245.76     -13.19
 14  11      91.37     154.42
 14  12      38.48      53.27
 14  13    -120.58     -25.42
 14  14     208.03     255.49
 15   0     -11.56       0.00
 15   1     -33.58       5.19
 15   2       5.56    -217.47
 15   3      75.73     -34.22
 15   4     -38.82     106.80
 15   5      22.98       7.12
 15   6     -50.59      41.10
 15   7     -27.96      10.91
 15   8     -38.31     -74.45
 15   9      14.15      44.84
 15  10      31.43       6.15
 15  11     -83.34     -77.69
 15  12      86.25     -41.36
 15  13      93.20      88.91
 15  14     109.87    -160.68
 15  15     257.84      38.98
 16   0     -79.15       0.00
 16   1     -75.57     106.30
 16   2     -37.49      80.50
 16   3      14.63      98.73
 16   4     -13.15     -15.80
 16   5     112.94       9.64
 16   6     -57.32     -28.68
 16   7      75.30    -118.61
 16   8     -91.96     -43.07
 16   9      -8.20     -47.24
 16  10     222.24     103.53
 16  11      14.50     -68.26
 16  12     -90.58     -24.87
 16  13     -57.24      -9.57
 16  14     -26.34     305.42
 16  15     125.68    -280.43
 16  16     126.98     101.54
 17   0     -61.09       0.00
 17   1     -34.49     -35.91
 17   2      31.49     -23.41
 17   3      64.05     -56.11
 17   4      59.35     -96.22
 17   5       7.40     -12.82
 17   6      30.40     -49.09
 17   7      12.08      15.77
 17   8      18.19      57.34
 17   9     -10.68     -12.71
 17  10    -199.51      83.91
 17  11      95.91      50.12
 17  12     -50.21      31.10
 17  13    -111.12     -76.80
 17  14    -126.36     -89.29
 17  15      62.09      89.49
 17  16      -9.20    -260.60
 17  17    -118.13      20.28
 18   0    -152.98       0.00
 18   1     -21.35     -38.73
 18   2      -2.47      44.98
 18   3     -97.56      64.68
 18   4       4.33     -14.35
 18   5     -47.62      13.11
 18   6     -65.96     -29.35
 18   7     -77.62     118.89
 18   8     -18.13      -0.58
 18   9       2.97      68.52
 18  10     -39.51     -43.54
 18  11      16.74     -92.98
 18  12     -41.61      26.50
 18  13     108.72       6.97
 18  14      28.10      17.60
 18  15      42.44      45.72
 18  16       7.01      10.64
 18  17     146.95      32.52
 18  18    -180.01    -158.77
 19   0     -61.56       0.00
 19   1      26.57     -72.58
 19   2      50.52      -7.36
 19   3     101.51     -43.45
 19   4      -6.13      28.07
 19   5     -54.73     -24.52
 19   6     -12.86      -3.79
 19   7     -10.37      16.41
 19   8     -25.47     -43.50
 19   9      12.53      16.19
 19  10     179.26     -95.84
 19  11      -6.00     -37.40
 19  12     -20.52       4.43
 19  13      87.87      90.28
 19  14     -68.24     -38.54
 19  15     -34.71     -95.22
 19  16    -186.04    -103.16
 19  17    -161.66      19.74
 19  18     241.39     -36.62
 19  19    -120.30    -190.00
 20   0     -10.39       0.00
 20   1     -41.85      89.86
 20   2     -19.66      -9.09
 20   3     -52.03     -11.72
 20   4     -31.39      -0.70
 20   5      14.43      57.73
 20   6      59.56      29.70
 20   7      58.04     -56.55
 20   8      55.76     -22.53
 20   9     -18.34     -22.50
 20  10     -62.51     -27.35
 20  11     -22.95      66.51
 20  12     -14.60     -32.40
 20  13     -27.66     -10.00
 20  14     -18.85     -19.97
 20  15     -12.96     107.16
 20  16      71.71      13.34
 20  17      35.75      56.77
 20  18      73.27    -134.76
 20  19      61.78      56.66
 20  20    -163.64     -81.71
 21   0     -27.39       0.00
 21   1      16.22     -39.96
 21   2     -54.63      22.26
 21   3      31.13     -28.82
 21   4      28.53     -13.60
 21   5      10.27     -17.86
 21   6      30.03      24.82
 21   7     -15.30       9.49
 21   8       9.63      -2.42
 21   9       3.46      26.74
 21  10     -80.06      19.35
 21  11     -30.66      12.98
 21  12      -3.34      31.81
 21  13      17.12      -7.48
 21  14      44.52      29.58
 21  15      36.83      79.51
 21  16     -53.18     -48.11
 21  17      93.18      20.19
 21  18      67.67      11.86
 21  19    -159.19    -154.48
 21  20     184.87     323.49
 21  21     -99.66    -200.12
 22   0      -6.93       0.00
 22   1     -59.30      41.49
 22   2      46.50     -66.41
 22   3     -35.10      77.51
 22   4     -34.37       8.26
 22   5      28.62       2.95
 22   6     -38.63     -14.56
 22   7     -14.62      -3.73
 22   8      -0.68      16.46
 22   9      -3.34      -5.45
 22  10      75.66      14.57
 22  11       7.86       6.76
 22  12      17.65       6.37
 22  13      46.28      20.16
 22  14     -20.57     -74.47
 22  15      15.97     -82.42
 22  16       7.78      12.70
 22  17    -130.73      50.87
 22  18     154.39      -6.87
 22  19    -105.00     -21.71
 22  20     -95.05       4.64
 22  21      24.06     174.50
 22  22     -80.98    -219.42
 23   0      14.85       0.00
 23   1     -19.79     -83.42
 23   2     -18.30      80.13
 23   3      61.55     -23.28
 23   4      11.70      -1.45
 23   5     -26.50     -29.35
 23   6     -30.50     -25.81
 23   7       0.89       3.64
 23   8     -17.17      -4.16
 23   9     -32.32      14.86
 23  10      13.81      10.17
 23  11      12.00       0.82
 23  12      24.43     -25.89
 23  13     -39.02     -21.98
 23  14     -39.22      25.84
 23  15      21.10      23.53
 23  16      39.63       3.08
 23  17     -16.74      20.32
 23  18    -132.22       9.88
 23  19     101.94      54.08
 23  20      46.06     -37.74
 23  21     -17.73    -214.83
 23  22    -168.98     307.61
 23  23      23.69    -149.62
 24   0     104.42       0.00
 24   1     -45.39      41.20
 24   2      43.79    -118.31
 24   3     -16.92     -16.83
 24   4      -3.92     -15.08
 24   5      12.21      60.77
 24   6     -19.62     -15.06
 24   7     -10.10      12.63
 24   8      -8.45      -6.34
 24   9      -0.26      -4.43
 24  10      -8.03      -7.74
 24  11      -3.27     -11.33
 24  12      -0.08      14.00
 24  13     -42.42     -31.60
 24  14      27.07      14.91
 24  15     -21.33      69.99
 24  16     -13.09     -38.66
 24  17     134.61     -11.78
 24  18       6.92     -22.28
 24  19     -76.48     -38.77
 24  20      69.93     140.02
 24  21     129.30     -68.87
 24  22     -45.73    -167.56
 24  23     -10.99     374.22
 24  24     121.29     -90.76
 25   0      51.69       0.00
 25   1      19.21     -39.84
 25   2     -85.02     172.50
 25   3     -15.33       5.16
 25   4      26.61     -17.50
 25   5     -21.16     -30.13
 25   6      23.29      -3.98
 25   7     -17.82      27.43
 25   8     -12.47       5.13
 25   9      30.13       7.92
 25  10       9.73     -24.16
 25  11       7.31     -10.78
 25  12     -15.96      21.35
 25  13      19.18      31.28
 25  14      -5.08     -28.32
 25  15     -13.13     -34.28
 25  16      -6.93      17.02
 25  17     -25.79     -10.40
 25  18      99.10      -3.79
 25  19       9.19       4.99
 25  20     -70.09     -52.98
 25  21     -45.60      49.84
 25  22     -56.17      57.73
 25  23      57.87    -145.73
 25  24    -121.22     154.61
 25  25     111.81     -48.56
 26   0     175.98       0.00
 26   1     -14.70      17.83
 26   2      81.54    -162.00
 26   3      20.81      -8.28
 26   4     -31.36       1.72
 26   5      16.82      36.46
 26   6       1.06       1.79
 26   7      21.18     -13.14
 26   8      20.67      -2.32
 26   9       1.46     -12.08
 26  10       0.44      -5.58
 26  11     -19.74     -10.84
 26  12      -4.90     -12.80
 26  13      21.35      17.33
 26  14     -12.71      41.10
 26  15       8.82     -18.12
 26  16      28.77       6.50
 26  17     -56.77      22.44
 26  18     -41.46     -25.51
 26  19      42.63      64.12
 26  20      35.94       6.41
 26  21      37.27       2.32
 26  22     -54.83      52.16
 26  23      37.49      93.99
 26  24     134.15     -97.00
 26  25    -181.47     138.41
 26  26     177.10       4.12
 27   0     125.63       0.00
 27   1      -4.54      -9.84
 27   2     -83.32     169.92
 27   3     -47.76      36.57
 27   4       6.08       0.72
 27   5     -27.36     -35.28
 27   6      -3.46      -2.88
 27   7      -5.86      11.76
 27   8       0.16     -17.36
 27   9     -13.87      27.19
 27  10     -23.79       6.81
 27  11       7.62      10.93
 27  12      -6.63       1.13
 27  13      -3.58     -17.91
 27  14      19.56       9.62
 27  15       1.27      28.05
 27  16     -16.62     -14.13
 27  17      41.53       6.66
 27  18     -41.89       4.51
 27  19     -79.77     -19.26
 27  20      61.78      34.30
 27  21     -26.57       4.40
 27  22      48.52     -51.65
 27  23     -47.97      84.47
 27  24     -12.79     -58.19
 27  25      92.41     -79.15
 27  26    -120.70     118.34
 27  27     182.84      23.52
 28   0     217.58       0.00
 28   1      19.41     -25.54
 28   2      74.16    -150.51
 28   3      61.71     -54.05
 28   4      -2.67      -2.38
 28   5      24.35      53.30
 28   6     -30.25     -14.73
 28   7      -2.84      -3.94
 28   8       6.18      -2.44
 28   9      -8.59      -5.70
 28  10      11.99      -3.63
 28  11       4.00      18.42
 28  12       7.22       2.79
 28  13      -2.84     -10.54
 28  14      16.22     -33.25
 28  15      -5.12     -19.94
 28  16     -16.21       9.18
 28  17      17.60      10.21
 28  18      29.47       3.35
 28  19       0.50      11.38
 28  20     -38.81     -66.11
 28  21       2.51       0.63
 28  22      -9.91       9.28
 28  23      46.97     -89.78
 28  24     -65.53      57.13
 28  25     -71.85      -3.72
 28  26     107.41       6.61
 28  27    -115.74     -45.14
