Solar Photospheric Field Harmonic Coefficients
Spherical harmonic coefficients are computed from WSO field observations using radial photospheric field boundary conditions.
WSO Data Use Policy
Coefficients order=29 center=CT1685:180
Coefficients for 360 degrees 
  Beginning: CT1684:000  1979:08:13_11h:21m:53s. 
  Centered:  CT1685:180  1979:08:27_02h:40m:04s. 
  End time:  CT1685:005  1979:09:09_08h:52m:45s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)

  0   0       4.37       0.00
  1   0      44.26       0.00
  1   1     -96.86     -13.51
  2   0     -12.16       0.00
  2   1     -63.98     -50.40
  2   2      20.07      39.08
  3   0     129.01       0.00
  3   1     -10.92      -4.43
  3   2      99.86     -46.71
  3   3      -5.52     -92.10
  4   0       6.47       0.00
  4   1     -93.02      54.00
  4   2     -11.33     -12.27
  4   3     -64.61      -5.58
  4   4     -57.55     204.26
  5   0     302.36       0.00
  5   1     148.89    -117.86
  5   2    -256.28      51.98
  5   3      21.34      44.45
  5   4    -100.89      -8.28
  5   5     156.56      19.00
  6   0      90.78       0.00
  6   1     -95.81     114.92
  6   2     -19.17      68.69
  6   3      57.28     -30.19
  6   4     -57.23     174.36
  6   5     138.32     104.84
  6   6     146.07      78.01
  7   0    -108.09       0.00
  7   1      79.05    -152.56
  7   2     179.66      68.54
  7   3     -54.00      45.25
  7   4     -28.10     -10.13
  7   5     -12.71     -11.70
  7   6     122.79     -33.08
  7   7     -23.85     234.71
  8   0      28.32       0.00
  8   1     -49.19     168.14
  8   2     151.23      26.27
  8   3     -48.70     -27.39
  8   4       1.89    -150.24
  8   5      61.76      32.68
  8   6      49.66      91.74
  8   7     226.56     142.49
  8   8    -139.77     177.13
  9   0      19.04       0.00
  9   1      25.99      37.15
  9   2      47.93     -32.89
  9   3     134.43     -20.08
  9   4       7.68      44.89
  9   5     -90.02     133.87
  9   6    -143.74      53.31
  9   7    -190.03     256.66
  9   8    -103.71      -6.56
  9   9      97.40    -169.08
 10   0     -60.64       0.00
 10   1     -95.63      41.61
 10   2     -16.05      -7.77
 10   3     -84.25      56.25
 10   4     -17.31     106.70
 10   5    -128.65     -85.86
 10   6     -86.91     -30.46
 10   7      24.60     -48.70
 10   8    -128.19     241.01
 10   9     167.71     -84.34
 10  10      57.22     -92.59
 11   0    -187.23       0.00
 11   1      46.28     -74.88
 11   2     -98.10      22.03
 11   3     -31.97      94.60
 11   4      53.77      52.41
 11   5      90.39     -88.26
 11   6     104.39      -9.83
 11   7     -45.69    -112.77
 11   8     -70.66     -13.90
 11   9       5.63      -9.50
 11  10     324.76      94.18
 11  11    -108.34     133.20
 12   0     -42.15       0.00
 12   1      19.69       6.57
 12   2      26.94       8.48
 12   3    -107.17     -26.33
 12   4      -4.67     -79.59
 12   5      34.03       7.25
 12   6     124.42     125.75
 12   7     -79.20      49.13
 12   8     122.82     -98.49
 12   9      41.57     105.32
 12  10     170.07     -48.85
 12  11     397.72      18.04
